
[00:00:00.000 --> 00:00:02.000]  上個星期我們講了什麼呢?
[00:00:02.000 --> 00:00:04.000]  已經忘記了吧
[00:00:04.000 --> 00:00:07.000]  上個星期我們講了兩情相悅
[00:00:07.000 --> 00:00:10.000]  這個星期我們講了互訴相思
[00:00:10.000 --> 00:00:12.000]  當我們講到兩情相悅的時候
[00:00:12.000 --> 00:00:17.000]  很明顯我們是在講男與女之間的兩情相悅
[00:00:17.000 --> 00:00:20.000]  我們所講的也不是一般的友誼
[00:00:20.000 --> 00:00:26.000]  可以說是談婚論嫁的那種愛情
[00:00:26.000 --> 00:00:28.000]  我相信一件事
[00:00:28.000 --> 00:00:30.000]  因爲聖經是這樣去啓示
[00:00:30.000 --> 00:00:32.000]  神創造人的時候
[00:00:32.000 --> 00:00:35.000]  我們每一個都不一樣
[00:00:35.000 --> 00:00:37.000]  就算是媽媽、兄弟、姐妹都不一樣
[00:00:37.000 --> 00:00:38.000]  每個人都不一樣
[00:00:38.000 --> 00:00:40.000]  而我深深相信
[00:00:40.000 --> 00:00:43.000]  每一個人都有吸引異性的地方
[00:00:43.000 --> 00:00:45.000]  和吸引異性的能力
[00:00:45.000 --> 00:00:47.000]  所以如果是單身的
[00:00:47.000 --> 00:00:50.000]  很久沒有找到一個合適的結婚對象的時候
[00:00:50.000 --> 00:00:52.000]  不要覺得自己很差
[00:00:52.000 --> 00:00:54.000]  或者很多東西都不行
[00:00:54.000 --> 00:00:57.000]  所以我們不能夠開始這樣的關係
[00:00:57.000 --> 00:00:59.000]  這不是聖經給我們的啓示
[00:00:59.000 --> 00:01:03.000]  神造每一個人都有很多漂亮的地方
[00:01:03.000 --> 00:01:08.000]  每一個人都有吸引異性的地方和能力
[00:01:08.000 --> 00:01:11.000]  我們要尊重每一個神
[00:01:11.000 --> 00:01:14.000]  纔會慢慢發展愛情
[00:01:14.000 --> 00:01:16.000]  而聖經教導我們很簡單
[00:01:16.000 --> 00:01:19.000]  男的就不要只看女生的外貌
[00:01:19.000 --> 00:01:22.000]  女的就不要看女人的家底
[00:01:22.000 --> 00:01:25.000]  我們以爲是古代的人才會這樣看
[00:01:25.000 --> 00:01:27.000]  其實不是的
[00:01:27.000 --> 00:01:30.000]  我們來自香港的文化都很講這些
[00:01:30.000 --> 00:01:33.000]  但聖經給我們的教導就不是這樣的
[00:01:33.000 --> 00:01:35.000]  無論是男是女
[00:01:35.000 --> 00:01:37.000]  聖經教導我們要看的是什麼呢
[00:01:37.000 --> 00:01:42.000]  是人的品格和待人接物的態度是最重要的
[00:01:42.000 --> 00:01:43.000]  當然還有其他
[00:01:43.000 --> 00:01:45.000]  不過是你的性格、你的品格
[00:01:45.000 --> 00:01:47.000]  和如何去待人接物是最重要的
[00:01:47.000 --> 00:01:49.000]  我說雅各書
[00:01:49.000 --> 00:01:51.000]  有些人會覺得很奇怪
[00:01:51.000 --> 00:01:54.000]  爲什麼聖經裏面會有一本這樣的書呢
[00:01:54.000 --> 00:01:55.000]  因爲上個禮拜
[00:01:55.000 --> 00:01:57.000]  鄭牧師都說過這本書裏面
[00:01:57.000 --> 00:01:59.000]  連一個神字都沒有
[00:01:59.000 --> 00:02:02.000]  裏面只是談男女的關係
[00:02:02.000 --> 00:02:03.000]  夫妻的關係
[00:02:03.000 --> 00:02:07.000]  好像沒有任何屬靈的教導
[00:02:07.000 --> 00:02:08.000]  事實上
[00:02:08.000 --> 00:02:12.000]  鄭牧師上個禮拜都已經給我們一些分享
[00:02:12.000 --> 00:02:14.000]  因爲這本書裏面
[00:02:14.000 --> 00:02:16.000]  沒錯是講男女的關係
[00:02:16.000 --> 00:02:18.000]  但是神創造人的時候
[00:02:18.000 --> 00:02:20.000]  聖經告訴我們神創造人的時候
[00:02:20.000 --> 00:02:22.000]  是做男做女
[00:02:22.000 --> 00:02:24.000]  有沒有做兩個阿當
[00:02:24.000 --> 00:02:25.000]  有沒有做兩個霞華
[00:02:25.000 --> 00:02:27.000]  他就做阿當和霞華
[00:02:27.000 --> 00:02:28.000]  做一個男的
[00:02:28.000 --> 00:02:29.000]  做一個女的
[00:02:29.000 --> 00:02:32.000]  然後將他們結合成爲夫妻
[00:02:32.000 --> 00:02:35.000]  所以雅各書正正就肯定了
[00:02:35.000 --> 00:02:38.000]  男女之間的關係
[00:02:38.000 --> 00:02:41.000]  和愛情婚姻的關係
[00:02:41.000 --> 00:02:43.000]  是神所祝福
[00:02:43.000 --> 00:02:45.000]  要我們可以去享受的
[00:02:45.000 --> 00:02:47.000]  一個幸福的關係
[00:02:47.000 --> 00:02:49.000]  是神認可的
[00:02:49.000 --> 00:02:51.000]  不過
[00:02:51.000 --> 00:02:52.000]  除此之外
[00:02:52.000 --> 00:02:54.000]  我們看新約聖經
[00:02:54.000 --> 00:02:55.000]  新約聖經告訴我們
[00:02:55.000 --> 00:02:58.000]  教會就好像耶穌基督的神父
[00:02:58.000 --> 00:03:00.000]  好像耶穌基督的新娘一樣
[00:03:00.000 --> 00:03:02.000]  而在聖經裏面
[00:03:02.000 --> 00:03:03.000]  告訴我們
[00:03:03.000 --> 00:03:05.000]  撒拉和阿巴拉罕
[00:03:05.000 --> 00:03:06.000]  Sarah和Abraham
