
[00:00:00.000 --> 00:00:02.100]  今天的題目「活出愛」
[00:00:02.100 --> 00:00:04.200]  我想我們在基督教信仰裡面
[00:00:04.200 --> 00:00:08.700]  我們完全都不會物身這個「愛」字
[00:00:08.700 --> 00:00:11.100]  而「活出愛」我們很明顯就是
[00:00:11.100 --> 00:00:15.500]  在我們一個人生的生活裡面
[00:00:15.500 --> 00:00:19.000]  我們是否真的能夠走出
[00:00:19.000 --> 00:00:21.900]  上帝要我們走出的那份「愛」
[00:00:21.900 --> 00:00:23.900]  因為耶穌自己說
[00:00:23.900 --> 00:00:27.500]  當有人看到我們彼此相愛的時候
[00:00:27.500 --> 00:00:30.500]  人就可以認出我們是屬於耶穌基督
[00:00:30.500 --> 00:00:31.800]  所以換言之
[00:00:31.800 --> 00:00:35.200]  「活出愛」其實很明顯是耶穌自己的心意
[00:00:35.200 --> 00:00:36.800]  但是我們也明白
[00:00:36.800 --> 00:00:39.800]  人在人生的路上
[00:00:39.800 --> 00:00:44.300]  有時候人與人之間都會有很多的矛盾
[00:00:44.300 --> 00:00:46.300]  都會有很多不同的意見
[00:00:46.300 --> 00:00:49.500]  有很多不同的一些情況出現
[00:00:49.500 --> 00:00:52.400]  是帶來了人際之間的關係
[00:00:52.400 --> 00:00:55.600]  都會有很多的掙扎、很多的挑戰
[00:00:55.600 --> 00:00:57.900]  所以當我自己回望自己
[00:00:57.900 --> 00:00:59.900]  侍奉了差不多四十多年
[00:00:59.900 --> 00:01:01.600]  我經常都在想
[00:01:01.600 --> 00:01:05.500]  過去曾經有一些好的朋友
[00:01:05.500 --> 00:01:07.000]  一些好的同工
[00:01:07.000 --> 00:01:09.000]  可能某些情況出現
[00:01:09.000 --> 00:01:11.700]  就會讓大家好像不會再聊天
[00:01:11.700 --> 00:01:14.100]  不會再去保持一些關係
[00:01:14.100 --> 00:01:17.300]  但是在我自己心裡想
[00:01:17.300 --> 00:01:18.600]  不是一個問題
[00:01:18.600 --> 00:01:20.700]  不過我就是希望能夠
[00:01:20.700 --> 00:01:22.300]  真的大家慢慢慢慢
[00:01:22.300 --> 00:01:26.600]  可以做回在主裡面的一些好的朋友
[00:01:26.600 --> 00:01:29.500]  我經常都給自己另一個的座右銘
[00:01:29.500 --> 00:01:30.700]  我有很多座右銘
[00:01:30.700 --> 00:01:32.600]  除了「一代比一代」青菜之外
[00:01:32.600 --> 00:01:34.000]  我第二個座右銘就是
[00:01:34.000 --> 00:01:36.300]  我始終是多個朋友
