
[00:00:00.000 --> 00:00:03.000]  好,弟兄姊妹,我們再一次低頭禱告
[00:00:03.000 --> 00:00:06.000]  天父,我們求祢帶領我們
[00:00:06.000 --> 00:00:09.000]  我們將我們今天的崇拜交於祢的手中
[00:00:09.000 --> 00:00:12.000]  今日祢讓我們看到尼西米當中
[00:00:12.000 --> 00:00:15.000]  他們如何預備迎接復興的時候
[00:00:15.000 --> 00:00:18.000]  亦都讓我們聽到祢的心意
[00:00:18.000 --> 00:00:21.000]  讓我們亦都預備迎接祢的復興
[00:00:21.000 --> 00:00:23.000]  奉耶穌基督的名祈求,阿們
[00:00:24.000 --> 00:00:30.000]  今天的題目叫復興的前夕,尼西米記第七章
[00:00:30.000 --> 00:00:35.000]  雖然尼西米記第七章其實都頗長
[00:00:35.000 --> 00:00:42.000]  當中有很多不同的點人數
[00:00:42.000 --> 00:00:45.000]  或者他們不同的有多少人
[00:00:45.000 --> 00:00:47.000]  剛才那段就沒有讀到
[00:00:47.000 --> 00:00:52.000]  但基本上你自己可以回去看看尼西米記第七章
[00:00:52.000 --> 00:00:55.000]  看回那些第七章當中
[00:00:55.000 --> 00:01:01.000]  整章的內容其實都值得讀
[00:01:01.000 --> 00:01:05.000]  為什麼叫做復興的前夕呢?
[00:01:05.000 --> 00:01:08.000]  基本上現在第七章就說到一件事
[00:01:08.000 --> 00:01:11.000]  就是說他們已經蓋好城牆了
[00:01:11.000 --> 00:01:13.000]  城牆已經蓋好了
[00:01:13.000 --> 00:01:20.000]  當然大家都期待整個尼西米的大工程
[00:01:20.000 --> 00:01:21.000]  就是蓋城牆
[00:01:21.000 --> 00:01:24.000]  現在已經大功告成了
[00:01:24.000 --> 00:01:27.000]  大功告成是不是尼西米就完結了?
[00:01:27.000 --> 00:01:28.000]  當然還沒有完結
[00:01:28.000 --> 00:01:31.000]  在尼西米記第八章
[00:01:31.000 --> 00:01:38.000]  其實就說到尼西米基本上帶領他們做了一個復興
[00:01:38.000 --> 00:01:40.000]  很大的一個復興
[00:01:40.000 --> 00:01:43.000]  現在在尼西米記第七章
[00:01:43.000 --> 00:01:48.000]  就是復興之前的一章的記錄
[00:01:48.000 --> 00:01:51.000]  中間都蠻有意思的
[00:01:51.000 --> 00:01:54.000]  就是說在第六章
[00:01:54.000 --> 00:01:59.000]  剛剛在第七章開頭已經說到城牆蓋好了
[00:01:59.000 --> 00:02:03.000]  到了第八章就是有復興
[00:02:03.000 --> 00:02:08.000]  中間這章究竟有什麼要跟我們說呢?
[00:02:08.000 --> 00:02:11.000]  所以我相信這個對我們來說都非常有意思
[00:02:11.000 --> 00:02:13.000]  或者我們都值得去思想
[00:02:13.000 --> 00:02:20.000]  就是說我們怎樣去預備神的復興來臨呢?
[00:02:20.000 --> 00:02:22.000]  神的復興如果要來臨的時候
[00:02:22.000 --> 00:02:23.000]  我們怎樣去預備呢?
[00:02:23.000 --> 00:02:27.000]  整個尼西米其實當我一路去說的時候
[00:02:27.000 --> 00:02:29.000]  這次我們是從一個角度
[00:02:29.000 --> 00:02:31.000]  就是說其實尼西米的工作
[00:02:31.000 --> 00:02:34.000]  其實跟教會復興的工作息息相關
[00:02:34.000 --> 00:02:37.000]  而教會又怎樣去得到復興呢?
