
[00:00:00.000 --> 00:00:02.660]  今次和大家看這個經文
[00:00:02.660 --> 00:00:04.260]  其實就是想講一件事
[00:00:04.260 --> 00:00:06.000]  就是神與我們同在
[00:00:06.000 --> 00:00:07.300]  神與我們同在
[00:00:07.300 --> 00:00:09.100]  英文叫以馬內利
[00:00:09.100 --> 00:00:11.280]  你無論叫做Emmanuel也好
[00:00:11.280 --> 00:00:12.280]  Inmanuel也好
[00:00:12.280 --> 00:00:13.440]  有些是E字頭的
[00:00:13.440 --> 00:00:14.440]  有些是I字頭的
[00:00:14.440 --> 00:00:15.040]  這個不重要
[00:00:15.040 --> 00:00:17.880]  因為本身根本就不是英文來的
[00:00:17.880 --> 00:00:19.780]  是由希伯來文那裡開始
[00:00:19.780 --> 00:00:21.580]  然後有希列文
[00:00:21.580 --> 00:00:22.680]  然後又不是英文
[00:00:22.680 --> 00:00:24.120]  又有中文這樣下來
[00:00:24.120 --> 00:00:27.260]  所以這個是譯音的問題
[00:00:27.860 --> 00:00:31.460]  原來神與我們同在的這個真理
[00:00:31.460 --> 00:00:33.460]  是重要到
[00:00:33.460 --> 00:00:36.000]  由創世紀一直到啟示錄
[00:00:36.000 --> 00:00:37.500]  你看到嗎?
[00:00:37.500 --> 00:00:38.840]  我給你多少經文
[00:00:38.840 --> 00:00:41.200]  就是因為由創世紀開始
[00:00:41.200 --> 00:00:43.340]  一直一直到啟示錄
[00:00:43.340 --> 00:00:45.980]  所以這麼多經文代表了什麼呢?
[00:00:45.980 --> 00:00:47.740]  代表了它的重要性
[00:00:47.740 --> 00:00:48.440]  對不對?
[00:00:48.440 --> 00:00:54.580]  我前幾天和一個以前在加拿大的哥哥
[00:00:54.580 --> 00:00:56.060]  我們叫哥哥的兄弟
[00:00:56.060 --> 00:00:58.880]  所以我們叫慶雲哥
[00:00:58.880 --> 00:01:00.180]  慶雲哥在這裡
[00:01:00.180 --> 00:01:01.360]  我們慶雲哥
[00:01:01.360 --> 00:01:03.860]  那個叫做XX哥哥
[00:01:03.860 --> 00:01:07.300]  我很記得他以前在加拿大
[00:01:07.300 --> 00:01:08.500]  他比我年紀大一點
[00:01:08.500 --> 00:01:09.600]  他已經過了70了
[00:01:09.600 --> 00:01:12.600]  他很多時候雖然是一個評訓徒
[00:01:12.600 --> 00:01:15.540]  但是他有時候也有講道
[00:01:15.540 --> 00:01:18.780]  因為他是多倫多大學的一個醫學院的教授
[00:01:18.780 --> 00:01:20.040]  UBC的教授
[00:01:20.040 --> 00:01:21.940]  又回來香港中文大學做教授
[00:01:21.940 --> 00:01:25.980]  他的專門就是微生物學的博士
[00:01:25.980 --> 00:01:28.280]  但是他又很有心
[00:01:28.280 --> 00:01:30.120]  在教會上侍奉
[00:01:30.120 --> 00:01:31.780]  他覺得要學習
[00:01:31.780 --> 00:01:36.120]  於是他就去了神學院讀了一個神道學碩士
[00:01:36.120 --> 00:01:37.800]  就是為了想去學習而已
[00:01:37.800 --> 00:01:40.000]  不是說想做傳道的問題
[00:01:40.000 --> 00:01:42.100]  我很記得他在台上講道
[00:01:42.100 --> 00:01:44.460]  雖然他講什麼我已經忘記了
[00:01:44.460 --> 00:01:45.100]  這麼多年了
[00:01:45.100 --> 00:01:46.960]  真的是有幾十年前
[00:01:46.960 --> 00:01:49.300]  他很喜歡一件事講的時候
[00:01:49.300 --> 00:01:50.600]  他說不尋常的
[00:01:50.600 --> 00:01:51.400]  不尋常的
[00:01:51.400 --> 00:01:52.140]  不尋常的
