
[00:00:00.000 --> 00:00:20.520]  (演奏)
[00:00:20.520 --> 00:00:24.040]  詩篇一百二十一篇 經文不長
[00:00:24.040 --> 00:00:26.520]  我們可以大家慢慢的一起來唸
[00:00:26.520 --> 00:00:29.080]  非常美麗的一篇詩篇
[00:00:29.080 --> 00:00:30.440]  好 我們來
[00:00:30.440 --> 00:00:33.040]  我要向善舉目
[00:00:33.040 --> 00:00:35.920]  我的幫助從何而來
[00:00:35.920 --> 00:00:40.440]  我的幫助從造天地的耶和華而來
[00:00:40.440 --> 00:00:43.520]  他必不叫你的腳搖動
[00:00:43.520 --> 00:00:46.360]  保護你的必不打盹
[00:00:46.360 --> 00:00:49.440]  保護以色列的也不打盹
[00:00:49.440 --> 00:00:51.120]  也不睡覺
[00:00:51.120 --> 00:00:53.720]  保護你的是耶和華
[00:00:53.720 --> 00:00:57.200]  耶和華在你右邊隱蔽你
[00:00:57.200 --> 00:01:00.160]  白日太陽必不向你
[00:01:00.160 --> 00:01:03.160]  夜間月亮必不害你
[00:01:03.160 --> 00:01:05.560]  耶和華要保護你
[00:01:05.560 --> 00:01:08.040]  免受一切的災害
[00:01:08.040 --> 00:01:10.640]  他要保護你的性命
[00:01:10.640 --> 00:01:12.360]  你出你日
[00:01:12.360 --> 00:01:14.640]  耶和華要保護你
[00:01:14.640 --> 00:01:18.840]  從今時直到永遠
[00:01:18.840 --> 00:01:21.960]  我曾經坐飛機從
[00:01:21.960 --> 00:01:26.120]  巴勒斯坦的曠野的上空飛過
[00:01:26.120 --> 00:01:29.960]  那我從那個窗口往下看的時候
[00:01:29.960 --> 00:01:34.640]  看到原來那個曠野真的延綿的山脈
[00:01:34.640 --> 00:01:37.440]  一個接着一個一個接着一個
[00:01:37.440 --> 00:01:39.040]  那個時候我就開始明白
[00:01:39.040 --> 00:01:41.800]  以色列人當年40年
[00:01:41.800 --> 00:01:45.360]  在這個地方什麼都沒有隻有山
[00:01:45.360 --> 00:01:51.480]  就漂流遊蕩40年的時間
