
[00:00:00.000 --> 00:00:02.960]  今日和大家分享到上人傳第十八章
[00:00:02.960 --> 00:00:07.280]  是講到保羅在哥倫多開荒開始的侍奉
[00:00:07.280 --> 00:00:09.400]  其中保羅在這個開荒侍奉裏面
[00:00:09.400 --> 00:00:15.600]  可能經歷了很大的困擾或者擔心或者懼怕
[00:00:15.600 --> 00:00:18.440]  所以主在夜間特別鼓勵他
[00:00:18.440 --> 00:00:22.760]  提醒他不要怕 只管講 不要閉口
[00:00:22.760 --> 00:00:25.720]  在人生裏面我們都可能有不同的環境
[00:00:25.720 --> 00:00:27.440]  我們都有不同的挑戰
[00:00:27.440 --> 00:00:30.760]  或者個人 或者家庭 或者社會 或者教會
[00:00:30.760 --> 00:00:32.440]  我們都求主這句說話
[00:00:32.440 --> 00:00:35.120]  不要怕 只管講 不要閉口
[00:00:35.120 --> 00:00:36.200]  給我們一個鼓勵
[00:00:36.200 --> 00:00:39.160]  我們看今日經文十八章一到十七節
[00:00:39.160 --> 00:00:42.880]  我讀單數節 請看節目讀雙數節
[00:00:42.880 --> 00:00:46.760]  「這事以後保羅來了雅典 來到哥倫多」
[00:00:57.440 --> 00:01:11.040]  「他們本是製造帳篷為業 保羅因與他們同業 就和他們同處做工」
[00:01:11.040 --> 00:01:26.760]  「西拉和提摩泰從馬其頓來的時候 保羅畏度迫切 向猶太人證明耶穌是基督」
[00:01:26.760 --> 00:01:32.200]  「從此以往 保羅就守著天主的旨意」
[00:01:32.200 --> 00:01:36.960]  「祈求耶穌歸到天主的教堂 免我誣告」
[00:01:36.960 --> 00:01:40.760]  「從今以後保羅要和海航人打對抗」
[00:01:40.760 --> 00:01:44.000]  「於是離開那裡 到了一個人的家中」
[00:01:44.000 --> 00:01:48.400]  「這人名叫提多 由始至終是敬拜神的」
[00:01:48.400 --> 00:01:50.760]  「他的家靠近會堂」
[00:01:50.760 --> 00:02:00.440]  「護護我的基督 保護我至高的信徒們」
[00:02:00.440 --> 00:02:06.680]  「夜間主在異象中對保羅說 不要怕 只管說 不要閉口」
[00:02:06.680 --> 00:02:10.960]  「祈求耶穌說 以後有人打破海面」
[00:02:10.960 --> 00:02:14.960]  「將來的地區 會有很多人打拼」
[00:02:14.960 --> 00:02:20.440]  「保羅在那裡住了一年零六個月 將神的道教訓他們」
[00:02:20.440 --> 00:02:24.280]  「從今以後保羅要和海航人打對抗」
[00:02:24.280 --> 00:02:27.480]  「於是離開那裡 到了一個人的家中」
[00:02:27.480 --> 00:02:33.800]  「這人名叫提多 由始至終是敬拜神的」
[00:02:33.800 --> 00:02:38.160]  「於是離開那裡 到了一個人的家中」
[00:02:38.160 --> 00:02:43.560]  「這人名叫提多 由始至終是敬拜神的」
[00:02:43.560 --> 00:02:46.080]  「保羅在那裡住了一年零六個月 將神的道教訓他們」
[00:02:46.080 --> 00:02:50.960]  「但所爭論的 若是關乎言語 名目和你們的律法」
[00:02:50.960 --> 00:02:57.920]  「你們自己去辦吧 這是我不願意審問的」
[00:02:57.920 --> 00:03:02.760]  「眾人便抽著管會堂的鎖提來 在堂前打他」
[00:03:02.760 --> 00:03:04.880]  「這是家流都不管」
[00:03:04.880 --> 00:03:11.000]  要記載保羅去到哥倫多開荒的行程
[00:03:11.000 --> 00:03:15.560]  當中有挑戰 當中有果子 當中有長期的奮鬥
[00:03:15.560 --> 00:03:18.480]  保羅其中一個幕 可能在這個過程當中
[00:03:18.480 --> 00:03:21.920]  有一段很擔心或者驚懼的時候
[00:03:21.920 --> 00:03:23.880]  或者是有挑戰的時候
[00:03:23.880 --> 00:03:28.360]  神就跟他說 不要怕 只管講 不要閉口
[00:03:28.360 --> 00:03:29.760]  所以這個提醒就是
[00:03:29.760 --> 00:03:32.280]  無論是我們基督徒或者神的僕人
[00:03:32.280 --> 00:03:37.560]  有時都有一段懼怕和驚慌或者是經歷艱辛的時候
[00:03:37.560 --> 00:03:39.640]  但主提醒我們不要怕
