
[00:00:00.000 --> 00:00:04.000]  過去幾個星期我們都講到以弗所書
[00:00:04.000 --> 00:00:07.000]  過去幾個星期我們都在學習以弗所書
[00:00:07.000 --> 00:00:10.000]  今天來到以弗所書的最後一講
[00:00:10.000 --> 00:00:12.000]  那麼今天是以弗所書的最後一講
[00:00:12.000 --> 00:00:14.000]  那麼題目是不再隱藏的奧秘
[00:00:14.000 --> 00:00:17.000]  題目是不再隱藏的奧秘
[00:00:17.000 --> 00:00:24.000]  很奇怪 保羅就是形容基督的福音為奧秘
[00:00:24.000 --> 00:00:28.000]  很奇怪 保羅形容這個福音是奧秘
[00:00:28.000 --> 00:00:31.000]  今天我們個個都知道福音的意義
[00:00:31.000 --> 00:00:34.000]  今天我們大家都知道福音的意義
[00:00:34.000 --> 00:00:37.000]  不過在於當日的猶太人來說
[00:00:37.000 --> 00:00:39.000]  但是對當時的猶太人來說
[00:00:39.000 --> 00:00:40.000]  並不是這樣
[00:00:40.000 --> 00:00:41.000]  並不是這樣的
[00:00:41.000 --> 00:00:44.000]  那就讓我們重溫什麼是福音的奧秘呢
[00:00:44.000 --> 00:00:47.000]  今天讓我們重溫什麼是福音的奧秘呢
[00:00:47.000 --> 00:00:50.000]  而這個奧秘是怎樣影響我們的生活呢
[00:00:50.000 --> 00:00:53.000]  那麼這個奧秘是怎樣影響我們生活的呢
[00:00:53.000 --> 00:00:57.000]  我們第一個要看的就是我們需要明白這個奧秘
[00:00:57.000 --> 00:01:00.000]  那麼我們首先要明白什麼是這個奧秘
[00:01:00.000 --> 00:01:03.000]  在這個我們剛才讀的經文一開始的時候
[00:01:03.000 --> 00:01:05.000]  剛才在讀經文剛開始的時候
[00:01:05.000 --> 00:01:07.000]  保羅就說 因此
[00:01:07.000 --> 00:01:09.000]  保羅說 因此
[00:01:09.000 --> 00:01:12.000]  我為你們外邦人作了基督耶穌被囚的
[00:01:12.000 --> 00:01:16.000]  我為你們外邦人作了基督耶穌被囚的
[00:01:16.000 --> 00:01:23.000]  那他被囚的原因就記載在之前的第二章
[00:01:23.000 --> 00:01:26.000]  他被囚的原因記錄在之前的第二章
[00:01:26.000 --> 00:01:28.000]  那麼大家都知道
[00:01:28.000 --> 00:01:32.000]  上個星期張傳道跟我們講的訊息
[00:01:32.000 --> 00:01:35.000]  大家都還記得上週張傳道跟我們講的訊息
