
[00:00:00.000 --> 00:00:03.000]  好,今天大會要我講的人物
[00:00:03.000 --> 00:00:05.860]  就叫做耶穆王
[00:00:05.860 --> 00:00:09.200]  耶穆王我想做一個調查
[00:00:09.200 --> 00:00:11.960]  有多少人聽過耶穆王
[00:00:11.960 --> 00:00:14.460]  這個皇帝的名字,聽過的,聽過而已
[00:00:14.460 --> 00:00:16.380]  不一定懂,聽過而已
[00:00:16.380 --> 00:00:19.100]  嘩,不是很多而已,這麼少的
[00:00:19.100 --> 00:00:21.200]  所以今天我講長一點,不關我的事
[00:00:21.200 --> 00:00:23.940]  因為不認識他,所以我講長一點
[00:00:23.940 --> 00:00:26.720]  所以不關我的事,如果過時不關我的事
[00:00:26.720 --> 00:00:29.700]  不會的,不會的,我一定會準時
[00:00:30.020 --> 00:00:33.020]  耶穆王在教會叫我講
[00:00:33.020 --> 00:00:35.880]  我不是很多時候去研究
[00:00:35.880 --> 00:00:38.540]  列王記上下,這些皇帝
[00:00:38.540 --> 00:00:41.640]  我都是很籠統的認識
[00:00:41.640 --> 00:00:44.420]  一些皇帝,當然我們一定認識
[00:00:44.420 --> 00:00:47.220]  蘇羅王,大衛王,還有所羅門王
[00:00:47.220 --> 00:00:50.580]  我一定認識這三個,這三個我經常都會提這三個皇帝
[00:00:50.580 --> 00:00:52.880]  但一去到所羅門之後
[00:00:52.880 --> 00:00:55.680]  皇國就分裂
[00:00:55.680 --> 00:00:59.900]  在北邊的國家,就叫做以色列
[00:00:59.900 --> 00:01:02.780]  在南邊就叫做友大
[00:01:02.780 --> 00:01:05.700]  所以十個支派是在北國以色列
[00:01:05.700 --> 00:01:08.920]  在南國就是兩個支派
[00:01:08.920 --> 00:01:11.740]  而當時在北邊的以色列
[00:01:11.740 --> 00:01:14.740]  當中有九個皇朝,出現過九個皇朝
[00:01:14.740 --> 00:01:18.000]  但是呢,有十九個皇帝
[00:01:18.000 --> 00:01:20.860]  沒有一個皇帝,是一些成岳家
[00:01:20.860 --> 00:01:21.860]  一些色經家
[00:01:21.860 --> 00:01:23.380]  覺得
[00:01:23.380 --> 00:01:26.820]  有一個皇帝是好的
[00:01:26.820 --> 00:01:29.820]  在北國的以色列,沒有一個皇帝是好的
[00:01:29.820 --> 00:01:30.820]  沒有一個皇帝
[00:01:30.820 --> 00:01:32.220]  但是
[00:01:32.220 --> 00:01:33.700]  這個耶護呢
[00:01:33.700 --> 00:01:36.420]  就是在北國做皇帝的
[00:01:36.420 --> 00:01:39.780]  他是北國的耶護皇朝那邊
[00:01:39.780 --> 00:01:41.000]  第一個皇帝
[00:01:41.000 --> 00:01:44.360]  那你說
[00:01:44.360 --> 00:01:46.420]  沒有一個好,為什麼你的題目是什麼呢?
[00:01:46.420 --> 00:01:48.860]  善?
[00:01:48.860 --> 00:01:51.240]  惡?
[00:01:51.240 --> 00:01:52.240]  就是說
[00:01:52.240 --> 00:01:55.480]  究竟是好的,還是不好的
[00:01:55.480 --> 00:01:58.040]  當然
[00:01:58.040 --> 00:02:01.060]  以前有一首歌
[00:02:01.060 --> 00:02:04.060]  《難為正邪來分界》
[00:02:04.060 --> 00:02:07.040]  不知道你坐在旁邊的那個是正的
[00:02:07.040 --> 00:02:10.040]  還是邪的,你都不知道
[00:02:10.040 --> 00:02:13.040]  但有時候是正的,有時候是邪的
[00:02:13.040 --> 00:02:16.040]  究竟這個耶護是不是一種又正
[00:02:16.040 --> 00:02:19.260]  又邪,又善,又惡的一個皇帝
[00:02:19.260 --> 00:02:22.160]  這是我的question mark
[00:02:22.160 --> 00:02:25.160]  當然我們看回他的背景
