
[00:00:00.000 --> 00:00:03.020]  (主席) 平安
[00:00:03.020 --> 00:00:06.380]  當我想起年輕的時候
[00:00:06.380 --> 00:00:08.920]  還是沉迷打遊戲的時候
[00:00:08.920 --> 00:00:11.940]  我曾經希望任天堂
[00:00:11.940 --> 00:00:16.460]  能夠出一個角色扮演的遊戲
[00:00:16.460 --> 00:00:18.500]  就是《耶穌傳》
[00:00:18.500 --> 00:00:19.340]  可以出了
[00:00:19.340 --> 00:00:20.340]  已經出了
[00:00:20.340 --> 00:00:22.580]  OK 麻煩你
[00:00:22.580 --> 00:00:24.700]  就是《耶穌傳》
[00:00:24.700 --> 00:00:29.220]  讓玩家能夠控制耶穌的一舉一動
[00:00:29.220 --> 00:00:32.980]  而聖經就是這個遊戲的攻略本
[00:00:32.980 --> 00:00:36.900]  如果能夠跟足聖經去玩這個遊戲的話
[00:00:36.900 --> 00:00:41.060]  例如我們控制耶穌要到淡河
[00:00:41.060 --> 00:00:43.420]  然後你跟不同人聊天
[00:00:43.420 --> 00:00:46.460]  你一定要找到那個施洗約翰
[00:00:46.460 --> 00:00:48.180]  跟他聊了幾句之後
[00:00:48.180 --> 00:00:49.700]  當他說
[00:00:49.700 --> 00:00:52.100]  不如你為我施洗吧
[00:00:52.100 --> 00:00:53.820]  你千萬不要選擇這個
[00:00:53.820 --> 00:00:57.020]  你要選擇他為你施洗
[00:00:57.020 --> 00:01:00.100]  這樣的話你選對了的話
[00:01:00.100 --> 00:01:02.620]  到時候天就會開了
[00:01:02.620 --> 00:01:05.780]  然後有聖靈彷彿甲子降下
[00:01:05.780 --> 00:01:07.180]  然後又有聲音出來
[00:01:07.180 --> 00:01:10.500]  「這是我的愛子,我所喜悅的」
[00:01:10.500 --> 00:01:13.460]  我心想這個遊戲挺好玩的
[00:01:13.460 --> 00:01:16.380]  我覺得一定會大賣的
[00:01:16.380 --> 00:01:18.740]  當我繼續想的時候
[00:01:18.740 --> 00:01:21.020]  我就覺得到這個遊戲
[00:01:21.020 --> 00:01:24.380]  到最後爆機的時候
[00:01:24.380 --> 00:01:27.500]  最後那一幕究竟是哪一幕好呢?
[00:01:27.500 --> 00:01:32.940]  是否停留在最後耶穌真正復活
[00:01:32.940 --> 00:01:35.660]  這一幕夠經典了吧
[00:01:35.660 --> 00:01:37.860]  這個當然是一個高潮
[00:01:37.860 --> 00:01:39.500]  但是我心想
[00:01:39.500 --> 00:01:41.620]  如果爆機的畫面
[00:01:41.620 --> 00:01:46.540]  可以在馬太福音28章剛才的片段的話
[00:01:46.540 --> 00:01:48.420]  就更加厲害了
[00:01:48.420 --> 00:01:49.780]  為什麼呢?
[00:01:49.780 --> 00:01:56.380]  就因為耶穌傳停留在耶穌頒佈大使命
[00:01:56.380 --> 00:01:58.820]  在這個位置停留的話
[00:01:58.820 --> 00:02:00.980]  順理成章
[00:02:00.980 --> 00:02:02.860]  遊戲的廠家
[00:02:02.860 --> 00:02:05.900]  就是這個遊戲的廠家
[00:02:05.900 --> 00:02:11.580]  就能夠推出《耶穌傳2之使徒行傳》
[00:02:11.580 --> 00:02:16.020]  這樣就可以繼續玩下去了
[00:02:16.020 --> 00:02:21.780]  今天講到的經文正正就是來自這個經典的片段
[00:02:21.780 --> 00:02:22.580]  當然啦
[00:02:22.580 --> 00:02:27.780]  剛才我說的都是一些兒時的幻想
[00:02:27.780 --> 00:02:31.180]  今天我們真真正正看回經文的時候
[00:02:31.180 --> 00:02:33.500]  希望我們能夠從當中
[00:02:33.500 --> 00:02:38.300]  領受一些由主而來的教導和提醒
[00:02:38.300 --> 00:02:44.380]  我們一起祈禱
[00:02:44.380 --> 00:02:50.060]  聖靈求祢進入我們每一個人的心坎
[00:02:50.060 --> 00:02:53.020]  讓我們都能夠同感一靈
[00:02:53.020 --> 00:02:57.540]  讓聽的、講的都能夠同得益處
[00:02:57.540 --> 00:03:00.180]  得到祢的滋潤和提醒
[00:03:00.180 --> 00:03:01.580]  我們祈禱感恩
[00:03:01.580 --> 00:03:04.780]  直立救主耶穌基督的聖命祈求
[00:03:04.780 --> 00:03:08.700]  阿門
[00:03:08.700 --> 00:03:14.740]  各國他的失敗已經轉變成為加利利的勝利
[00:03:14.740 --> 00:03:16.900]  《馬太福音》最後這五節的經文
[00:03:16.900 --> 00:03:21.220]  可以說是整個福音書的高潮所在
[00:03:21.220 --> 00:03:25.060]  在《馬太福音》的一章第一節一開始的時候
[00:03:25.060 --> 00:03:27.700]  這個耶穌基督就被形容為
[00:03:27.700 --> 00:03:29.300]  阿伯拉罕的後裔
[00:03:29.300 --> 00:03:31.380]  大衛的子孫
[00:03:31.380 --> 00:03:34.940]  在一章二十三節那裡也說
[00:03:34.940 --> 00:03:38.500]  耶穌的名字要稱為「以馬來尼」
[00:03:38.500 --> 00:03:41.020]  就是「上帝與人同在」
[00:03:41.020 --> 00:03:45.660]  剛才《雅各團契》那首歌也是這個
[00:03:45.660 --> 00:03:48.180]  這個神是誰呢?
[00:03:48.180 --> 00:03:49.620]  就是耶穌基督
[00:03:49.620 --> 00:03:51.300]  祂能夠戰勝死亡
[00:03:51.300 --> 00:03:52.860]  復活、顯現
