
[00:00:00.000 --> 00:00:03.940]  當我們要去發展 要去擴展的時候
[00:00:03.940 --> 00:00:07.120]  我就去看這段經文
[00:00:07.120 --> 00:00:13.180]  這段經文給我們有很多不同的體會
[00:00:13.180 --> 00:00:19.120]  其實教會 如果我們在生活上
[00:00:19.120 --> 00:00:23.280]  一切順利在神的恩手裡面
[00:00:23.280 --> 00:00:28.400]  我們很喜歡維持現狀的
[00:00:28.400 --> 00:00:30.500]  人都不想變
[00:00:30.500 --> 00:00:34.800]  變有一種焦慮的感覺 不知道變成什麼樣
[00:00:34.800 --> 00:00:39.620]  昨晚我睡得不太好
[00:00:39.620 --> 00:00:45.120]  五點多就醒了 要早一點起床
[00:00:45.120 --> 00:00:49.960]  有一種焦慮的感覺 因為教會改變
[00:00:49.960 --> 00:00:52.920]  由一堂崇拜到兩堂崇拜
[00:00:52.920 --> 00:00:55.800]  但是當我們看到神給我們很多恩典的時候
[00:00:55.800 --> 00:00:59.120]  我們又不能夠不回應神給我們的恩典
[00:00:59.120 --> 00:01:01.200]  我們真的要去向前
[00:01:01.200 --> 00:01:05.140]  因為在神給我們的恩典裡面
[00:01:05.140 --> 00:01:07.680]  他給我們的愛裡面
[00:01:07.680 --> 00:01:09.520]  我們的確無以為報
[00:01:09.520 --> 00:01:12.640]  我們只可以為他工作
[00:01:12.640 --> 00:01:16.600]  當我們去想為神工作的時候
[00:01:16.600 --> 00:01:18.140]  我們應該怎麼樣
[00:01:18.140 --> 00:01:20.800]  我們是不是設一個界限
[00:01:20.800 --> 00:01:26.000]  設一個底線 給自己一個框框
[00:01:26.000 --> 00:01:28.240]  但是這裡就很清楚告訴我們
[00:01:28.240 --> 00:01:30.000]  原來我們要作神的工作
[00:01:30.000 --> 00:01:31.840]  我們不應該有底線
[00:01:31.840 --> 00:01:34.080]  我們不可以有框框
[00:01:34.080 --> 00:01:37.280]  我們更加不可以自己限自己
[00:01:37.280 --> 00:01:41.600]  以色列人當時有一個什麼樣的光景
[00:01:41.600 --> 00:01:44.120]  當我們贖救約的時候
