
[00:00:00.000 --> 00:00:03.660]  各位觀眾好,我們今天的題目是為兒受苦
[00:00:03.660 --> 00:00:07.300]  我想我們基督徒很多時候,我們的生命就是一個見證
[00:00:07.300 --> 00:00:11.140]  我們怎樣去在人面前展現我們的生命
[00:00:11.140 --> 00:00:12.580]  給到別人的祝福
[00:00:12.580 --> 00:00:15.380]  但是我們會否要付這個代價呢?
[00:00:15.380 --> 00:00:17.640]  這個是很值得我們一起學習
[00:00:17.640 --> 00:00:19.640]  我們一起去禱告
[00:00:19.640 --> 00:00:24.940]  天父我們多謝你,讓我們今天一同去聽你的話語
[00:00:24.940 --> 00:00:33.260]  求聖靈幫助我們,叫我們在人群當中怎樣去活出一個見證
[00:00:33.260 --> 00:00:37.560]  求主祢叫我們,藉著祢的話去兼顧我們
[00:00:37.560 --> 00:00:40.700]  祈禱奉主耶穌基督的名,阿們
[00:00:40.700 --> 00:00:49.320]  在1966年,在德州的奧斯丁大學發生了一件事
[00:00:49.320 --> 00:00:57.100]  在八月的時候,八月一日發生了一個很傷痛的事情
[00:00:57.100 --> 00:01:03.340]  就是有一個學生,他是一個大學的學生
[00:01:03.340 --> 00:01:10.040]  他之前是在海軍那裏做士兵的
[00:01:10.040 --> 00:01:13.940]  即是海軍,其實就是拿到這個獎學金
[00:01:13.940 --> 00:01:19.060]  去到大學那裏讀書,他應該讀一些機械工程等等
[00:01:19.060 --> 00:01:24.040]  但是這位學生,他叫Charles Whiteman
[00:01:24.040 --> 00:01:29.820]  因為他有些情緒的問題,加上讀書拿成績也不是很好
[00:01:29.820 --> 00:01:31.480]  所以很困擾
[00:01:31.480 --> 00:01:37.660]  有一天他拿著很多的槍械和一些武器
[00:01:37.660 --> 00:01:43.780]  走到大學的主樓那裏,是一個鐘樓
[00:01:43.780 --> 00:01:49.220]  三十層那麼高,他就走上去把這些槍械擺平
[00:01:49.220 --> 00:01:55.080]  然後他在大約中午的時候,就去底下那些人發槍
[00:01:55.080 --> 00:01:58.720]  去那些學生、徒人那樣,你想一下他受過訓練
[00:01:58.720 --> 00:02:00.740]  殺傷力很大
[00:02:00.740 --> 00:02:06.460]  其中有一個地方是一個空地,有一個女士在當中被他槍傷
[00:02:06.460 --> 00:02:10.760]  而這個女士是一個懷孕的婦女
[00:02:10.760 --> 00:02:15.520]  她被槍傷之後,但是因為在空地裏面太過顯眼
[00:02:15.520 --> 00:02:18.120]  沒有人敢去營救這個婦女
[00:02:18.120 --> 00:02:26.120]  直到一段時間,有兩個男人去冒死走到這個空地
[00:02:26.120 --> 00:02:30.540]  一人拿著兩隻手,另外一個拿著兩隻腳
[00:02:30.540 --> 00:02:36.720]  很快地把她搬離這個危險的現場,救了這個女性
[00:02:36.720 --> 00:02:41.640]  但很可惜最後這個嬰孩都不能夠生存
[00:02:41.640 --> 00:02:45.980]  這個是歷史裏面很震撼的一個悲劇
[00:02:45.980 --> 00:02:49.720]  在這個大學的校園,歷時了九十分鐘
[00:02:49.720 --> 00:02:54.460]  然後有兩個冒死的警員走到上去塔頂那裏
[00:02:54.460 --> 00:02:58.180]  把他擊斃,把這個威名擊斃
[00:02:58.180 --> 00:03:02.620]  從此之後,這個校園是改變了
[00:03:02.620 --> 00:03:06.300]  很嚴陣的去以待所有這些槍擊的事件
[00:03:06.300 --> 00:03:13.460]  所以成為了一個很多警衛安排的地方
[00:03:13.460 --> 00:03:15.960]  我們看看這個是一個很大的悲劇
[00:03:15.960 --> 00:03:20.560]  要保護人的生命,能夠避免更多的傷亡
[00:03:20.560 --> 00:03:26.440]  是需要一個冒險,甚至自己的生命都要擺上
[00:03:26.440 --> 00:03:28.400]  我們又想一下我們基督徒
[00:03:28.400 --> 00:03:30.880]  其實我們何嘗不是救一些生命
[00:03:30.880 --> 00:03:35.120]  這些生命比我們肉身的生命更加重要
[00:03:35.120 --> 00:03:39.820]  不過我們會不會願意這樣去付出這個代價
[00:03:39.820 --> 00:03:43.500]  去做這個拯救的工作
[00:03:43.500 --> 00:03:46.780]  這個就是你和我的挑戰
[00:03:46.780 --> 00:03:49.380]  其實有時我們在這個世代裏面
[00:03:49.380 --> 00:03:52.320]  去和別人分享信仰都很不容易的
[00:03:52.320 --> 00:03:54.080]  我記得有一次我和別人分享
[00:03:54.080 --> 00:03:58.340]  一個朋友,我當時在美國
[00:03:58.340 --> 00:04:00.560]  當我一和他分享的時候
[00:04:00.560 --> 00:04:02.740]  我本來和他約了吃飯的
[00:04:02.740 --> 00:04:08.060]  誰知飯都沒得吃,他就當堂和我吵架
