
[00:00:00.000 --> 00:00:04.020]  人的一生總有大大小小的恐懼
[00:00:04.020 --> 00:00:07.920]  我小時候怕黑
[00:00:07.920 --> 00:00:11.900]  長大後怕窮
[00:00:11.900 --> 00:00:15.540]  老人家怕死
[00:00:15.540 --> 00:00:20.300]  這是很典型的人生階段不同的恐懼
[00:00:20.300 --> 00:00:23.000]  西方人不同
[00:00:23.000 --> 00:00:28.200]  西方人將恐懼作為一種心理狀態的研究
[00:00:28.700 --> 00:00:31.920]  我看過美國幾間大學的相關研究
[00:00:31.920 --> 00:00:33.860]  答案很相似
[00:00:33.860 --> 00:00:38.000]  在美國人心目中有幾個人是最害怕的
[00:00:38.000 --> 00:00:40.600]  其中一個你想不到
[00:00:40.600 --> 00:00:42.460]  不是第一第二的
[00:00:42.460 --> 00:00:45.160]  就是站出來說話
[00:00:45.160 --> 00:00:48.040]  原來站出來說話是很害怕的
[00:00:48.040 --> 00:00:51.340]  真是無論我在教會內
[00:00:51.340 --> 00:00:53.660]  或者在社會上開一些
[00:00:53.660 --> 00:00:56.260]  有關演說傳譯的課程
[00:00:56.260 --> 00:00:57.280]  總會有一個問題
[00:00:57.280 --> 00:01:00.680]  阿sir,我準備上台就腳軟
[00:01:00.680 --> 00:01:03.220]  又緊張又忘記了怎麼辦好呢?
[00:01:03.220 --> 00:01:07.940]  當然他有三大心法五大劍法傳授給他
[00:01:07.940 --> 00:01:11.940]  我的經驗是上完我的課後就不害怕了
[00:01:11.940 --> 00:01:15.080]  今日題目是
[00:01:15.080 --> 00:01:18.260]  最大的恐懼
[00:01:18.260 --> 00:01:24.200]  有人會知道整個句子是什麼
[00:01:25.340 --> 00:01:30.260]  最大的恐懼就是恐懼本身
[00:01:30.260 --> 00:01:33.460]  這句話其實是
[00:01:33.460 --> 00:01:37.040]  出自美國的小羅斯福總統
[00:01:37.040 --> 00:01:38.380]  美國有兩個小羅斯福總統
[00:01:38.380 --> 00:01:40.840]  一個老羅斯福,一個叫小羅斯福
[00:01:40.840 --> 00:01:44.960]  1933年小羅斯福總統
[00:01:44.960 --> 00:01:47.540]  在就職禮上說了一句話
[00:01:47.540 --> 00:01:53.240]  當時正是美國面對戰後的經濟大蕭條
[00:01:54.580 --> 00:01:56.920]  失業率百分之二十五
[00:01:56.920 --> 00:02:01.040]  四人當中就有一個失業
[00:02:01.040 --> 00:02:04.100]  香港百分之七已經喊救命了
[00:02:04.100 --> 00:02:06.100]  百廢待興
[00:02:06.100 --> 00:02:08.640]  他就說了一句話
[00:02:08.640 --> 00:02:14.160]  我們唯一的恐懼就是恐懼本身
[00:02:14.160 --> 00:02:19.120]  我們唯一的恐懼就是恐懼本身
[00:02:19.120 --> 00:02:23.760]  於是後來就將這句話慢慢演變成
[00:02:24.220 --> 00:02:26.040]  我們最大的恐懼
[00:02:26.040 --> 00:02:28.640]  也可能不是唯一,有很多恐懼
