
[00:00:00.000 --> 00:00:05.500]  我無論如何也要提一提《一字九節》的前背景
[00:00:05.500 --> 00:00:09.500]  其實是一個使命的完成
[00:00:09.500 --> 00:00:14.500]  當時一直說到現在約書亞記差不多要結束了
[00:00:14.500 --> 00:00:18.000]  仗也打完了,地也分好了
[00:00:18.000 --> 00:00:22.500]  於是約書亞就吩咐那兩個半支派你完成了使命了
[00:00:22.500 --> 00:00:26.500]  於是你們就可以回到河東你們選擇的地方
[00:00:26.500 --> 00:00:34.000]  但是大家都知道約旦河東並不是神賜給以色列民的一個應許之地
[00:00:34.000 --> 00:00:39.500]  所以長情留待下個星期的講完跟大家分享
[00:00:39.500 --> 00:00:42.500]  但是有一節的經文也很特別
[00:00:42.500 --> 00:00:45.000]  約書亞說話也很有意思的
[00:00:45.000 --> 00:00:48.000]  他在第四節說
[00:00:48.000 --> 00:00:51.500]  河西各個支派在神的應許之下
[00:00:51.500 --> 00:00:55.000]  能夠在應許之地裡得著平安
[00:00:55.000 --> 00:00:58.000]  但是河東支派你們可以回到你們的地方
[00:00:58.000 --> 00:01:00.500]  回到你們的帳篷那裡
[00:01:00.500 --> 00:01:02.000]  帳篷是什麼?
[00:01:02.000 --> 00:01:03.500]  帳幕,好像露營一樣
[00:01:03.500 --> 00:01:06.000]  搬來搬去,你們繼續留下來
[00:01:06.000 --> 00:01:10.000]  在神的應許之地的人得著平安
[00:01:10.000 --> 00:01:12.000]  你不在神的應許之地
[00:01:12.000 --> 00:01:14.500]  你就繼續住在你的帳篷裡面
[00:01:14.500 --> 00:01:18.000]  所以其實當人偏離了神的應許
[00:01:18.000 --> 00:01:20.500]  按著自己的計劃去生活
[00:01:20.500 --> 00:01:24.500]  按著自己的計劃去走的時候
[00:01:24.500 --> 00:01:26.500]  就會產生了一樣東西
[00:01:26.500 --> 00:01:28.500]  就叫做不安全感
[00:01:28.500 --> 00:01:30.000]  就叫做 insecurity
[00:01:30.000 --> 00:01:32.000]  就在這個 insecurity 底下
[00:01:32.000 --> 00:01:35.500]  結果這兩個支派在沿途回到河東
[00:01:35.500 --> 00:01:37.500]  經過約旦河邊的時候
[00:01:37.500 --> 00:01:39.500]  他們就做了一個動作
[00:01:39.500 --> 00:01:41.000]  就起了座壇
[00:01:41.000 --> 00:01:45.000]  今天我們就在這個動作裡面
[00:01:45.000 --> 00:01:47.500]  嘗試去學習三樣東西
[00:01:47.500 --> 00:01:49.500]  第一樣就是
[00:01:49.500 --> 00:01:51.500]  為什麼會有誤會的呢?
[00:01:51.500 --> 00:01:54.500]  十字二十字,就是因為起了座壇
[00:01:54.500 --> 00:01:57.500]  而且那個座壇看來又高又大
[00:01:57.500 --> 00:01:59.500]  你不斷的起座,小小的看不到也算了
[00:01:59.500 --> 00:02:01.000]  又高又大
[00:02:01.000 --> 00:02:04.500]  其實河東的支派其實真的覺得
[00:02:04.500 --> 00:02:06.500]  我起壇有什麼不妥?
[00:02:06.500 --> 00:02:09.000]  我們當時很偉大的領袖摩西
[00:02:09.000 --> 00:02:11.000]  他打贏了那些敵人的時候
[00:02:11.000 --> 00:02:12.500]  就又起了座壇
[00:02:12.500 --> 00:02:15.000]  他還叫做耶和華尼西
[00:02:15.000 --> 00:02:17.000]  所以他們沒有打算
[00:02:17.000 --> 00:02:20.000]  跟其他的支派有什麼商量
[00:02:20.000 --> 00:02:22.000]  我起就起吧
[00:02:22.000 --> 00:02:24.000]  自把自為
[00:02:24.000 --> 00:02:26.500]  想都不想,做就去做吧
