
[00:00:00.000 --> 00:00:04.000]  我們的恩主,我們要向禰獻上感恩
[00:00:04.000 --> 00:00:08.000]  因爲禰就是和我們一起走我們生命的路的主
[00:00:08.000 --> 00:00:11.000]  願禰繼續賜福、恩代我們每一個
[00:00:11.000 --> 00:00:14.000]  爲了今天我們有美好的清晨,我們獻上感謝
[00:00:14.000 --> 00:00:17.000]  爲了我們今天能夠有生命氣息
[00:00:17.000 --> 00:00:21.000]  回到電當中去敬拜,我們獻上感恩
[00:00:21.000 --> 00:00:26.000]  願禰開我們的眼睛,能夠沾染我們的榮光
[00:00:26.000 --> 00:00:29.000]  開我們的耳朵,讓我們專心聆聽
[00:00:29.000 --> 00:00:32.000]  與我們面部人口中的言語與對應之母之間的心思意念
[00:00:32.000 --> 00:00:34.000]  蒙聖女啓迪,蒙主的月立
[00:00:34.000 --> 00:00:36.000]  禱告奉耶穌基督的名
[00:00:36.000 --> 00:00:38.000]  阿們
[00:00:38.000 --> 00:00:41.000]  今天這段經文是《馬科音》第八章
[00:00:41.000 --> 00:00:45.000]  我想你先打開聖經,可以去看這段聖經
[00:00:45.000 --> 00:00:49.000]  《馬科音》第八章第31到38節
[00:00:49.000 --> 00:00:54.000]  我不知道你之前有沒有看過這段聖經
[00:00:54.000 --> 00:00:56.000]  我記得當我第一次看這段聖經的時候
[00:00:56.000 --> 00:01:00.000]  大約是我剛信耶穌的時候,我是一箇中學生,初中的時候
[00:01:00.000 --> 00:01:03.000]  當我第一次看完這段聖經的時候,我很驚訝
[00:01:03.000 --> 00:01:05.000]  我覺得,哇
[00:01:05.000 --> 00:01:08.000]  爲什麼覺得哇呢?第一樣就是
[00:01:08.000 --> 00:01:12.000]  哇,居然有人敢去斥責、責備耶穌
[00:01:12.000 --> 00:01:14.000]  第二個哇就是
[00:01:14.000 --> 00:01:18.000]  哇,耶穌會罵彼得是撒旦的
[00:01:18.000 --> 00:01:21.000]  我不知道這段經文有沒有給你這個驚訝
[00:01:21.000 --> 00:01:23.000]  又或者可能你在教會這麼多年
[00:01:23.000 --> 00:01:25.000]  可能都聽過這段聖經不少次數
[00:01:25.000 --> 00:01:27.000]  但是可能你都是留意後面的內容
[00:01:27.000 --> 00:01:29.000]  但是沒有留意到那個關係
[00:01:29.000 --> 00:01:32.000]  就是爲什麼有後面的內容出現呢?
[00:01:32.000 --> 00:01:36.000]  當西門彼得去拉住耶穌
[00:01:36.000 --> 00:01:38.000]  去責備耶穌的時候
[00:01:38.000 --> 00:01:41.000]  我不知道你看完這個描述你有什麼感受
[00:01:41.000 --> 00:01:43.000]  我在教會做牧師
[00:01:43.000 --> 00:01:46.000]  我想都很少給機會有突然之間會責備我的
[00:01:46.000 --> 00:01:48.000]  或者就算聽崇拜、聽道
[00:01:48.000 --> 00:01:50.000]  我講一些信息可能你會覺得
[00:01:50.000 --> 00:01:52.000]  哎,不是很適合聽
[00:01:52.000 --> 00:01:53.000]  你會怎樣呢?
[00:01:53.000 --> 00:01:55.000]  你就藏起耳朵不聽算了
[00:01:55.000 --> 00:01:58.000]  最多就假裝去洗手間
[00:01:58.000 --> 00:01:59.000]  走了就算了
[00:01:59.000 --> 00:02:01.000]  你不會舉手責備
[00:02:01.000 --> 00:02:03.000]  不對,牧師你這樣說不行
[00:02:03.000 --> 00:02:05.000]  很少突然之間會這樣這樣做的
[00:02:05.000 --> 00:02:07.000]  起碼過去這麼多靈海教會都沒見過
[00:02:07.000 --> 00:02:11.000]  不過爲什麼西門彼得在這裏會這麼大反應
[00:02:11.000 --> 00:02:14.000]  會拉住耶穌還要責備他呢?
[00:02:14.000 --> 00:02:16.000]  很明顯他很緊張
[00:02:16.000 --> 00:02:18.000]  很明顯覺得出了很大的問題
[00:02:18.000 --> 00:02:21.000]  覺得不行,這樣不對
[00:02:21.000 --> 00:02:22.000]  所以他很緊張
[00:02:22.000 --> 00:02:24.000]  這段經文一開始有兩個字
[00:02:24.000 --> 00:02:26.000]  叫做從此
[00:02:26.000 --> 00:02:28.000]  耶穌就教訓他們
[00:02:28.000 --> 00:02:29.000]  耶穌說了一個教訓
[00:02:29.000 --> 00:02:30.000]  這個教訓說什麼呢?
[00:02:30.000 --> 00:02:32.000]  耶穌說他要受很多的苦
[00:02:32.000 --> 00:02:36.000]  在長老、祭司長和民事之間被拒絕、被棄絕
[00:02:36.000 --> 00:02:38.000]  並且被殺三日復活
[00:02:38.000 --> 00:02:40.000]  耶穌說了一個很重要的預言
[00:02:40.000 --> 00:02:43.000]  並且是信仰核心裏面最重要的部分
[00:02:43.000 --> 00:02:44.000]  是不是?
[00:02:44.000 --> 00:02:47.000]  我們今天信耶穌是因爲耶穌爲我們登十字架復活
[00:02:47.000 --> 00:02:48.000]  所以耶穌在這裏
[00:02:48.000 --> 00:02:52.000]  我們認識的第八章中間的部分
[00:02:52.000 --> 00:02:56.000]  已經預言到他要登身十字架
[00:02:56.000 --> 00:02:59.000]  耶穌明明白白地說
[00:02:59.000 --> 00:03:02.000]  並且這段經文如果對我們今天來說很清楚
[00:03:02.000 --> 00:03:06.000]  因爲我們都知道耶穌真的登十字架並且復活
