
[00:00:00.000 --> 00:00:02.240]  再一次看到這麼多弟兄姊妹
[00:00:02.240 --> 00:00:04.560]  很感恩 很開心
[00:00:04.560 --> 00:00:05.920]  昨晚其實我做夢
[00:00:05.920 --> 00:00:08.640]  做夢見到一個姊妹
[00:00:08.640 --> 00:00:10.160]  不過可惜今天她不在這裡
[00:00:10.160 --> 00:00:13.840]  我希望有一天她也會很快回來
[00:00:13.840 --> 00:00:17.440]  今天我們進入了這個
[00:00:17.440 --> 00:00:20.960]  《門徒生命講道》系列的第三講
[00:00:20.960 --> 00:00:25.120]  做個忠心 醒目的僕人
[00:00:25.120 --> 00:00:28.400]  我想先跟大家講一個故事
[00:00:28.400 --> 00:00:31.040]  話說有一個人
[00:00:31.040 --> 00:00:33.680]  他對自己的工作很不滿意
[00:00:33.680 --> 00:00:36.960]  於是他就和一個朋友來發牢騷
[00:00:36.960 --> 00:00:39.680]  「我明天就要辭職了」
[00:00:39.680 --> 00:00:41.360]  那個朋友就問他
[00:00:41.360 --> 00:00:44.880]  「你對工作是否已經熟悉了」
[00:00:44.880 --> 00:00:46.080]  他說「那又沒有」
[00:00:46.080 --> 00:00:48.480]  「很多都是一知半解」
[00:00:48.480 --> 00:00:50.320]  那個朋友就勸他
[00:00:50.320 --> 00:00:52.240]  其實是激仗他
[00:00:52.240 --> 00:00:55.920]  他說「君子報仇十年未晚」
[00:00:55.920 --> 00:01:00.480]  「不如你就用公司做一個免費的學習工場」
[00:01:00.480 --> 00:01:03.440]  「你發奮將公司所有的運作」
[00:01:03.440 --> 00:01:05.440]  「產品 行銷的事」
[00:01:05.440 --> 00:01:07.120]  「你都全部學了」
[00:01:07.120 --> 00:01:10.880]  「你才劈頭不露 你才走」
[00:01:10.880 --> 00:01:13.360]  他就聽了這個朋友的意見
[00:01:13.360 --> 00:01:15.040]  於是他工作的時候
[00:01:15.040 --> 00:01:17.200]  就好像和自己競賽一樣
[00:01:17.200 --> 00:01:19.120]  每學一樣新的事物的時候
[00:01:19.120 --> 00:01:21.200]  他都非常認真
[00:01:21.200 --> 00:01:24.080]  過了一年 那個朋友就問他
