
[00:00:00.000 --> 00:00:06.000]  今早我和大家分享耶利米蘇29章1至14節
[00:00:06.000 --> 00:00:09.000]  我們在這裡講信仰
[00:00:09.000 --> 00:00:12.000]  講我們面對當下的態度
[00:00:12.000 --> 00:00:15.000]  所以今天早上辛苦你們了
[00:00:15.000 --> 00:00:20.000]  請你們和我一起多讀聖經
[00:00:20.000 --> 00:00:23.000]  真的 作為基督徒
[00:00:23.000 --> 00:00:25.000]  面對當下的情況
[00:00:25.000 --> 00:00:27.000]  一個很好的方式
[00:00:27.000 --> 00:00:29.000]  我們多讀聖經
[00:00:29.000 --> 00:00:31.000]  我們重新再次禱告
[00:00:31.000 --> 00:00:33.000]  親愛的主 求你幫助我們
[00:00:33.000 --> 00:00:38.000]  幫助我們當中能夠聽到你的話語
[00:00:38.000 --> 00:00:40.000]  求你給我們每個人
[00:00:40.000 --> 00:00:42.000]  也給我們當中的嘉賓
[00:00:42.000 --> 00:00:45.000]  他們和我們都一同的
[00:00:45.000 --> 00:00:47.000]  我們都能夠聽到你的話
[00:00:47.000 --> 00:00:48.000]  求你幫助我們
[00:00:48.000 --> 00:00:49.000]  我們的祈禱
[00:00:49.000 --> 00:00:50.000]  偽奉主耶穌
[00:00:50.000 --> 00:00:51.000]  基督命自求
[00:00:51.000 --> 00:00:52.000]  阿們
[00:00:54.000 --> 00:01:03.000]  耶利米蘇29章是寫給巴比倫猶大的放逐者的一封信
[00:01:03.000 --> 00:01:08.000]  這封信是寫在巴比倫管治的年代
[00:01:08.000 --> 00:01:11.000]  大概是598 B.C.E.
[00:01:11.000 --> 00:01:15.000]  在29章其實是提及兩個信念的
[00:01:15.000 --> 00:01:17.000]  第一個信念就是說
[00:01:17.000 --> 00:01:21.000]  放逐在巴比倫地方的猶太人
[00:01:21.000 --> 00:01:25.000]  要知道巴比倫是一個安身立命的地方
[00:01:25.000 --> 00:01:27.000]  第二點就是說
[00:01:27.000 --> 00:01:30.000]  他們會回到自己的家鄉
[00:01:30.000 --> 00:01:31.000]  自己的國家
[00:01:31.000 --> 00:01:33.000]  他們應該有一個盼望
[00:01:33.000 --> 00:01:35.000]  第一點的意思其實就是說
[00:01:35.000 --> 00:01:38.000]  他們應該要接受現實
[00:01:38.000 --> 00:01:40.000]  不要逃避
[00:01:40.000 --> 00:01:43.000]  接受是秘魯和巴比倫的現實
[00:01:43.000 --> 00:01:44.000]  不要逃避
[00:01:44.000 --> 00:01:46.000]  第二就是說
[00:01:46.000 --> 00:01:49.000]  你們要盼望盼望盼望將來
[00:01:49.000 --> 00:01:51.000]  不要那麼絕望
[00:01:51.000 --> 00:01:56.000]  所以現在讓我們一同看29章一至三字
[00:01:56.000 --> 00:01:58.000]  我首先讀出這三字經文
[00:02:20.000 --> 00:02:24.000]  這個講明了這是一封信
[00:02:24.000 --> 00:02:27.000]  這封信的收信人是什麼呢
[00:02:27.000 --> 00:02:28.000]  是秘魯的人
[00:02:28.000 --> 00:02:32.000]  是秘魯的長老 祭司 先知和百姓
[00:02:32.000 --> 00:02:35.000]  在598 B.C.E.
[00:02:35.000 --> 00:02:39.000]  就是那些秘魯到巴比倫的人
[00:02:39.000 --> 00:02:43.000]  和剩下在耶路撒冷的人
[00:02:43.000 --> 00:02:45.000]  有些人沒有秘魯
[00:02:45.000 --> 00:02:47.000]  剩下在耶路撒冷的人
[00:02:47.000 --> 00:02:49.000]  有矛盾 有張力
[00:02:49.000 --> 00:02:51.000]  因為耶路撒冷的人就說
[00:02:51.000 --> 00:02:52.000]  我們這群人是可以的
[00:02:52.000 --> 00:02:54.000]  因為我們沒有秘魯
[00:02:54.000 --> 00:02:56.000]  我們是特別的
[00:02:56.000 --> 00:02:58.000]  是神特別愛惜的
[00:02:58.000 --> 00:03:02.000]  但是先知耶利米就說
[00:03:02.000 --> 00:03:04.000]  耶路撒冷的人
[00:03:04.000 --> 00:03:06.000]  你們錯了
[00:03:06.000 --> 00:03:08.000]  耶路撒冷的先知
[00:03:08.000 --> 00:03:10.000]  你們是錯了
