
[00:00:00.000 --> 00:00:03.380]  點止先知咁簡單呢個題目呢
[00:00:03.380 --> 00:00:05.240]  係要講三次啦
[00:00:05.240 --> 00:00:08.720]  其實今日已經係同大家講緊第二次嘅
[00:00:08.720 --> 00:00:12.040]  咁今日呢同大家呢係要睇返一啲嘅經文
[00:00:12.040 --> 00:00:15.360]  係由呢個四福音
[00:00:15.360 --> 00:00:19.520]  四福音去一齊睇下究竟
[00:00:19.520 --> 00:00:23.680]  耶穌基督五餅二魚之前
[00:00:23.680 --> 00:00:25.680]  發生咗啲咩事
[00:00:25.680 --> 00:00:28.640]  因為如果唔係你好難去解釋
[00:00:28.640 --> 00:00:30.640]  好難去明白
[00:00:30.640 --> 00:00:32.640]  點解係二千年前
[00:00:32.640 --> 00:00:34.640]  有冇電視有冇報紙
[00:00:34.640 --> 00:00:36.640]  有冇手機可以係度
[00:00:36.640 --> 00:00:40.160]  係度texting我相信而家都有啲人係度坐係度texting
[00:00:40.160 --> 00:00:41.840]  唔使睇㗎
[00:00:41.840 --> 00:00:43.840]  世界冠軍兩次嗰個呢
[00:00:43.840 --> 00:00:45.840]  佢根本就唔使睇就可以係度texting㗎
[00:00:45.840 --> 00:00:47.840]  冇㗎喎
[00:00:47.840 --> 00:00:49.840]  點解能夠可以
[00:00:49.840 --> 00:00:51.840]  轟動到
[00:00:51.840 --> 00:00:53.840]  五餅二魚淨係男人
[00:00:53.840 --> 00:00:55.840]  有五千人
[00:00:55.840 --> 00:00:57.840]  未計女同埋小朋友
[00:00:57.840 --> 00:00:59.840]  一般嘅學者認為
[00:00:59.840 --> 00:01:01.840]  起碼總共嘅人數
[00:01:01.840 --> 00:01:03.840]  係有一萬至二萬人
[00:01:03.840 --> 00:01:05.840]  你有冇見過咁虛憾嘅場面呀
[00:01:05.840 --> 00:01:07.840]  如果
[00:01:07.840 --> 00:01:09.840]  有一個大歌星
[00:01:09.840 --> 00:01:11.840]  或者係
[00:01:11.840 --> 00:01:13.840]  喺度用紅館呀
[00:01:13.840 --> 00:01:15.840]  我唔知紅館坐得幾耐
[00:01:15.840 --> 00:01:17.840]  紅館坐唔坐到二萬人呀
[00:01:17.840 --> 00:01:19.840]  得㗎係咪呀
[00:01:19.840 --> 00:01:21.840]  我相信三機電視海報
[00:01:21.840 --> 00:01:23.840]  係咪呀
[00:01:23.840 --> 00:01:25.840]  做好多好多嘅宣傳賣飛
[00:01:25.840 --> 00:01:27.840]  甚至可能要派飛
[00:01:27.840 --> 00:01:29.840]  但係耶穌個時代
[00:01:29.840 --> 00:01:31.840]  有乜可能
[00:01:31.840 --> 00:01:33.840]  有乜可能呢
[00:01:33.840 --> 00:01:35.840]  我哋睇一睇關一啲嘅
[00:01:35.840 --> 00:01:37.840]  所以我要同大家係由
[00:01:37.840 --> 00:01:39.840]  用四個方書
[00:01:39.840 --> 00:01:41.840]  一齊去睇一睇
[00:01:41.840 --> 00:01:43.840]  究竟發生咗咩事
[00:01:43.840 --> 00:01:45.840]  去到五餅二魚
[00:01:45.840 --> 00:01:47.840]  呢一個事蹟
[00:01:47.840 --> 00:01:49.840]  首先我哋從施浸約翰睇起
[00:01:49.840 --> 00:01:51.840]  大家亦唔需要跟我揭啦
[00:01:51.840 --> 00:01:53.840]  我好快啦今次要
[00:01:53.840 --> 00:01:55.840]  喺個施浸約翰呢
[00:01:55.840 --> 00:01:57.840]  當佢出嚟嘅時候人哋就喺度諗啦
[00:01:57.840 --> 00:01:59.840]  你係咪就係嗰個基督
[00:01:59.840 --> 00:02:01.840]  你係咪就係嗰個尼塞亞
[00:02:01.840 --> 00:02:03.840]  但係施浸約翰點樣講呢
[00:02:03.840 --> 00:02:05.840]  啲人問佢你係誰
[00:02:05.840 --> 00:02:07.840]  施浸約翰佢話我不是基督
[00:02:07.840 --> 00:02:09.840]  咁係咪以利亞呢
[00:02:09.840 --> 00:02:11.840]  佢話我唔係
[00:02:11.840 --> 00:02:13.840]  咁係咪哪為先知呢
[00:02:13.840 --> 00:02:15.840]  原來喺佢哋嘅
[00:02:15.840 --> 00:02:17.840]  聖經裏面猶太人嘅聖經裏面
[00:02:17.840 --> 00:02:19.840]  無論係摩西嘅
[00:02:19.840 --> 00:02:21.840]  律法書同埋先知書
[00:02:21.840 --> 00:02:23.840]  係講緊將會有一個先知
[00:02:23.840 --> 00:02:25.840]  嚟到嘅
[00:02:25.840 --> 00:02:27.840]  佢又話唔係全部都否認晒
[00:02:27.840 --> 00:02:29.840]  好喇一跳跳到呢
[00:02:29.840 --> 00:02:31.840]  約翰睇見耶穌嘅時候佢點樣講呀
[00:02:31.840 --> 00:02:33.840]  呢個施浸約翰話
[00:02:33.840 --> 00:02:35.840]  看神的羔羊
[00:02:35.840 --> 00:02:37.840]  除去世人聚的聚的
[00:02:37.840 --> 00:02:39.840]  原來呢
[00:02:39.840 --> 00:02:41.840]  約翰係好知道耶穌嘅
[00:02:41.840 --> 00:02:43.840]  身份係咩嘢嘅
[00:02:43.840 --> 00:02:45.840]  好多人嚟到見到耶穌
[00:02:45.840 --> 00:02:47.840]  佢以為佢係一個只係能夠行
[00:02:47.840 --> 00:02:49.840]  神蹟騎士嘅人
[00:02:49.840 --> 00:02:51.840]  又或者佢對耶穌嘅觀念
[00:02:51.840 --> 00:02:53.840]  就係一個好有學識嘅人
[00:02:53.840 --> 00:02:55.840]  雖然佢哋唔知
[00:02:55.840 --> 00:02:57.840]  佢跟過咩老師
[00:02:57.840 --> 00:02:59.840]  保羅係加瑪列嘅門下
[00:02:59.840 --> 00:03:01.840]  係大師傅嚟嘅呢個加瑪列
[00:03:01.840 --> 00:03:03.840]  但係
[00:03:03.840 --> 00:03:05.840]  究竟耶穌嘅老師係邊個呢
[00:03:05.840 --> 00:03:07.840]  完全都唔係一啲
[00:03:07.840 --> 00:03:09.840]  大師傅教嘅出嚟
[00:03:09.840 --> 00:03:11.840]  但係發覺佢講嘢嘅時候呢
[00:03:11.840 --> 00:03:13.840]  同其他嘅文士同化理猜係唔同
[00:03:13.840 --> 00:03:15.840]  因為佢帶有呢個權柄
[00:03:15.840 --> 00:03:17.840]  所以呢
[00:03:17.840 --> 00:03:19.840]  啲人就喺度奇怪佢係邊個
[00:03:19.840 --> 00:03:21.840]  但係呢個施浸月漢
[00:03:21.840 --> 00:03:23.840]  佢好知道耶穌係邊個
[00:03:23.840 --> 00:03:25.840]  佢知道呢個就係神嘅
[00:03:25.840 --> 00:03:27.840]  羔羊除去世人
[00:03:27.840 --> 00:03:29.840]  嘅罪嘅
[00:03:29.840 --> 00:03:31.840]  今日教會好重要嘅
[00:03:31.840 --> 00:03:33.840]  傳嘅訊息
[00:03:33.840 --> 00:03:35.840]  就係咩呢就係耶穌
[00:03:35.840 --> 00:03:37.840]  基督係神為我哋預備嘅
[00:03:37.840 --> 00:03:39.840]  呢個嘅羔羊
[00:03:39.840 --> 00:03:41.840]  呢個一次獻上
[00:03:41.840 --> 00:03:43.840]  就能夠可以救贖
[00:03:43.840 --> 00:03:45.840]  世人嘅就唔係好似舊有裏面
[00:03:45.840 --> 00:03:47.840]  我哋有罪啦要去獻祭
