
[00:00:00.000 --> 00:00:03.800]  講道題目叫聖經忠心
[00:00:03.800 --> 00:00:09.240]  其實回到教會一邊敬拜、祈禱、見證
[00:00:09.240 --> 00:00:11.000]  你一聽我講完之後
[00:00:11.000 --> 00:00:14.080]  你就知道我編講道其實不用講
[00:00:14.080 --> 00:00:22.800]  因為一邊崇拜、唱歌、聽聞、祈禱、見證
[00:00:22.800 --> 00:00:25.920]  就已經將我講道的都講了
[00:00:25.920 --> 00:00:30.600]  只不過講道的那些將這些再重覆鋪排開
[00:00:30.600 --> 00:00:33.280]  讓大家有一個深刻一點的印象
[00:00:33.280 --> 00:00:37.600]  那麼希望這篇道真的會有一個深刻一點的印象
[00:00:37.600 --> 00:00:42.040]  我到最後就講解這句說話
[00:00:42.040 --> 00:00:44.320]  那麼聖經我們經常都看的
[00:00:44.320 --> 00:00:46.640]  不是天天看也隔天看
[00:00:46.640 --> 00:00:49.280]  不是隔天看也隔個星期看
[00:00:49.280 --> 00:00:50.880]  一定中
[00:00:50.880 --> 00:00:55.080]  那麼很多關於聖經的一些小小的知識
[00:00:55.080 --> 00:00:58.760]  大家如果信主一般這麼上下都會略略知道
[00:00:58.760 --> 00:01:02.760]  聖經舊約長一點還是新約長一點?
[00:01:02.760 --> 00:01:04.440]  舊約
[00:01:04.440 --> 00:01:05.480]  舊約是吧
[00:01:05.480 --> 00:01:07.360]  就是派錢就這樣問
[00:01:07.360 --> 00:01:09.320]  就是讓大家有些反應
[00:01:09.320 --> 00:01:13.480]  那麼舊約有多少卷不同的書?
[00:01:13.480 --> 00:01:14.280]  八卷
[00:01:14.280 --> 00:01:16.480]  是的,那些乘數挺好的
[00:01:16.480 --> 00:01:18.320]  三十九,三十九多少?
[00:01:18.320 --> 00:01:18.880]  八卷
[00:01:18.880 --> 00:01:20.720]  所以新約有多少張?
[00:01:20.720 --> 00:01:22.160]  四十多卷?
[00:01:22.160 --> 00:01:23.160]  八卷
[00:01:23.160 --> 00:01:25.120]  所以不知道為什麼這麼對
[00:01:25.120 --> 00:01:27.520]  就是三九公有二十七
[00:01:27.520 --> 00:01:29.600]  那麼加起來有六十六卷
[00:01:29.600 --> 00:01:32.160]  三十九加二十七就是六十六卷
[00:01:32.160 --> 00:01:36.320]  那麼這些數字很多時候聽一些不同的地方講
[00:01:36.320 --> 00:01:38.000]  都會講過的
[00:01:38.000 --> 00:01:39.680]  都有少許這樣的知識
[00:01:39.680 --> 00:01:41.520]  那麼再問深一點
[00:01:41.520 --> 00:01:45.760]  那麼究竟聖經舊約有多少張?
[00:01:45.760 --> 00:01:47.000]  不是多少卷
[00:01:47.000 --> 00:01:49.720]  多少張?
[00:01:49.720 --> 00:01:53.960]  那麼其實我們鋪排聖經閱讀計劃的時候
[00:01:53.960 --> 00:01:55.520]  就數多少張
[00:01:55.520 --> 00:01:58.040]  那麼一年三百六十五天
[00:01:58.040 --> 00:02:01.120]  每一天讀四張就差不多了
[00:02:01.120 --> 00:02:03.000]  那麼你乘數表算一算
[00:02:03.000 --> 00:02:07.120]  那麼其實舊約就有九百二十九張
[00:02:07.120 --> 00:02:08.920]  我記不住
[00:02:08.920 --> 00:02:10.440]  這裡不用記的
[00:02:10.440 --> 00:02:12.840]  那麼新約就有二百六十張
[00:02:12.840 --> 00:02:14.680]  那麼也是不用記的
[00:02:14.680 --> 00:02:16.680]  但是加起來就很有趣了
[00:02:16.680 --> 00:02:18.000]  加起來有多少?
[00:02:18.000 --> 00:02:19.360]  一一八九
[00:02:20.120 --> 00:02:21.320]  一一八九
[00:02:21.320 --> 00:02:23.080]  那麼你說那麼多數字做什麼呢?
[00:02:23.080 --> 00:02:25.080]  雖然我教數學而已
[00:02:25.080 --> 00:02:26.720]  那麼一一八九
[00:02:26.720 --> 00:02:27.720]  那麼一半呢?
[00:02:27.720 --> 00:02:30.400]  五百多
[00:02:30.400 --> 00:02:32.760]  那麼單數是不是?
[00:02:32.760 --> 00:02:38.480]  我們知道單數就如果每邊一半就有一個數字在中間是不是?
[00:02:38.480 --> 00:02:40.080]  那麼我現在就問你了
[00:02:40.080 --> 00:02:44.240]  一千一百八十九張裡面最中間那一張
[00:02:44.240 --> 00:02:45.960]  是聖經哪一張呢?
[00:02:47.360 --> 00:02:50.200]  是真的很聰明的
[00:02:50.200 --> 00:02:52.240]  這個題目說出來
[00:02:52.240 --> 00:02:53.360]  一百十七
[00:02:53.360 --> 00:02:56.880]  那麼今天的宣告大家有沒有留意到
[00:02:56.880 --> 00:02:59.520]  宣告我們讀哪一篇詩篇呢?
[00:02:59.520 --> 00:03:01.680]  一一七
[00:03:01.680 --> 00:03:02.360]  是的
[00:03:02.360 --> 00:03:05.440]  所以就想一想宣告不如就找回這一篇
[00:03:05.440 --> 00:03:06.280]  因為這一篇
[00:03:06.280 --> 00:03:08.760]  那麼我剛才這樣講了也有些特別了
[00:03:08.760 --> 00:03:12.320]  整本聖經一千一百八十九章裡面
[00:03:12.320 --> 00:03:14.920]  最中間那一張就是一一七
[00:03:15.600 --> 00:03:18.000]  那麼好像是很有特別意思的
[00:03:18.000 --> 00:03:21.280]  那麼另外還有很特別的
