
[00:00:00.000 --> 00:00:04.000]  各位 弟兄姊妹朋友們 早安
[00:00:04.000 --> 00:00:07.000]  當我說 耶穌今天復活了
[00:00:07.000 --> 00:00:08.000]  你們要回答說
[00:00:08.000 --> 00:00:10.000]  是的 耶穌今天復活了
[00:00:10.000 --> 00:00:12.000]  耶穌今天復活了
[00:00:12.000 --> 00:00:18.000]  因為這是在東歐 東正教
[00:00:18.000 --> 00:00:22.000]  他們今天碰到人 都要講這句話
[00:00:22.000 --> 00:00:24.000]  因為今天 耶穌復活了
[00:00:24.000 --> 00:00:27.000]  是的 感謝神 讚美神
[00:00:27.000 --> 00:00:30.000]  這三個禮拜間
[00:00:30.000 --> 00:00:33.000]  我們是 中壽主日
[00:00:33.000 --> 00:00:35.000]  所以我跟各位分享了
[00:00:35.000 --> 00:00:37.000]  中壽節的真實的意義
[00:00:37.000 --> 00:00:40.000]  各位如果記得我說
[00:00:40.000 --> 00:00:42.000]  中壽節其實這整個禮拜
[00:00:42.000 --> 00:00:44.000]  叫做壽難週
[00:00:44.000 --> 00:00:46.000]  從中壽主日開始
[00:00:46.000 --> 00:00:48.000]  然後到一月節
[00:00:48.000 --> 00:00:51.000]  然後到儲孝節 安息日
[00:00:51.000 --> 00:00:54.000]  最後是出壽節
[00:00:54.000 --> 00:00:58.000]  今天我們是說 它是復活節
[00:00:58.000 --> 00:01:01.000]  但是那個時候沒有復活節
[00:01:01.000 --> 00:01:04.000]  那個時候也沒有所謂的壽難日
[00:01:04.000 --> 00:01:07.000]  叫做Good Friday 好的週五
[00:01:07.000 --> 00:01:10.000]  我也特別講 為什麼說好呢
[00:01:10.000 --> 00:01:12.000]  耶穌基督為我們受死受難
[00:01:12.000 --> 00:01:14.000]  有什麼好呢
[00:01:14.000 --> 00:01:16.000]  What good about it
[00:01:16.000 --> 00:01:19.000]  但是因為我們因此
[00:01:19.000 --> 00:01:21.000]  有了永生的盼望
[00:01:21.000 --> 00:01:23.000]  叫一切信祂的不致滅亡
[00:01:23.000 --> 00:01:27.000]  是一個Good Friday 好的
[00:01:27.000 --> 00:01:29.000]  當我們看到儲孝節的時候
[00:01:29.000 --> 00:01:31.000]  我說它的真實的意義
[00:01:31.000 --> 00:01:34.000]  不是說老百姓夾道歡呼
[00:01:34.000 --> 00:01:37.000]  手拿中樹枝 口唱和善
[00:01:37.000 --> 00:01:40.000]  因為他們歡迎的是
[00:01:40.000 --> 00:01:43.000]  拯救以色列的大君王
[00:01:43.000 --> 00:01:45.000]  但是耶穌勸世
[00:01:45.000 --> 00:01:49.000]  神差派來 要被殺的羔羊
[00:01:49.000 --> 00:01:51.000]  讓人來選他的
[00:01:51.000 --> 00:01:56.000]  因為那一天正好是禮拜天
[00:01:56.000 --> 00:01:58.000]  叫做中樹主日
[00:01:58.000 --> 00:02:00.000]  許多的百姓進城來
[00:02:00.000 --> 00:02:03.000]  要採辦愉悅節的東西
[00:02:03.000 --> 00:02:05.000]  包括沒有瑕疵的羔羊
[00:02:05.000 --> 00:02:07.000]  所以神差派來而起
[00:02:07.000 --> 00:02:09.000]  讓人來選他
[00:02:09.000 --> 00:02:12.000]  讓人為人的罪
[00:02:12.000 --> 00:02:14.000]  被釘死在十字架上
[00:02:14.000 --> 00:02:16.000]  叫一切信他的不致滅亡
[00:02:16.000 --> 00:02:18.000]  反得永生
[00:02:18.000 --> 00:02:20.000]  是的 到了愉悅節
[00:02:20.000 --> 00:02:22.000]  哦 耶穌跟著門徒
[00:02:22.000 --> 00:02:25.000]  吃了最後的晚餐
