
[00:00:00.000 --> 00:00:03.780]  我們其實都會離開大家的
[00:00:03.780 --> 00:00:07.400]  是不是啊?總有一天,沒錯了
[00:00:07.400 --> 00:00:09.440]  總有一天會離開大家的
[00:00:09.440 --> 00:00:14.200]  我不知道離開了之後,當我們有機會回到天堂上一見的時候
[00:00:14.200 --> 00:00:17.000]  那感覺會是怎樣的呢?
[00:00:17.000 --> 00:00:19.400]  就是離開過,然後再見
[00:00:19.400 --> 00:00:21.160]  會是怎樣的呢?
[00:00:21.160 --> 00:00:24.960]  會不會是一種更加的享受呢?
[00:00:24.960 --> 00:00:28.060]  大家想想好嗎?
[00:00:28.320 --> 00:00:31.520]  今天的經文呢,就是講天堂
[00:00:31.520 --> 00:00:33.880]  我們都要到的地方
[00:00:33.880 --> 00:00:39.640]  是一個好像挺離地的經文
[00:00:39.640 --> 00:00:41.440]  不過今天就是要看一下
[00:00:41.440 --> 00:00:43.560]  我們將會離開
[00:00:43.560 --> 00:00:48.880]  彼此離開,然後又會彼此在那裏相見的地方,好嗎?
[00:00:48.880 --> 00:00:55.160]  近期我在外面教祈禱醫治的課程
[00:00:55.840 --> 00:00:59.520]  在我太太的辦公室裏,小小的
[00:00:59.520 --> 00:01:01.440]  有二十人
[00:01:01.440 --> 00:01:05.200]  所以覺得很多人,擠爆了一個小小的地方
[00:01:05.200 --> 00:01:09.480]  感覺挺良好的,因爲坐滿了人
[00:01:09.480 --> 00:01:17.560]  其中一個課堂就叫那些參加者安靜
[00:01:17.560 --> 00:01:20.120]  就默想一件生命正面的事
[00:01:20.120 --> 00:01:24.400]  然後就支持一下自己現在的生命
[00:01:24.720 --> 00:01:28.360]  大家知不知道生命裏面一件很正面的事
[00:01:28.360 --> 00:01:32.240]  發生,是可以支持你一生用的
[00:01:32.240 --> 00:01:34.240]  裏面的泉源是不絕的
[00:01:34.240 --> 00:01:38.800]  當你很不開心的時候想起一件很美好的事
[00:01:38.800 --> 00:01:39.920]  重視很久很久
[00:01:39.920 --> 00:01:43.480]  但是回來之後,其實滋潤着你的心靈
[00:01:43.480 --> 00:01:45.480]  就可以有些突破
[00:01:45.480 --> 00:01:49.400]  其中一個所謂的祈禱醫治就是這樣做
[00:01:49.400 --> 00:01:53.560]  其中一位參加者就說
[00:01:54.040 --> 00:01:57.560]  他說我想到我近這段時間
[00:01:57.560 --> 00:02:00.600]  他是聽這個啓示錄
[00:02:00.600 --> 00:02:03.680]  他說這個啓示錄給他很多安慰
[00:02:03.680 --> 00:02:09.000]  他再說,不單止是這半年的社會的情況
[00:02:09.000 --> 00:02:12.200]  令他很動盪不安,所以看這個啓示錄
[00:02:12.200 --> 00:02:17.200]  其實這個人是一個癌症的倖存者
[00:02:17.200 --> 00:02:21.920]  他自己幾年前是癌症,治了一段時間
[00:02:21.920 --> 00:02:26.520]  被逼要退休,然後繼續過活
[00:02:26.520 --> 00:02:28.520]  想着可以平淡過活
[00:02:28.520 --> 00:02:33.360]  但是這半年,令他心情都很沉重
[00:02:33.360 --> 00:02:37.360]  所以他近期,原來在基督教很多圈子
[00:02:37.360 --> 00:02:39.360]  很多機構教會都講什麼
[00:02:39.360 --> 00:02:41.360]  講啓示錄
[00:02:41.360 --> 00:02:46.120]  原來啓示錄對一羣特別是心靈沉重的人
[00:02:46.120 --> 00:02:49.360]  好像吸收得快一點
[00:02:49.360 --> 00:02:56.600]  他就說啓示錄的信息給他有醫治,有安慰,有盼望
[00:02:56.600 --> 00:03:01.720]  所以他就繼續聽,他就說這件是他近期一件正面開心的事
[00:03:01.720 --> 00:03:05.440]  幫他面對自己的心情
[00:03:05.440 --> 00:03:10.840]  原來啓示錄是很重要的
[00:03:10.840 --> 00:03:15.200]  特別是在人受苦的不開心的階段
[00:03:15.200 --> 00:03:23.400]  所以今天我想講,我們在地上都會受到很多苦難
[00:03:23.400 --> 00:03:25.880]  或者不開心的,不過你要知道
