
[00:00:00.000 --> 00:00:02.480]  好,各位太古城堂頂子們,早晨
[00:00:02.480 --> 00:00:07.960]  今天我特別講的題目叫「從父而來的呼召」
[00:00:07.960 --> 00:00:12.120]  特別今天首先向一班父親說聲
[00:00:12.120 --> 00:00:15.760]  父親節快樂,先給父親掌聲
[00:00:15.760 --> 00:00:22.960]  今天我想了解一下,有沒有第一次
[00:00:22.960 --> 00:00:26.880]  或者是新朋友來太古城堂今早祖堂,有沒有
[00:00:29.760 --> 00:00:34.160]  不要緊,那我可以更加專注一點
[00:00:34.160 --> 00:00:39.440]  集中在這段聖經
[00:00:39.440 --> 00:00:43.440]  其實,大家看第一章的 PowerPoint
[00:00:43.440 --> 00:00:47.200]  這個叫「從上頭而來的呼召」背後的一幅畫
[00:00:47.200 --> 00:00:49.520]  這幅畫是非常著名的畫
[00:00:49.520 --> 00:00:55.200]  是一個畫家叫林布蘭,翻譯叫林布蘭的一個畫
[00:00:55.200 --> 00:01:00.560]  這幅畫可以說是全世界最貴的一幅畫之一
[00:01:00.560 --> 00:01:07.200]  林布蘭這個很著名的畫家畫的一幅叫「浪子回頭」的畫
[00:01:07.200 --> 00:01:09.440]  這幅畫現在在哪裡呢?
[00:01:09.440 --> 00:01:15.440]  就在俄羅斯的聖彼得堡的隱士園
[00:01:15.440 --> 00:01:22.800]  這個很著名的一個收藏名畫的一個地方
[00:01:22.800 --> 00:01:28.480]  這幅畫其實我自己的辦公室,我現在的辦公室是西貢的
[00:01:28.480 --> 00:01:35.760]  那個的一幅牆,我專門表起了這幅畫
[00:01:35.760 --> 00:01:40.320]  我在一些書室,某一個都大大一點的
[00:01:40.320 --> 00:01:46.720]  都可能三尺乘四、五尺這樣,很大幅的黏在牆上
[00:01:46.720 --> 00:01:54.880]  那個原因為什麼呢?我都是光光地頭,我也覺得挺像畫中的浪子
[00:01:54.880 --> 00:01:59.840]  但確實真的,我常常都覺得我是何許人也
[00:01:59.840 --> 00:02:03.040]  就是上帝竟然這麼愛我們
[00:02:03.040 --> 00:02:07.600]  我們本來就是一坨爛泥,真是不配
[00:02:07.600 --> 00:02:13.840]  個個都是塵土,但竟然是神竟然如此愛我們
[00:02:13.840 --> 00:02:17.520]  我自己也不是天生是一個基督教的家庭
[00:02:17.520 --> 00:02:20.480]  我父母最初很迷信的
[00:02:20.480 --> 00:02:25.840]  但最後我全家都信耶穌,我媽媽都回天家了
[00:02:25.840 --> 00:02:30.240]  我本來就是一個很反叛的,小時候
[00:02:30.240 --> 00:02:34.800]  你見我現在都其實有少少不是太正氣的
[00:02:34.800 --> 00:02:40.240]  有少少,你見我的樣子好像鼓鼓滑滑的有時候,我覺得自己
[00:02:40.240 --> 00:02:42.640]  小時候很頑皮
[00:02:42.640 --> 00:02:47.760]  但是很感恩,因為那時候只有兩條路
[00:02:47.760 --> 00:02:49.360]  一是黑社會,一是教會
[00:02:49.360 --> 00:02:54.400]  誰知道教會拖了我去,小時候八九歲我一次回教會
[00:02:54.400 --> 00:02:57.360]  如果不是教會,我差不多可以這樣說
[00:02:57.360 --> 00:03:01.840]  今天坐在德新團契聽到的不是他們,而是我
[00:03:01.840 --> 00:03:06.160]  我不是負責講道的那個,我是負責聽道的那個
[00:03:06.160 --> 00:03:08.880]  所以我自己的人生很感謝神
[00:03:08.880 --> 00:03:17.040]  如果沒有上帝,我自己的家庭都可能已經是很多的麻怨
[00:03:17.040 --> 00:03:21.680]  我爸爸是行選的,所以長期父親缺席
[00:03:21.680 --> 00:03:24.240]  我媽媽是惡到不得了的
[00:03:24.240 --> 00:03:30.880]  還比我爸爸更厲害,打到飛起的,我們這些傳統家庭
[00:03:30.880 --> 00:03:37.440]  所以很沒有愛的感覺,也很沒有體諒,也有很多的麻怨
[00:03:37.440 --> 00:03:44.560]  在這個情況下,我十年後,我自己經常都很深深地覺得
[00:03:44.560 --> 00:03:47.920]  原來這麼多年來有一個很愛的天父
[00:03:47.920 --> 00:03:51.200]  一直擁抱著我自己
[00:03:51.200 --> 00:03:57.200]  也深深相信,唯有這個天父才能夠幫助到某一個心靈
[00:03:57.200 --> 00:04:03.200]  裡面總有一種的缺乏,其實我們做父母的
[00:04:03.200 --> 00:04:06.240]  我們都不會做父母的,天天都是新的
