
[00:00:00.000 --> 00:00:02.800]  當我剛才一路參與崇拜的時候
[00:00:02.800 --> 00:00:04.120]  都是非常之感動
[00:00:04.120 --> 00:00:05.720]  因為太老大兄姊妹
[00:00:05.720 --> 00:00:08.120]  他們用心的採排
[00:00:08.120 --> 00:00:09.480]  他們的練習
[00:00:09.480 --> 00:00:12.400]  亦都是一齊好像見證著神
[00:00:12.400 --> 00:00:14.120]  在我們教會的恩典
[00:00:14.120 --> 00:00:16.680]  I am really thankful when I hear
[00:00:16.680 --> 00:00:18.720]  and when I see
[00:00:18.720 --> 00:00:21.120]  what the brother and sister prepared for us
[00:00:21.120 --> 00:00:23.000]  in this celebration
[00:00:23.000 --> 00:00:24.680]  I am really touched
[00:00:24.680 --> 00:00:26.760]  They put their heart into it
[00:00:26.760 --> 00:00:28.840]  and also we can witness
[00:00:28.840 --> 00:00:30.000]  God is among us
[00:00:30.000 --> 00:00:32.520]  and the grace of God is amongst us
[00:00:32.520 --> 00:00:34.560]  當我剛才參加我們的
[00:00:34.560 --> 00:00:35.520]  集體崇拜的時候
[00:00:35.520 --> 00:00:37.040]  我感到非常的感動
[00:00:37.040 --> 00:00:39.760]  因為弟兄姊妹為這次的崇拜
[00:00:39.760 --> 00:00:41.080]  也準備了很多
[00:00:41.080 --> 00:00:44.360]  我們看到神在我們當中的工作
[00:00:44.360 --> 00:00:46.320]  So today I am preparing
[00:00:46.320 --> 00:00:48.720]  when I prepare the message that
[00:00:48.720 --> 00:00:51.040]  sometimes you know as a pastor
[00:00:51.040 --> 00:00:52.440]  year after year
[00:00:52.440 --> 00:00:54.960]  every year in the anniversary
[00:00:54.960 --> 00:00:57.800]  that I need to prepare something
[00:00:57.800 --> 00:00:59.760]  sometimes it seems like
[00:00:59.760 --> 00:01:02.280]  what do I want to preach today
[00:01:02.280 --> 00:01:04.800]  今天我在準備我的講道的時候
[00:01:04.800 --> 00:01:07.200]  我感到就是有一點
[00:01:07.200 --> 00:01:09.680]  因為我經常一次又一次的
