
[00:00:00.000 --> 00:00:01.280]  我想跟大家說
[00:00:01.280 --> 00:00:02.480]  其實整全使命
[00:00:02.480 --> 00:00:03.920]  為甚麼我今天會這樣說
[00:00:03.920 --> 00:00:05.160]  其實真的很重要
[00:00:05.160 --> 00:00:06.040]  因為我們說
[00:00:06.040 --> 00:00:08.640]  如果我們只是用口來宣講福音
[00:00:08.640 --> 00:00:10.760]  並不足夠將這個福音
[00:00:10.760 --> 00:00:13.360]  完完全全地帶進人的生命裡面
[00:00:13.360 --> 00:00:15.200]  我們其實要先
[00:00:15.200 --> 00:00:17.000]  看看為甚麼要這樣說
[00:00:17.000 --> 00:00:18.320]  我想問大家
[00:00:18.320 --> 00:00:20.440]  你們知不知道我們現在傳的福音
[00:00:20.440 --> 00:00:21.920]  是一個甚麼的福音
[00:00:21.920 --> 00:00:23.440]  是一個怎樣的福音呢
[00:00:23.440 --> 00:00:27.080]  我們先讀《使徒行傳》十章三十六節
[00:00:27.080 --> 00:00:28.240]  我們一起讀
[00:00:28.240 --> 00:00:34.280]  「神藉著耶穌基督傳和平的福音
[00:00:34.280 --> 00:00:38.560]  將這道次給以色列人」
[00:00:38.560 --> 00:00:42.080]  以弗所書二章十六至十七節
[00:00:42.080 --> 00:00:45.560]  「既在十字架上滅了冤仇
[00:00:45.560 --> 00:00:49.520]  便藉這十字架使兩下歸為一體
[00:00:49.520 --> 00:00:51.200]  與神和好了
[00:00:51.200 --> 00:00:54.080]  並且來傳和平的福音
[00:00:54.080 --> 00:00:56.480]  給你們遠處的人
[00:00:56.480 --> 00:00:58.720]  也給那近處的人」
[00:00:58.720 --> 00:01:00.360]  這裡說神藉著耶穌基督
[00:01:00.360 --> 00:01:02.640]  傳的是一個甚麼的福音
[00:01:02.640 --> 00:01:04.080]  和平的福音
[00:01:04.080 --> 00:01:06.600]  當耶穌為我們釘在十字架上
[00:01:06.600 --> 00:01:08.240]  使兩下歸為一
[00:01:08.240 --> 00:01:11.480]  使神和人與人之間能夠和平
[00:01:11.480 --> 00:01:13.480]  這也是一個和平的福音
[00:01:13.480 --> 00:01:16.680]  所以今天我們傳的是一個和平的福音
[00:01:16.680 --> 00:01:17.880]  和平即是平安
[00:01:17.880 --> 00:01:24.840]  其實這個福音最終是要為人帶來平安
[00:01:24.840 --> 00:01:28.040]  其實我們在看《創世紀》
[00:01:28.040 --> 00:01:33.640]  我們看到神在《創世紀》一章二章中
[00:01:33.640 --> 00:01:34.520]  神的創造
[00:01:34.520 --> 00:01:38.040]  看到神如何透過祂對人的整個愛
[00:01:38.040 --> 00:01:39.000]  祂的關懷
[00:01:39.000 --> 00:01:42.000]  來將平安傳給人
[00:01:42.000 --> 00:01:45.560]  我們看到神其實是關愛人的甚麼
[00:01:45.560 --> 00:01:47.360]  我們看到祂有很大的愛
[00:01:47.360 --> 00:01:49.840]  第一祂關心我們的靈性
[00:01:49.840 --> 00:01:52.760]  即是我們是否與祂連繫
