
[00:00:00.000 --> 00:00:09.000]  第十一節這些聖經對保羅說是一個非常重要的一句話
[00:00:09.000 --> 00:00:13.000]  當夜主站在保羅旁邊說
[00:00:13.000 --> 00:00:17.000]  放心吧 你怎樣在耶路撒冷爲我作見證
[00:00:17.000 --> 00:00:22.000]  我也必怎樣在羅馬爲我作見證
[00:00:22.000 --> 00:00:25.000]  我們在讀過這二十一章的話
[00:00:25.000 --> 00:00:29.000]  就講到保羅跟他的同工們來到耶路撒冷
[00:00:29.000 --> 00:00:35.000]  他帶來了亞細亞教會外邦人的信徒
[00:00:35.000 --> 00:00:41.000]  要給耶路撒冷教會貧窮的猶太人捐款
[00:00:41.000 --> 00:00:45.000]  而且他們也要來到耶路撒冷
[00:00:45.000 --> 00:00:48.000]  是要跟耶路撒冷教會的長老們
[00:00:48.000 --> 00:00:53.000]  來分享到外邦人信主的好消息
[00:00:53.000 --> 00:00:57.000]  那麼他們在二十一章我們已經讀過了
[00:00:57.000 --> 00:01:00.000]  他們就來到耶路撒冷了
[00:01:00.000 --> 00:01:04.000]  也見到雅各也見到教會的長老們
[00:01:04.000 --> 00:01:09.000]  那麼他就把他們在外邦人中間做的工作
[00:01:09.000 --> 00:01:12.000]  主怎麼祝福這些工作
[00:01:12.000 --> 00:01:15.000]  有很多人外邦人信的主
[00:01:15.000 --> 00:01:20.000]  所以這些耶路撒冷的長老們聽到這些話
[00:01:20.000 --> 00:01:22.000]  就說他們就很歡喜
[00:01:22.000 --> 00:01:26.000]  他們就把榮耀來歸給神
[00:01:26.000 --> 00:01:30.000]  但是這個長老們
[00:01:30.000 --> 00:01:34.000]  他們還告訴保羅一件事情
[00:01:34.000 --> 00:01:38.000]  就認爲保羅有外面有傳說
[00:01:38.000 --> 00:01:44.000]  說保羅他在外邦中間傳道的時候
[00:01:44.000 --> 00:01:49.000]  他就教訓這些猶太人要離開
[00:01:49.000 --> 00:01:52.000]  要離棄這個摩西的律法
[00:01:52.000 --> 00:01:56.000]  不要給小孩子行割禮
[00:01:56.000 --> 00:02:02.000]  也不要遵守舊約中間律法規定的這些條規
[00:02:02.000 --> 00:02:03.000]  他們沒有去
[00:02:03.000 --> 00:02:07.000]  這些長老們大概是沒有去到外邦的地方
[00:02:07.000 --> 00:02:09.000]  找保羅一派同工的
[00:02:09.000 --> 00:02:14.000]  聽說就是好多的從外地回來的猶太人
[00:02:14.000 --> 00:02:17.000]  他們聽見就傳說了以後
[00:02:17.000 --> 00:02:21.000]  他們就認爲這個是一個很嚴重的事情
[00:02:21.000 --> 00:02:25.000]  那麼就現在保羅來到耶路撒冷了
[00:02:25.000 --> 00:02:30.000]  他就想趁這個機會叫保羅證明
[00:02:30.000 --> 00:02:35.000]  他不是離棄摩西的律法
[00:02:35.000 --> 00:02:40.000]  他並沒有做違反律法這些事情
[00:02:40.000 --> 00:02:47.000]  那麼現在長老們就是要保羅能夠證明
[00:02:47.000 --> 00:02:51.000]  能夠證明他沒有離開摩西的律法
[00:02:51.000 --> 00:02:57.000]  也沒有做這些猶太人所傳說的事情
[00:02:57.000 --> 00:03:05.000]  那麼他就叫保羅帶四個猶太人到這個身邊去還願
[00:03:05.000 --> 00:03:11.000]  這四個猶太人很可能是他們許了拿希爾人的願
[00:03:11.000 --> 00:03:17.000]  時間到了他們要從拿希爾人離開
[00:03:17.000 --> 00:03:19.000]  要還俗了
[00:03:19.000 --> 00:03:22.000]  他就暫時做拿希爾人
[00:03:22.000 --> 00:03:28.000]  拿希爾人就是把自己這段時間貢獻出來來侍奉神
[00:03:28.000 --> 00:03:31.000]  到了一定時間他們所許的願
[00:03:31.000 --> 00:03:33.000]  所許的時間到了
[00:03:33.000 --> 00:03:38.000]  那麼他們就回到本來的工作
[00:03:38.000 --> 00:03:40.000]  回來的地位
[00:03:40.000 --> 00:03:44.000]  不過有的人許願是要做一年的拿希爾人
[00:03:44.000 --> 00:03:46.000]  一年中間他不做別的
[00:03:46.000 --> 00:03:47.000]  專門侍奉主
[00:03:47.000 --> 00:03:49.000]  有的人可能三年五年
[00:03:49.000 --> 00:03:51.000]  有的人可能幾個月
[00:03:51.000 --> 00:03:54.000]  那麼他到了時間就要按照律法
[00:03:54.000 --> 00:04:00.000]  到聖殿去把頭髮還俗
[00:04:00.000 --> 00:04:03.000]  就是回到他本來的工作
[00:04:03.000 --> 00:04:06.000]  回到他本來的生活
[00:04:06.000 --> 00:04:11.000]  那麼你把這四個人帶到聖殿去做了這樣的事情
[00:04:11.000 --> 00:04:16.000]  就證明你還是遵守某些的律法
[00:04:16.000 --> 00:04:17.000]  就是要他們
[00:04:17.000 --> 00:04:20.000]  到底他們這樣做有沒有效果
[00:04:20.000 --> 00:04:22.000]  他們可能也不知道
[00:04:22.000 --> 00:04:24.000]  結果保羅去了以後
[00:04:24.000 --> 00:04:30.000]  在聖殿裏頭就起了很大的混亂
[00:04:30.000 --> 00:04:32.000]  因爲有人看見保羅
[00:04:32.000 --> 00:04:34.000]  從外地回來的人
[00:04:34.000 --> 00:04:37.000]  猶太人看見保羅在聖殿
[00:04:37.000 --> 00:04:42.000]  而且這些人也看見保羅在耶路撒冷城裏頭
[00:04:42.000 --> 00:04:47.000]  也更有帶了從外地回來的外邦人
[00:04:47.000 --> 00:04:49.000]  到耶路撒冷來
[00:04:49.000 --> 00:04:51.000]  所以他以爲保羅在聖殿裏頭
[00:04:51.000 --> 00:04:53.000]  那這些外邦人
[00:04:53.000 --> 00:04:57.000]  信徒也到耶路撒冷來了
[00:04:57.000 --> 00:05:00.000]  所以他們就要就起來
[00:05:00.000 --> 00:05:03.000]  就等於全城都轟動了
[00:05:03.000 --> 00:05:05.000]  就要抓住保羅
[00:05:05.000 --> 00:05:07.000]  要把保羅殺掉
[00:05:07.000 --> 00:05:12.000]  因爲他犯了褻奪的聖殿
[00:05:12.000 --> 00:05:15.000]  因爲外邦人不能進入聖殿
[00:05:15.000 --> 00:05:16.000]  就這樣的情況
[00:05:16.000 --> 00:05:21.000]  保羅就被羅馬軍隊的前部長
[00:05:21.000 --> 00:05:23.000]  給他保護起來了
[00:05:23.000 --> 00:05:25.000]  把他帶到雲樓裏頭了
