
[00:00:00.000 --> 00:00:04.060]  還記得上禮拜講什麼嗎 喜樂
[00:00:04.060 --> 00:00:05.480]  跟你旁邊說你要喜樂
[00:00:05.480 --> 00:00:10.280]  不管發生什麼事情
[00:00:10.280 --> 00:00:13.560]  不管你這個禮拜多麼的不順利啊
[00:00:13.560 --> 00:00:15.480]  跟你旁邊說你一定要喜樂
[00:00:15.480 --> 00:00:21.320]  其實啊
[00:00:21.320 --> 00:00:27.080]  這一個世代是一個很難讓人喜樂的世代
[00:00:27.080 --> 00:00:27.480]  是吧
[00:00:29.040 --> 00:00:30.920]  許多的人憂愁
[00:00:30.920 --> 00:00:33.640]  太多的事情會讓我憂愁了
[00:00:33.640 --> 00:00:36.600]  所以在這樣的一個時代
[00:00:36.600 --> 00:00:39.640]  我想我們更需要常常的記得主的話
[00:00:39.640 --> 00:00:41.280]  告訴我們說要喜樂
[00:00:41.280 --> 00:00:43.640]  保羅說要靠主喜樂
[00:00:43.640 --> 00:00:45.160]  靠自己不能喜樂的
[00:00:45.160 --> 00:00:46.840]  一定要靠主才能喜樂
[00:00:46.840 --> 00:00:48.880]  跟你旁邊說靠主喜樂
[00:00:48.880 --> 00:00:57.120]  保羅講完靠主喜樂之後呢
[00:00:57.120 --> 00:01:00.200]  接着他又講
[00:01:00.200 --> 00:01:01.480]  他又講說
[00:01:01.480 --> 00:01:04.520]  他說應當叫人知道你們前輩的心
[00:01:04.520 --> 00:01:07.000]  因爲主已經盡了
[00:01:07.000 --> 00:01:08.520]  其實我也講過
[00:01:08.520 --> 00:01:10.760]  保羅在講這段第一節到第九節的時候
[00:01:10.760 --> 00:01:12.440]  菲利米書第四章
[00:01:12.440 --> 00:01:16.040]  其實他好像一個爸爸
[00:01:16.040 --> 00:01:22.040]  好像一個父親對兒女的那種的愛
[00:01:22.040 --> 00:01:25.680]  就好像想到什麼就提醒他們
[00:01:25.680 --> 00:01:27.840]  所以在這段訊息裏面
[00:01:27.840 --> 00:01:30.600]  其實很難講說
[00:01:30.600 --> 00:01:32.720]  就是他的主題是什麼
[00:01:32.720 --> 00:01:34.240]  但是大概你可以看見
[00:01:34.240 --> 00:01:36.320]  他整個的過程當中
[00:01:36.320 --> 00:01:38.080]  這就是講到喜樂
[00:01:38.080 --> 00:01:39.920]  講到不要憂慮
[00:01:39.920 --> 00:01:40.920]  是不是
[00:01:40.920 --> 00:01:43.680]  所以他中間加了這一句話說
[00:01:43.680 --> 00:01:46.120]  要叫別人知道你前讓的心
[00:01:46.120 --> 00:01:47.760]  因爲主已經盡了
[00:01:47.760 --> 00:01:50.000]  然後接着呢又講什麼呢
[00:01:50.000 --> 00:01:53.920]  接着又講要不要憂慮
[00:01:53.920 --> 00:01:57.760]  所以承接着靠主喜樂的這個主題
[00:01:57.760 --> 00:01:58.840]  懂我意思嗎
[00:01:58.840 --> 00:02:01.640]  所以今天我們就要來看看保羅告訴我們說
[00:02:01.640 --> 00:02:05.640]  怎麼樣子能夠勝過憂慮
[00:02:05.640 --> 00:02:06.760]  跟你旁邊說
[00:02:06.760 --> 00:02:12.040]  今天你要學會勝過憂慮
[00:02:12.040 --> 00:02:14.240]  好 保羅說什麼呢
[00:02:14.240 --> 00:02:16.320]  好 首先我們看看
[00:02:16.320 --> 00:02:20.840]  今天這個憂慮可以說是世界的一個疾病
[00:02:20.840 --> 00:02:23.360]  根據世界衛生組織預測
[00:02:23.360 --> 00:02:30.640]  憂慮症將會是21世紀人類的三大殺手之一
[00:02:30.640 --> 00:02:32.840]  不是隻有癌症
[00:02:32.840 --> 00:02:34.520]  不是隻有心臟病
[00:02:34.520 --> 00:02:35.840]  那麼還有一個
[00:02:35.840 --> 00:02:38.680]  這一個的是會死人死的
[00:02:38.680 --> 00:02:39.400]  是什麼呢
[00:02:39.400 --> 00:02:40.640]  是憂慮症
[00:02:40.640 --> 00:02:41.920]  是抑鬱症
[00:02:41.920 --> 00:02:46.000]  很多的有抑鬱症的人會想到要怎麼樣
[00:02:46.000 --> 00:02:47.920]  自殺
[00:02:47.920 --> 00:02:50.840]  所以這個是三大殺手之一
[00:02:50.840 --> 00:02:53.240]  所以你不得不去面對這件事情
[00:02:53.240 --> 00:02:56.120]  你不得不去正視這件事情
[00:02:56.120 --> 00:02:58.400]  不管你是什麼人
[00:02:58.400 --> 00:02:59.440]  有錢人也好
[00:02:59.440 --> 00:03:00.560]  沒有錢人也好
[00:03:00.560 --> 00:03:04.320]  都會有這個問題
[00:03:04.320 --> 00:03:08.520]  全世界根據最新的2024年的統計
[00:03:08.520 --> 00:03:12.120]  全球大概有9.7億的人
[00:03:12.120 --> 00:03:15.640]  有這個所謂的mental disorder
[00:03:15.640 --> 00:03:19.480]  也就是精神方面的疾病
[00:03:19.480 --> 00:03:24.920]  全世界有多少人
[00:03:24.920 --> 00:03:26.640]  80億
[00:03:26.640 --> 00:03:29.400]  那是2022年的資料
[00:03:29.400 --> 00:03:33.320]  2022年的11月已經達到了80億
[00:03:33.320 --> 00:03:46.920]  現在最新的話應該是有81.54億
[00:03:46.920 --> 00:03:51.800]  所以81億的人口當中有9.7億
[00:03:51.800 --> 00:03:53.040]  差不多就等於8億了
[00:03:53.040 --> 00:03:54.240]  是不是
