
[00:00:00.000 --> 00:00:01.400]  各位影子早晨
[00:00:01.400 --> 00:00:05.300]  上一回在
[00:00:05.300 --> 00:00:10.000]  《撒慕爾記》上22章
[00:00:10.000 --> 00:00:13.400]  那裡其實是說到大衛
[00:00:13.400 --> 00:00:17.200]  經歷完人生一個低點
[00:00:17.200 --> 00:00:19.200]  之後呢
[00:00:19.200 --> 00:00:22.500]  他就走了去亞都蘭洞
[00:00:22.500 --> 00:00:26.800]  在那裡連同跟隨他的人
[00:00:26.800 --> 00:00:28.200]  他的家人
[00:00:28.800 --> 00:00:31.900]  數起來大概有四百人左右
[00:00:31.900 --> 00:00:37.800]  接著他繼續走到一個叫做哈列的樹林
[00:00:37.800 --> 00:00:40.500]  那裡逃避素羅的追殺
[00:00:40.500 --> 00:00:42.800]  當然了
[00:00:42.800 --> 00:00:44.800]  素羅沒有放過他
[00:00:44.800 --> 00:00:51.300]  最終因為有人在素羅面前打了個小報告
[00:00:51.300 --> 00:00:52.900]  結果呢
[00:00:52.900 --> 00:00:57.800]  素羅就將祭司阿希米勒的全家
[00:00:58.300 --> 00:01:00.100]  整個城
[00:01:00.100 --> 00:01:01.200]  生畜
[00:01:01.200 --> 00:01:03.200]  全部殺光
[00:01:03.200 --> 00:01:06.000]  唯一剩下他一個兒子
[00:01:06.000 --> 00:01:08.200]  叫做阿比亞他
[00:01:08.200 --> 00:01:11.000]  能夠逃脫之外
[00:01:11.000 --> 00:01:12.700]  無一倖免
[00:01:12.700 --> 00:01:17.900]  大衛對於這個結局當然
[00:01:17.900 --> 00:01:19.900]  感到非常難過
[00:01:19.900 --> 00:01:23.100]  所以當這個阿比亞他
[00:01:23.100 --> 00:01:26.400]  逃脫了去投靠他的時候
[00:01:26.400 --> 00:01:28.100]  他自自然然
[00:01:28.400 --> 00:01:31.200]  就將祂收納了
[00:01:31.200 --> 00:01:33.400]  不過呢
[00:01:33.400 --> 00:01:36.300]  去到第23章
[00:01:36.300 --> 00:01:38.000]  另一個挑戰
[00:01:38.000 --> 00:01:41.400]  這次是來自菲律賓人
[00:01:41.400 --> 00:01:45.000]  究竟在當中
[00:01:45.000 --> 00:01:47.100]  大衛遇到什麼呢?
[00:01:47.100 --> 00:01:52.800]  今天要跟大家分享的就是23章的頭半節
[00:01:52.800 --> 00:01:55.200]  第一至第十四節
[00:01:55.200 --> 00:01:57.900]  在我分享這段聖經之前
[00:01:57.900 --> 00:02:00.600]  請大家聽我來讀一次
[00:02:00.600 --> 00:02:03.900]  有人告訴大衛說
[00:02:03.900 --> 00:02:07.300]  菲律賓人攻擊基伊拉搶奪和尚
[00:02:07.300 --> 00:02:10.200]  所以大衛求問耶和華說
[00:02:10.200 --> 00:02:13.500]  我去攻打那些菲律賓人
[00:02:13.500 --> 00:02:14.900]  可以不可以?
[00:02:14.900 --> 00:02:17.300]  耶和華對大衛說
[00:02:17.300 --> 00:02:19.800]  你可以去攻打菲律賓人
[00:02:19.800 --> 00:02:21.600]  拯救基伊拉
[00:02:21.600 --> 00:02:24.400]  跟隨大衛的人對他說
[00:02:24.900 --> 00:02:28.600]  我們在猶大地這裏尚且懼怕
[00:02:28.600 --> 00:02:33.600]  何況往基伊拉去攻打菲律賓人的軍隊呢?
[00:02:33.600 --> 00:02:36.800]  大衛又求問耶和華
[00:02:36.800 --> 00:02:38.500]  耶和華回答說
[00:02:38.500 --> 00:02:39.700]  你起身
[00:02:39.700 --> 00:02:41.600]  下基伊拉去
[00:02:41.600 --> 00:02:44.800]  我必將菲律賓人交在你手裏
[00:02:44.800 --> 00:02:49.200]  大衛和跟隨他的人往基伊拉去
[00:02:49.200 --> 00:02:51.100]  與菲律賓人打仗
[00:02:51.100 --> 00:02:53.300]  大大殺敗他們
[00:02:53.600 --> 00:02:55.500]  又奪獲他們的生畜
[00:02:55.500 --> 00:02:59.500]  這樣大衛救了基伊拉的居民
[00:02:59.500 --> 00:03:03.400]  阿希米勒的兒子阿比亞他
[00:03:03.400 --> 00:03:06.000]  逃到基伊拉見大衛的時候
[00:03:06.000 --> 00:03:08.100]  手裏拿著以弗德
[00:03:08.100 --> 00:03:11.500]  有人告訴蘇羅說
[00:03:11.500 --> 00:03:13.900]  大衛到了基伊拉
[00:03:13.900 --> 00:03:15.300]  蘇羅說
[00:03:15.300 --> 00:03:17.900]  他進了有門有山的城
[00:03:17.900 --> 00:03:19.900]  困在裏頭
[00:03:19.900 --> 00:03:23.400]  於是神將他交在我手裏了
[00:03:24.600 --> 00:03:27.000]  於是蘇羅焦醉眾聞
[00:03:27.000 --> 00:03:29.900]  我下去攻打基伊拉城
[00:03:29.900 --> 00:03:32.500]  圍困大衛和跟隨他的人
[00:03:32.500 --> 00:03:36.800]  大衛知道蘇羅設計謀害他
[00:03:36.800 --> 00:03:39.500]  就對祭司阿比亞他說
[00:03:39.500 --> 00:03:41.600]  將以弗德拿過來
[00:03:41.600 --> 00:03:43.700]  大衛禱告說
[00:03:43.700 --> 00:03:46.000]  耶和華以色列的神啊
[00:03:46.000 --> 00:03:48.600]  你僕人聽真了
[00:03:48.600 --> 00:03:51.000]  蘇羅要往基伊拉來
[00:03:51.300 --> 00:03:53.800]  為我的緣故滅城
[00:03:53.800 --> 00:03:58.100]  基伊拉人將我交在蘇羅手裏不交
[00:03:58.100 --> 00:04:01.500]  蘇羅照著你僕人所聽的話
[00:04:01.500 --> 00:04:02.900]  下來不下來
[00:04:02.900 --> 00:04:05.500]  耶和華以色列的神啊
[00:04:05.500 --> 00:04:07.300]  求你指示僕人
[00:04:07.300 --> 00:04:08.800]  耶和華說
[00:04:08.800 --> 00:04:10.700]  蘇羅必下來
[00:04:10.700 --> 00:04:12.900]  大衛又說
[00:04:12.900 --> 00:04:16.100]  基伊拉人將我和跟隨我的人
[00:04:16.100 --> 00:04:18.500]  交在蘇羅手裏不交
[00:04:18.500 --> 00:04:20.300]  耶和華說
[00:04:20.300 --> 00:04:21.700]  必交出來
[00:04:21.700 --> 00:04:24.400]  大衛和跟隨他的
[00:04:24.400 --> 00:04:25.800]  約有六百人
[00:04:25.800 --> 00:04:28.100]  就起身出了基伊拉
[00:04:28.100 --> 00:04:30.700]  往他們所能往的地方去
[00:04:30.700 --> 00:04:33.300]  有人告訴蘇羅
[00:04:33.300 --> 00:04:36.200]  大衛離開基伊拉逃走
[00:04:36.200 --> 00:04:38.800]  於是蘇羅不出來了
[00:04:38.800 --> 00:04:42.400]  大衛住在曠野的山寨裏
[00:04:42.400 --> 00:04:45.300]  常在西忽曠野的山地
[00:04:45.300 --> 00:04:48.200]  蘇羅天天尋殺大衛
[00:04:48.400 --> 00:04:51.800]  神卻不將大衛交在他手裏
[00:04:51.800 --> 00:04:55.000]  如果大家心水清
[00:04:55.000 --> 00:04:57.900]  就會發覺剛才那段經文
[00:04:57.900 --> 00:05:01.700]  基本上可以分成兩個段落
[00:05:01.700 --> 00:05:04.200]  頭半節
