
[00:00:00.000 --> 00:00:05.320]  今天我們會繼續講資源共享
[00:00:05.320 --> 00:00:07.480]  講題已經開始
[00:00:07.480 --> 00:00:09.920]  上星期開始要轉的了
[00:00:09.920 --> 00:00:12.520]  我們講一下資源怎樣可以分享共享
[00:00:12.520 --> 00:00:17.560]  我想主要我們就是能夠有更多的資源能夠匯聚
[00:00:17.560 --> 00:00:19.440]  能夠幫助更多有需要的人
[00:00:19.440 --> 00:00:21.440]  以有更多人在神的角度裏面
[00:00:21.440 --> 00:00:22.800]  一起奔跑前的路
[00:00:22.800 --> 00:00:23.480]  OK
[00:00:23.480 --> 00:00:26.560]  我們今天會朝著這方向思想
[00:00:26.560 --> 00:00:31.480]  今日經文是《小學行傳》二章41-47
[00:00:31.480 --> 00:00:33.000]  我們先讀這段經文
[00:00:33.000 --> 00:00:35.000]  好 請
[00:00:56.560 --> 00:01:13.400]  (廣東話)
[00:01:13.400 --> 00:01:17.280]  好 這段聖經是初期教會的剛剛誕生
[00:01:17.280 --> 00:01:20.720]  大家知道這個聖經的背景
[00:01:20.720 --> 00:01:23.360]  之前一個多月就是耶穌剛剛被釘十字架
[00:01:23.360 --> 00:01:30.080]  接著復活 升天之前40天跟他們講論
[00:01:30.080 --> 00:01:33.160]  接著他們在馬可樓祈禱等候聖靈的降臨
[00:01:33.160 --> 00:01:34.960]  現在就是剛剛聖靈降臨
[00:01:34.960 --> 00:01:36.680]  接著他們講道
[00:01:36.680 --> 00:01:39.520]  使徒講道就有三千人信著
[00:01:39.520 --> 00:01:41.640]  這裏說他們都在一處
[00:01:41.640 --> 00:01:45.200]  你看到初期教會他們一誕生的時候
[00:01:45.200 --> 00:01:46.840]  他們聚集一起做什麼呢
[00:01:46.840 --> 00:01:48.640]  你看到這裏41-47
[00:01:48.640 --> 00:01:53.040]  就是初期教會聖靈充滿五旬節教會的那些記號
[00:01:53.040 --> 00:01:56.600]  他們恆心遵守使徒的教訓
[00:01:56.600 --> 00:01:58.920]  行真理 彼此交接
[00:01:58.920 --> 00:02:01.240]  即是他們大家有團契的生活
[00:02:01.240 --> 00:02:04.720]  他們敬拜 他們祈禱 抹餅 紀念主
[00:02:04.720 --> 00:02:06.720]  尤其是行了很多神蹟歧視
[00:02:06.720 --> 00:02:08.440]  你看到他們經歷到
[00:02:08.440 --> 00:02:11.440]  還有他們彼此相顧 賣了田產
[00:02:11.440 --> 00:02:14.320]  繁物公用 分給有需要的人
[00:02:14.320 --> 00:02:15.920]  他們過著團契的生活
[00:02:15.920 --> 00:02:19.760]  而且天天在店裏面 在家裏面用飯
[00:02:19.760 --> 00:02:21.160]  在店裏面敬拜神
[00:02:21.160 --> 00:02:23.840]  然後繼續有得救人數加
[00:02:23.840 --> 00:02:25.640]  即是他們繼續在發展
[00:02:25.640 --> 00:02:26.720]  你看到一個教會
[00:02:26.720 --> 00:02:30.440]  一個被聖靈充滿的五旬節的初期教會
[00:02:30.440 --> 00:02:31.960]  充滿神的榮耀
[00:02:31.960 --> 00:02:33.920]  還有行了很多神蹟歧視
[00:02:33.920 --> 00:02:37.080]  我們這段經文特別要講一段
[00:02:37.080 --> 00:02:39.920]  就是他們變賣他們的田產
[00:02:39.920 --> 00:02:43.080]  家業 照個人所需的
[00:02:43.080 --> 00:02:47.040]  他們有一個這樣的舉動
[00:02:47.040 --> 00:02:49.920]  先講這個就是他們什麼人聚集一起呢
[00:02:49.920 --> 00:02:51.920]  如果按當時的背景
[00:02:51.920 --> 00:02:53.920]  應該是使徒在那裏
[00:02:53.920 --> 00:02:58.560]  馬可樓 祈禱的120個弟兄姊妹在那裏
[00:02:58.560 --> 00:03:00.400]  還有他們3000人順著這些
[00:03:00.400 --> 00:03:03.200]  順著剛剛初順著的果子在那裏
[00:03:03.200 --> 00:03:06.400]  當時的 如果你知道那時候是
[00:03:06.400 --> 00:03:11.000]  猶太地 以色列他們回去耶路撒冷
[00:03:11.000 --> 00:03:12.560]  去敬拜神的
[00:03:12.560 --> 00:03:14.560]  他們的首節期 五旬節
[00:03:14.560 --> 00:03:16.080]  所以是四方八面
[00:03:16.080 --> 00:03:17.600]  如果看回《司徒行傳》第二章
[00:03:17.600 --> 00:03:19.120]  是四方八面的
[00:03:19.120 --> 00:03:21.320]  在羅馬 在各個地區
[00:03:21.320 --> 00:03:24.840]  亞細亞那裏 一大地方回去的
[00:03:24.840 --> 00:03:27.280]  有虔誠的猶太人
[00:03:27.280 --> 00:03:31.120]  又有歸順了猶太教的外邦人
[00:03:31.120 --> 00:03:32.760]  有不同類型的人
[00:03:32.760 --> 00:03:37.360]  我想那3000人順著應該都有不同的人
[00:03:37.360 --> 00:03:38.600]  他聚集在一處
[00:03:38.600 --> 00:03:41.720]  究竟是不是他們真是每天就有一個聚會
[00:03:41.720 --> 00:03:42.680]  這樣聚集在一處
[00:03:42.680 --> 00:03:45.000]  你看到他們會在家中
[00:03:45.000 --> 00:03:47.640]  又在店裏面
[00:03:47.640 --> 00:03:49.240]  他應該不是租一個地方
[00:03:49.240 --> 00:03:51.800]  三千人都住在那裏 是不是
[00:03:51.800 --> 00:03:53.040]  按道理應該不是這樣
[00:03:53.040 --> 00:03:56.400]  應該是說他們經常都會在一起
[00:03:56.400 --> 00:03:58.520]  但他們一起會敬拜 一起會聚集的
[00:03:58.520 --> 00:04:00.160]  這班人經常都在一起
[00:04:00.160 --> 00:04:03.120]  而且為什麼會這樣呢
[00:04:03.120 --> 00:04:08.000]  有些解經家看回 有些背景可能
[00:04:08.000 --> 00:04:11.680]  就是他們想著耶穌快回來了
[00:04:11.680 --> 00:04:13.640]  因為剛剛一個多月前發生的事
[00:04:13.640 --> 00:04:14.800]  已經按當時的背景
[00:04:14.800 --> 00:04:15.760]  剛剛一個多月前
[00:04:15.760 --> 00:04:17.320]  耶穌才被釘十字架
[00:04:17.320 --> 00:04:18.840]  應該是很震撼的
[00:04:18.840 --> 00:04:21.640]  對以色列 對整個猶太人傳遞
[00:04:21.640 --> 00:04:23.400]  耶穌剛剛釘十字架
[00:04:23.400 --> 00:04:25.280]  接著就復活
[00:04:25.280 --> 00:04:26.120]  接著就降臨
[00:04:26.120 --> 00:04:26.840]  接著就升天
[00:04:26.840 --> 00:04:28.400]  接著就升天降臨
[00:04:28.400 --> 00:04:29.960]  就說到是不是很震撼
[00:04:29.960 --> 00:04:31.040]  這件事是很新鮮的
[00:04:31.040 --> 00:04:35.200]  所以他們心裏應該是很澎湃的
[00:04:35.200 --> 00:04:36.880]  他們可能是熱切的期待
[00:04:36.880 --> 00:04:38.280]  所以他們會聚在一起
[00:04:38.280 --> 00:04:40.400]  總之只要煮回來就可以了
[00:04:40.400 --> 00:04:43.480]  總之我們就一起過生活
[00:04:43.480 --> 00:04:46.120]  又或者是他們經常聚集在一處
[00:04:46.120 --> 00:04:48.000]  其中一個原因可能是
[00:04:48.000 --> 00:04:51.560]  他們猶太教信了耶穌
[00:04:51.560 --> 00:04:54.440]  他們就會受宗教上的逼迫
[00:04:54.440 --> 00:04:56.400]  因為當時的法利塞人等等
[00:04:56.400 --> 00:04:58.400]  宗教領袖都是逼迫耶穌的
[00:04:58.400 --> 00:05:00.360]  你跟著耶穌都是逼迫的
[00:05:00.360 --> 00:05:02.160]  你是主的門徒
[00:05:02.160 --> 00:05:05.920]  可能是內外的因素
[00:05:05.920 --> 00:05:07.640]  內在的可能我們等候主
[00:05:07.640 --> 00:05:08.600]  我們走在一起
[00:05:08.600 --> 00:05:10.240]  我們繼續見證神
[00:05:10.240 --> 00:05:12.240]  外在的可能其他逼迫
[00:05:12.240 --> 00:05:14.440]  我們怎樣都好
[00:05:14.440 --> 00:05:17.200]  我們看他們就是變賣一切
[00:05:17.200 --> 00:05:20.040]  他們將所有家財變賣
[00:05:20.040 --> 00:05:23.000]  這裡問 是不是一定是這樣的呢
[00:05:23.000 --> 00:05:24.720]  如果看這段聖經
[00:05:24.720 --> 00:05:29.200]  我們再繼續看小行傳第四章第五章
[00:05:29.200 --> 00:05:30.920]  我們一起讀的經文
[00:05:30.920 --> 00:05:33.040]  都是關乎變賣一切
[00:05:33.040 --> 00:05:35.840]  他的田產家業的一件事件
[00:05:35.840 --> 00:05:37.920]  好 我們請讀
[00:05:44.440 --> 00:05:47.920]  天主的祖國有人都同門恩
[00:05:47.920 --> 00:05:51.640]  內裡也有每一個缺乏
[00:05:51.640 --> 00:05:55.200]  因為人人都將田產購買外賣
[00:05:55.200 --> 00:05:57.840]  他所買的銀就不外賣
[00:05:57.840 --> 00:05:59.840]  當在世受他騙
[00:05:59.840 --> 00:06:07.200]  有一個尼美人在賽賽路遊樂
[00:06:07.200 --> 00:06:11.120]  尼美人知道聖馬拉巴拿班
[00:06:11.120 --> 00:06:13.920]  他有田地賣了
[00:06:13.920 --> 00:06:15.920]  擺在前面
[00:06:15.920 --> 00:06:17.920]  坐在斜道腳下
[00:06:17.920 --> 00:06:23.920]  第五章
[00:06:23.920 --> 00:06:25.920]  下一段
[00:06:25.920 --> 00:06:28.920]  好 請
[00:06:28.920 --> 00:06:31.920]  有一個人名叫阿拿尼亞
[00:06:31.920 --> 00:06:34.920]  他和他的妻子撒費拉
[00:06:34.920 --> 00:06:35.920]  賣了田產
[00:06:35.920 --> 00:06:37.920]  他和他的妻子賣了田
[00:06:37.920 --> 00:06:39.920]  阿拿尼亞
[00:06:39.920 --> 00:06:41.920]  他和他的妻子賣了田
[00:06:41.920 --> 00:06:43.920]  撒費拉
[00:06:43.920 --> 00:06:45.920]  撒費拉
[00:06:45.920 --> 00:06:49.920]  全教會和天見者士的人都甚懼怕
[00:06:49.920 --> 00:06:53.920]  如果你在當場 懼不懼怕?
[00:06:53.920 --> 00:06:55.920]  真是很懼怕
[00:06:55.920 --> 00:06:56.920]  真是很可怕
[00:06:56.920 --> 00:06:58.920]  聖靈的痛在 神的痛在
[00:06:58.920 --> 00:07:00.920]  是大到這樣的
[00:07:00.920 --> 00:07:02.920]  一點不聖潔的 一點罪的
[00:07:02.920 --> 00:07:04.920]  都不可以存在的
[00:07:04.920 --> 00:07:06.920]  這裡說賣田產
[00:07:06.920 --> 00:07:08.920]  都是這樣去賣
[00:07:08.920 --> 00:07:13.920]  是不是我們信主都應該賣了田地
[00:07:13.920 --> 00:07:15.920]  如果有田產加以賣呢?
