
[00:00:00.000 --> 00:00:09.320]  (主席)這次繼續是宣牧師為我們選的苦難的系列
[00:00:09.320 --> 00:00:13.240]  上次是講過神的公義
[00:00:13.240 --> 00:00:15.240]  在苦難中的神的公義
[00:00:15.240 --> 00:00:23.080]  這次我們要在苦難中思想神的信心
[00:00:23.080 --> 00:00:25.080]  在還未開始之前
[00:00:25.080 --> 00:00:27.080]  我們先祈禱
[00:00:27.080 --> 00:00:29.880]  在神面前準備我們的心
[00:00:29.880 --> 00:00:34.600]  感謝聖天父祢的華語實在奇妙
[00:00:34.600 --> 00:00:37.920]  求祢幫助我們在下面的時間
[00:00:37.920 --> 00:00:43.160]  讓我們能夠專心的去聆聽祢的華語
[00:00:43.160 --> 00:00:46.280]  求祢將祢的華語釋放
[00:00:46.280 --> 00:00:49.840]  將內宗的祢的啟示
[00:00:49.840 --> 00:00:55.280]  祢對我們知道的意思顯明出來
[00:00:55.280 --> 00:00:57.280]  並且藏在我們心裏面
[00:00:57.280 --> 00:01:00.640]  讓我們能夠聽懂祢的華語
[00:01:00.640 --> 00:01:02.640]  接受祢的教導
[00:01:02.640 --> 00:01:06.640]  讓我們越來越學到耶穌基督的榜樣
[00:01:06.640 --> 00:01:09.640]  就在蒙福的道路之中
[00:01:09.640 --> 00:01:13.160]  這樣的祈禱是奉著耶穌的聖名祈求
[00:01:13.160 --> 00:01:15.160]  阿門
[00:01:15.160 --> 00:01:19.160]  剛才介紹過我們講的系列是苦難的系列
[00:01:19.160 --> 00:01:22.800]  上個禮拜講到神的公義
[00:01:22.800 --> 00:01:29.480]  我可以用簡單的一句話來形容是宏觀的圖畫
[00:01:29.480 --> 00:01:32.240]  因為在患難當中
[00:01:32.240 --> 00:01:37.480]  當我們遇到生活在患難之中的時候
[00:01:37.480 --> 00:01:41.680]  神的公義是由我們現在
[00:01:41.680 --> 00:01:47.400]  一直伸展到耶穌基督的審判台前
[00:01:47.400 --> 00:01:55.560]  最後神的公義必然會在主耶穌的審判台前
[00:01:55.560 --> 00:01:59.560]  是完完全全的顯露出來的
[00:01:59.560 --> 00:02:02.280]  我們生活在現在的這個世代
[00:02:02.280 --> 00:02:05.280]  有罪惡、有痛苦
[00:02:05.280 --> 00:02:08.000]  善和惡是混在一起的
[00:02:08.000 --> 00:02:10.200]  很多時候分不清楚善惡
[00:02:10.200 --> 00:02:12.520]  很多時候遇到的痛苦
[00:02:12.520 --> 00:02:15.080]  都不知道是怎樣會來到的
[00:02:15.080 --> 00:02:18.880]  但是來到耶穌基督的審判台前
[00:02:18.880 --> 00:02:22.120]  真理必然彰顯出來
[00:02:22.120 --> 00:02:27.600]  善惡再無辦法可以隱藏到一一的顯露
[00:02:27.600 --> 00:02:31.280]  所以我們可以這樣說
[00:02:31.280 --> 00:02:35.800]  耶穌基督再來的
[00:02:35.800 --> 00:02:38.680]  這個訊息
[00:02:38.680 --> 00:02:43.400]  是我們基督徒世界觀的重點
[00:02:43.400 --> 00:02:45.920]  主題
[00:02:45.920 --> 00:02:49.480]  因為當我們明白到基督再來的時候
[00:02:49.480 --> 00:02:53.000]  公義必然會彰顯
[00:02:53.000 --> 00:02:59.760]  這樣就會鼓勵我們在患難當中
[00:02:59.760 --> 00:03:01.760]  持守真理
[00:03:01.760 --> 00:03:04.200]  彰顯正義
[00:03:04.200 --> 00:03:06.200]  所以耶穌基督再來
[00:03:06.200 --> 00:03:08.760]  不只是遠遠的那一點
[00:03:08.760 --> 00:03:11.600]  是將來的末日
[00:03:11.600 --> 00:03:14.440]  耶穌基督再來的這個訊息
[00:03:14.440 --> 00:03:20.040]  就是現在對我們非常重要
[00:03:20.040 --> 00:03:24.520]  所以我說這個是世界觀
[00:03:24.520 --> 00:03:26.920]  所以當我們來到面對
[00:03:26.920 --> 00:03:29.600]  痛苦和罪惡的勢力的時候
[00:03:29.600 --> 00:03:31.880]  我們不怕
[00:03:31.880 --> 00:03:33.800]  有人講威逼的話
[00:03:33.800 --> 00:03:36.400]  我們不會被嚇到
[00:03:36.400 --> 00:03:39.520]  因為公義必然得勝
[00:03:39.520 --> 00:03:42.800]  在耶穌基督的審判台前
[00:03:42.800 --> 00:03:46.720]  就遠遠全全會顯露出來
[00:03:46.720 --> 00:03:49.160]  所以就讓我們弟兄姊妹
[00:03:49.160 --> 00:03:51.760]  走人生的道路的時候
[00:03:51.760 --> 00:03:54.040]  就穩穩妥妥的
[00:03:54.040 --> 00:03:56.800]  一步一步的走
[00:03:56.800 --> 00:03:59.080]  不要放棄原則
[00:03:59.080 --> 00:04:01.000]  不要放棄信仰
[00:04:01.000 --> 00:04:06.600]  一步一步的走完我們這個人生的曠野路
[00:04:06.600 --> 00:04:10.960]  我簡單的將我上次講的神的公義
[00:04:10.960 --> 00:04:13.680]  是剛才簡單介紹給大家
[00:04:13.680 --> 00:04:17.320]  今日我要繼續講有關苦難
[00:04:17.320 --> 00:04:20.560]  上次是一個宏觀的視野
[00:04:20.560 --> 00:04:22.120]  從現在看到去
[00:04:22.120 --> 00:04:25.400]  耶穌基督的審判台前
[00:04:25.400 --> 00:04:27.000]  但今日我要講的
[00:04:27.000 --> 00:04:32.120]  我更著重的是講基督徒的內心
[00:04:32.120 --> 00:04:35.920]  受苦的時候心靈是很沉重
[00:04:35.920 --> 00:04:40.120]  我們怎樣能夠勝過痛苦和壓力呢?
[00:04:40.120 --> 00:04:42.880]  究竟怎樣才能夠
[00:04:42.880 --> 00:04:47.280]  這個痛苦又帶來甚麼肅靈的意義呢?
[00:04:47.280 --> 00:04:50.240]  很多人是靠自己的意志力
[00:04:50.240 --> 00:04:53.640]  來克服困難、痛苦當中
[00:04:53.640 --> 00:04:59.160]  很多的人民主義者講的安慰的話
[00:04:59.160 --> 00:05:05.320]  都是希望增強每個人的自己的能力
[00:05:05.320 --> 00:05:07.520]  沒錯,是不錯的
[00:05:07.520 --> 00:05:12.400]  但是真正做到的人是很少很少
[00:05:12.400 --> 00:05:14.160]  我們作為基督徒
[00:05:14.160 --> 00:05:19.680]  我們需要的是禮至神的安慰和鼓勵
[00:05:19.680 --> 00:05:27.040]  特別是求神來加強我們軟弱的信心
[00:05:27.040 --> 00:05:32.360]  沒錯,今日我要講的特別是軟弱的信心
[00:05:32.360 --> 00:05:36.440]  是苦難之中的軟弱的信心
[00:05:36.440 --> 00:05:37.600]  弟兄姊妹
[00:05:37.600 --> 00:05:41.760]  神並不是要我們孤軍作戰
[00:05:41.760 --> 00:05:45.560]  神必然和受苦的人同在
[00:05:45.560 --> 00:05:50.000]  並且祂會親自安慰我們
