
[00:00:00.000 --> 00:00:02.340]  黃版書第十五章第十三節
[00:00:02.340 --> 00:00:04.460]  這一節的聖經
[00:00:04.460 --> 00:00:06.760]  在施保珍這位上一代
[00:00:06.760 --> 00:00:10.660]  偉大的解經家和報道家的口中
[00:00:10.660 --> 00:00:12.620]  他說是其中一節
[00:00:12.620 --> 00:00:16.820]  在聖經裏面最豐富、最寶貴的一句聖經
[00:00:16.820 --> 00:00:18.140]  爲什麼這麼說呢?
[00:00:18.140 --> 00:00:20.340]  但願我們能夠細細去品嚐
[00:00:20.340 --> 00:00:22.640]  黃版書第十五章十三節
[00:00:22.640 --> 00:00:24.140]  請丁師傅一同讀出
[00:00:24.140 --> 00:00:26.460]  這一節這麼寶貴、這麼真實
[00:00:26.460 --> 00:00:28.660]  並且是很豐富的聖經
[00:00:28.660 --> 00:00:29.820]  我們一起讀
[00:00:29.820 --> 00:00:30.740]  請讀
[00:00:30.740 --> 00:00:33.360]  但願使人有盼望的神
[00:00:33.360 --> 00:00:36.460]  因順將諸般的喜樂平安
[00:00:36.460 --> 00:00:38.140]  充滿你們的心
[00:00:38.140 --> 00:00:42.260]  使你們藉着聖靈的能力大有盼望
[00:00:42.260 --> 00:00:47.140]  聖經講到這位是使人有盼望的神
[00:00:47.140 --> 00:00:50.780]  是神使我們點燃盼望
[00:00:50.780 --> 00:00:52.700]  聖經有人說
[00:00:52.700 --> 00:00:55.100]  如果一個人沒有食物
[00:00:55.100 --> 00:00:58.260]  他堅持最多可以四十天
[00:00:58.260 --> 00:01:00.380]  他說如果這個人沒有水喝
[00:01:00.380 --> 00:01:03.580]  他最多可以四天
[00:01:03.580 --> 00:01:05.860]  但如果沒有空氣
[00:01:05.860 --> 00:01:09.420]  他最多可以堅持的只是四分鐘
[00:01:09.420 --> 00:01:11.020]  但最後他說
[00:01:11.020 --> 00:01:13.100]  他說如果一個人沒有盼望
[00:01:13.100 --> 00:01:14.900]  活在絕望當中
[00:01:14.900 --> 00:01:20.420]  連四秒對他來說都是很難去堅持的
[00:01:20.420 --> 00:01:24.380]  盼望是我們生命維持的很大元素
[00:01:24.380 --> 00:01:27.420]  有沒有一個人能夠繼續勇敢向前行
[00:01:27.420 --> 00:01:30.580]  讓我們能夠生活在一個有活力的狀況
[00:01:30.580 --> 00:01:33.700]  因爲我們知道我們所盼望所等候的
[00:01:33.700 --> 00:01:35.900]  是真實並且有價值
[00:01:35.900 --> 00:01:37.940]  羅馬書讓我們看到
[00:01:37.940 --> 00:01:40.260]  不斷講到救恩的那種真實
[00:01:40.260 --> 00:01:42.020]  或者他講到讓我們知道
[00:01:42.020 --> 00:01:45.300]  上帝是那位使人有盼望的神
[00:01:45.300 --> 00:01:46.340]  這裏聖經講
[00:01:46.340 --> 00:01:47.620]  這位使人有盼望的神
