
[00:00:00.000 --> 00:00:01.760]  今天是敬拜讚美主日
[00:00:01.760 --> 00:00:02.680]  說了很多次
[00:00:02.680 --> 00:00:04.400]  或者弟兄姊妹會問
[00:00:04.400 --> 00:00:05.800]  其實每個星期
[00:00:05.800 --> 00:00:07.880]  我們都有敬拜讚美主日的時間
[00:00:07.880 --> 00:00:10.000]  為什麼要特別安排一天
[00:00:10.000 --> 00:00:12.920]  稱為敬拜讚美主日呢
[00:00:12.920 --> 00:00:14.240]  我安排今天
[00:00:14.240 --> 00:00:18.480]  目的是很想提升我們弟兄姊妹對崇拜
[00:00:18.480 --> 00:00:22.560]  或者我們叫做一個集體敬拜讚美的關注
[00:00:22.560 --> 00:00:24.000]  今天我要說的
[00:00:24.000 --> 00:00:28.480]  不單單是唱詩敬拜讚美那部分的環節的重要
[00:00:28.480 --> 00:00:30.480]  而是我們整個崇拜
[00:00:30.480 --> 00:00:33.480]  以致我們整個信徒群體
[00:00:33.480 --> 00:00:34.680]  走在一起的時候
[00:00:34.680 --> 00:00:37.200]  我們這種生活的重要性
[00:00:37.200 --> 00:00:39.880]  所以今天的講題是拉闊敬拜
[00:00:39.880 --> 00:00:41.360]  而我選取的經文
[00:00:41.360 --> 00:00:43.440]  是記載在《小人傳》
[00:00:43.440 --> 00:00:48.000]  說初期教會他們生活的一段經文
[00:00:48.000 --> 00:00:51.440]  其中我會抽幾個重點跟大家一起思想
[00:00:51.440 --> 00:00:56.200]  在這裡簡單交代初期教會的發展的概況
[00:00:56.200 --> 00:00:59.520]  如果我們還記得耶穌被釘十字架之後
[00:00:59.520 --> 00:01:02.680]  祂復活就向門徒顯現
[00:01:02.680 --> 00:01:06.320]  期間在40天裡面祂向不同的門徒顯現
[00:01:06.320 --> 00:01:11.880]  有一幕就是祂向彼得在加利利的海邊顯現
[00:01:11.880 --> 00:01:13.320]  並且吩咐祂
[00:01:13.320 --> 00:01:15.760]  你以後就要繼續牧養我的小羊
[00:01:15.760 --> 00:01:17.400]  牧養我的群羊
[00:01:17.400 --> 00:01:20.120]  然後祝福他們
[00:01:20.120 --> 00:01:22.680]  你們要去到耶路撒冷等候
[00:01:22.680 --> 00:01:24.360]  所以要降臨的
[00:01:24.360 --> 00:01:26.560]  然後你們就必得著能力
[00:01:26.560 --> 00:01:30.160]  在路加坊那裡就沒有說等候什麼
[00:01:30.160 --> 00:01:31.760]  總之就是叫他們等候
[00:01:31.760 --> 00:01:34.560]  但是去到《小人傳》第一章我們就知道
[00:01:34.560 --> 00:01:39.720]  耶穌是叫門徒去耶路撒冷那裡等候聖靈
[00:01:39.720 --> 00:01:41.000]  他們等候聖靈
[00:01:41.000 --> 00:01:42.520]  結果他們就聚集
[00:01:42.520 --> 00:01:43.880]  直到五旬節
[00:01:43.880 --> 00:01:46.880]  一個猶太人很重要的節期當中
[00:01:46.880 --> 00:01:49.160]  他們有120個門徒
[00:01:49.160 --> 00:01:51.920]  加上當時的使徒在那裡
[00:01:51.920 --> 00:01:53.080]  就是等候
[00:01:53.080 --> 00:01:55.680]  在五旬節的時候有一件事情發生
[00:01:55.680 --> 00:01:58.080]  就是有舌頭好像火焰一樣
[00:01:58.080 --> 00:02:00.680]  分開降在各人的頭上
[00:02:00.680 --> 00:02:04.400]  之後他們就被聖靈充滿
[00:02:04.400 --> 00:02:07.960]  被聖靈充滿他們有兩個很重要的表現
[00:02:07.960 --> 00:02:08.640]  第一
[00:02:08.640 --> 00:02:11.080]  他們講起別國的話
[00:02:11.080 --> 00:02:12.360]  什麼是別國的話呢?
[00:02:12.360 --> 00:02:14.280]  他們來自五湖四海
[00:02:14.280 --> 00:02:16.600]  猶太人分散到其他地方
[00:02:16.600 --> 00:02:19.000]  但是他們回來耶路撒冷首節
[00:02:19.000 --> 00:02:20.600]  就好像中國人那樣
