
[00:00:00.000 --> 00:00:03.400]  今日我哋睇一個嘅主題
[00:00:03.400 --> 00:00:08.200]  咁就係「敬拜」,上個禮拜我哋睇多咗一啲敬拜嘅經文
[00:00:08.200 --> 00:00:10.300]  同敬拜有關嘅啲嘅題目
[00:00:10.300 --> 00:00:12.600]  記得Brander嚟咗,係咪?
[00:00:12.600 --> 00:00:16.400]  咁我哋呢就開始嚟到講一講敬拜,乜嘢叫做Worship?
[00:00:16.400 --> 00:00:21.900]  你入到嚟教會,你呢個主人崇拜,到底一回咩事?
[00:00:21.900 --> 00:00:27.300]  我哋值得去思考一下,呢個係我哋基督徒應有嘅習慣
[00:00:27.300 --> 00:00:30.500]  一個正常基督徒應有嘅Habit嚟嘅
[00:00:30.500 --> 00:00:32.800]  每個主人我哋去崇拜
[00:00:32.800 --> 00:00:35.500]  咁到底崇拜係一回咩事?
[00:00:35.500 --> 00:00:42.600]  詩篇第95篇,我覺得呢篇詩篇係眾多嘅敬拜嘅詩歌
[00:00:42.600 --> 00:00:47.300]  你知道詩篇裏面有150首呢啲嘅歌,係咪?
[00:00:47.300 --> 00:00:52.300]  呢啲都係以色列人舊約嘅時候神嘅指紋用嚟去敬拜嘅
[00:00:52.300 --> 00:00:56.800]  其中一首講到敬拜呢,就係95篇啦
[00:00:56.800 --> 00:00:59.300]  好啊,五篇,我哋先讀,好嗎?
[00:00:59.300 --> 00:01:05.800]  來啊!我哋要向耶和華歌唱,向拯救我哋嘅盆石歡呼
[00:01:05.800 --> 00:01:12.300]  我哋要以感謝來到他面前,用詩歌向他歡呼
[00:01:12.300 --> 00:01:17.300]  因耶和華是偉大的上帝,是超越萬神的大君王
[00:01:17.300 --> 00:01:21.800]  地的深處在他手中,山的高峰也屬他
[00:01:21.800 --> 00:01:28.300]  海洋屬他,是他造的,旱地也屬他手造成的
[00:01:28.300 --> 00:01:36.800]  來啊!我們要撫服敬拜,在做我們的耶和華面前跪拜
[00:01:36.800 --> 00:01:45.300]  因為他是我們的上帝,我們是他草場的百姓,是他手中的羊
[00:01:45.300 --> 00:01:51.800]  惟願你們今天聽他的話,你們不可硬著心
[00:01:51.800 --> 00:01:56.300]  像在米利巴,就是在曠野瑪薩的日子
[00:01:56.300 --> 00:02:03.300]  那時你們的祖宗,視我,探我,並且觀看我的作為
[00:02:03.300 --> 00:02:06.800]  四十年之久,我厭煩那四世代說
[00:02:06.800 --> 00:02:10.800]  這是心裡模糊的百姓,竟不知道我的道路
[00:02:10.800 --> 00:02:18.300]  所以我在路中起誓,他們斷不可進入我的岸城
[00:02:18.300 --> 00:02:20.300]  這篇詩篇有點古怪
[00:02:20.300 --> 00:02:24.300]  如果你選一首歌,去到敬拜去唱的時候
[00:02:24.300 --> 00:02:26.800]  好像剛才那幾首歌,我們去敬拜
[00:02:26.800 --> 00:02:30.300]  去到唱出我們的讚美詩詞的時候
[00:02:30.300 --> 00:02:37.300]  通常都是結束的時候,都是比較正面一點的,是不是?
[00:02:37.300 --> 00:02:42.300]  這首詩歌,去到第十一節就沒有了,不要回去找,十二節,十三節
[00:02:42.300 --> 00:02:45.300]  就在這裡完結了,有點古怪
[00:02:45.300 --> 00:02:50.300]  那我們就看看這篇詩篇,到底要告訴我們敬拜是一回什麼事
[00:02:50.300 --> 00:02:53.800]  今天來到教會坐在這裏,我們大家在這裏敬拜
[00:02:53.800 --> 00:02:55.300]  到底是一回什麼事
[00:02:55.300 --> 00:02:58.300]  第一個問題想問大家,今天來這裏的時候
[00:02:58.300 --> 00:03:01.800]  你做了什麼準備的功夫?
[00:03:01.800 --> 00:03:06.300]  有什麼準備功夫你做了?你想想
[00:03:06.300 --> 00:03:09.300]  吃早餐,是不是?
