
[00:00:00.000 --> 00:00:07.640]  如果你知道你死後是會復活的
[00:00:07.640 --> 00:00:12.340]  憤怒不能夠關禁你
[00:00:12.340 --> 00:00:15.160]  你會怎樣去生活呢?
[00:00:15.160 --> 00:00:18.180]  耶穌來到世界上爲了完成祂的使命
[00:00:18.180 --> 00:00:19.340]  以至於死
[00:00:19.340 --> 00:00:25.020]  以至到我們可以因爲耶穌的復活而生活
[00:00:25.020 --> 00:00:26.540]  我們都相信
[00:00:26.540 --> 00:00:30.280]  基督徒都相信我們是會復活的
[00:00:30.280 --> 00:00:36.080]  問題仍然是這樣
[00:00:36.080 --> 00:00:38.920]  如果憤怒不能夠關禁我們
[00:00:38.920 --> 00:00:40.420]  我們是會復活的
[00:00:40.420 --> 00:00:43.700]  我們的問題是以後
[00:00:43.700 --> 00:00:50.300]  今天我們應該怎樣去生活呢?
[00:00:50.300 --> 00:00:54.500]  在耶穌復活的那個早上
[00:00:54.500 --> 00:00:58.500]  神透過天使告訴那幾個來掃墓的婦女
[00:00:58.500 --> 00:00:59.940]  你去告訴我的弟兄聽
[00:00:59.940 --> 00:01:01.020]  告訴那些叛徒聽
[00:01:01.020 --> 00:01:03.720]  我已經從死到復活了
[00:01:03.720 --> 00:01:09.160]  這幾個婦女很害怕很震驚
[00:01:09.160 --> 00:01:11.060]  在那個時間什麼都不會做
[00:01:11.060 --> 00:01:13.000]  聽到之後就走了
[00:01:13.000 --> 00:01:14.740]  回去找那些叛徒告訴他們
[00:01:14.740 --> 00:01:18.520]  耶穌復活了
[00:01:18.520 --> 00:01:20.500]  聖經說很多人搖頭
[00:01:20.500 --> 00:01:22.300]  那些婦女說耶穌復活?
[00:01:22.300 --> 00:01:25.540]  婦女是沒有地位的,是真是假的
[00:01:25.540 --> 00:01:30.940]  很多人很詫異,很多人很困惑
[00:01:30.940 --> 00:01:33.220]  但是當我看聖經的時候我發覺
[00:01:33.220 --> 00:01:35.640]  包括那些仕途在內
[00:01:35.640 --> 00:01:36.880]  不單單是半個門徒
[00:01:36.880 --> 00:01:39.640]  包括那十一個仕途在內
[00:01:39.640 --> 00:01:42.600]  似乎我們只是看到他們很詫異
[00:01:42.600 --> 00:01:44.640]  很奇怪,很迷惑
[00:01:44.640 --> 00:01:46.080]  是不是耶穌真的復活了?
[00:01:46.080 --> 00:01:49.980]  真的像你所說的一樣嗎?
[00:01:49.980 --> 00:01:53.540]  我們見不到這羣門徒很興奮
[00:01:53.540 --> 00:01:56.820]  很開心的那些記載
[00:01:56.820 --> 00:01:59.380]  見不到
[00:01:59.380 --> 00:02:01.760]  我相信原因很簡單
[00:02:01.760 --> 00:02:04.020]  因爲當日這羣門徒
[00:02:04.020 --> 00:02:05.080]  這羣仕途
[00:02:05.080 --> 00:02:09.300]  他們還沒有明白耶穌基督復活的意思是什麼
[00:02:09.300 --> 00:02:10.900]  當然在那個時間裏面
[00:02:10.900 --> 00:02:13.400]  聖靈未降臨
[00:02:13.400 --> 00:02:15.180]  他們沒有聖靈在他們的心靈當中
[00:02:15.180 --> 00:02:18.620]  所以他們沒辦法捉摸到
[00:02:18.620 --> 00:02:21.640]  對他們來說是難以置信的一個真理
[00:02:21.640 --> 00:02:23.340]  也因爲這樣的緣故
[00:02:23.340 --> 00:02:24.960]  所以我們看到這羣基督徒
[00:02:24.960 --> 00:02:28.160]  當時這羣基督徒
[00:02:28.160 --> 00:02:32.300]  他們的生命沒有明顯的改變
[00:02:32.300 --> 00:02:33.700]  而在同一天
[00:02:33.700 --> 00:02:36.940]  早上那羣婦女說耶穌復活了
[00:02:36.940 --> 00:02:38.520]  真的假的?是不是真的?
[00:02:38.520 --> 00:02:39.620]  就讓他們看看
[00:02:39.620 --> 00:02:42.180]  差點就不見了
[00:02:42.180 --> 00:02:44.260]  所以
[00:02:44.260 --> 00:02:45.200]  在同一天
[00:02:45.200 --> 00:02:46.980]  有兩個門徒聖經說
[00:02:46.980 --> 00:02:49.500]  他們從耶路撒冷去了一條村
[00:02:49.500 --> 00:02:52.860]  叫做爾瑪烏斯
[00:02:52.860 --> 00:02:56.420]  離開耶路撒冷大概有十一公里那麼遠
[00:02:56.420 --> 00:02:59.420]  他們的沿途就是談論所發生的事
[00:02:59.420 --> 00:03:00.380]  正在談論的時候
[00:03:00.380 --> 00:03:02.020]  耶穌親自走近他們
[00:03:02.020 --> 00:03:04.240]  和他們一起走
[00:03:04.240 --> 00:03:07.360]  他們看見耶穌
[00:03:07.360 --> 00:03:11.100]  不過不認得他
[00:03:11.100 --> 00:03:15.120]  我覺得這兩個耶穌基督的門徒
[00:03:15.120 --> 00:03:19.800]  很能夠代表我們今天很多基督徒的情況
[00:03:19.800 --> 00:03:20.600]  爲什麼我這麼說呢?
[00:03:20.600 --> 00:03:22.160]  因爲我發覺今天很多基督徒
[00:03:22.160 --> 00:03:23.540]  我們相信耶穌是神的兒子
[00:03:23.540 --> 00:03:25.700]  我們相信耶穌爲我們在死
[00:03:25.700 --> 00:03:29.080]  爲我們頂在十字架上
[00:03:29.080 --> 00:03:31.460]  我們甚至相信耶穌已經從死裏復活
[00:03:31.460 --> 00:03:33.260]  所以你纔會在這裏
[00:03:33.260 --> 00:03:34.120]  是不是?
[00:03:34.120 --> 00:03:37.820]  不然你來敬拜幹什麼?
[00:03:37.820 --> 00:03:40.420]  但問題是什麼呢?
[00:03:40.420 --> 00:03:44.100]  問題正如鄧小平和香港人的承諾一樣
[00:03:44.100 --> 00:03:46.720]  你們可以馬照跑,舞照跳
[00:03:46.720 --> 00:03:50.360]  五十年不變
[00:03:50.360 --> 00:03:52.640]  這就是我們今天很多基督徒的情況
[00:03:52.640 --> 00:03:54.820]  我們的生命沒有明顯的改變
[00:03:54.820 --> 00:03:56.320]  相信耶穌缺少了一針
[00:03:56.320 --> 00:03:58.060]  但沒有明顯的改變
[00:03:58.060 --> 00:04:01.160]  我們缺乏了基督信仰
[00:04:01.160 --> 00:04:07.260]  所應許帶給我們一種生命的力量
[00:04:07.260 --> 00:04:09.940]  這兩個門徒
[00:04:09.940 --> 00:04:11.140]  有沒有聽到耶穌復活呢?
[00:04:11.140 --> 00:04:12.580]  其實有的
[00:04:12.580 --> 00:04:15.300]  我們雖然聽到耶穌復活的消息
[00:04:15.300 --> 00:04:18.140]  但是他們沒有留在耶路撒冷
[00:04:18.140 --> 00:04:22.140]  他們選擇去二馬五師這條村
[00:04:22.140 --> 00:04:24.140]  他們是否來自二馬五師呢?
[00:04:24.140 --> 00:04:25.500]  是否那條村裏的人呢?
[00:04:25.500 --> 00:04:26.620]  聖經沒有清楚交代
[00:04:26.620 --> 00:04:28.540]  我不知道
[00:04:28.540 --> 00:04:30.140]  不過他們衡量
[00:04:30.140 --> 00:04:32.160]  去二馬五師還是留在耶路撒冷
