
[00:00:00.000 --> 00:00:07.000]  鄧英姐妹早晨,大家都精神奕奕迎接二月的來臨。
[00:00:07.000 --> 00:00:16.000]  有很多放完假,有很多開了學,還有很多還沒有開學。
[00:00:16.000 --> 00:00:23.000]  但是在今天這個二月的第一個主日裡面,
[00:00:23.000 --> 00:00:29.000]  我們就去思想這個嘉拿的一個很特別的經驗。
[00:00:29.000 --> 00:00:38.000]  我們福音派的教會經常提醒我們不要去追尋,
[00:00:38.000 --> 00:00:45.000]  去找一些經驗來了解我們的信仰和我們的神。
[00:00:45.000 --> 00:00:52.000]  但是有時候我們又太過扔開了一些經驗,
[00:00:52.000 --> 00:00:59.000]  如果信仰沒有自己經歷過的時候,
[00:00:59.000 --> 00:01:03.000]  是很難內在化入心。
[00:01:03.000 --> 00:01:07.000]  所以今天和大家一起去思想這件事,
[00:01:07.000 --> 00:01:13.000]  透過嘉拿的這個婚宴的水變酒的神蹟,
[00:01:13.000 --> 00:01:15.000]  一起來思想。
[00:01:15.000 --> 00:01:17.000]  我們請大家再次一起祈禱,
[00:01:17.000 --> 00:01:19.000]  多謝我們的主,我們的神,
[00:01:19.000 --> 00:01:25.000]  在聖經記載你的說話,你的行動,
[00:01:25.000 --> 00:01:30.000]  都是讓我們知道你是一位掌管宇宙,
[00:01:30.000 --> 00:01:33.000]  掌管人生命的神。
[00:01:33.000 --> 00:01:36.000]  在你的裡面沒有難成的事,
[00:01:36.000 --> 00:01:40.000]  在你的裡面任何事都有可能。
[00:01:40.000 --> 00:01:46.000]  我們有時候很短視,有時候看不到你的奇妙,
[00:01:46.000 --> 00:01:49.000]  今天我們求神你幫助我們,
[00:01:49.000 --> 00:01:53.000]  在這個水變酒的神蹟裡面,
[00:01:53.000 --> 00:01:57.000]  讓我們真的看見主你的奇妙,
[00:01:57.000 --> 00:02:00.000]  你的臨在,你的真實,
[00:02:00.000 --> 00:02:04.000]  你在人的生命裡面所做的奇事,
[00:02:04.000 --> 00:02:08.000]  你在這個世界裡面所做的奇妙的事。
[00:02:08.000 --> 00:02:11.000]  求聖靈開啟我們的心,
[00:02:11.000 --> 00:02:12.000]  教導我們,
[00:02:12.000 --> 00:02:14.000]  禱告奉耶穌的名,
[00:02:14.000 --> 00:02:18.000]  阿門。
[00:02:18.000 --> 00:02:21.000]  其實我們每個人都需要有一些東西,
[00:02:21.000 --> 00:02:23.000]  有時候提醒一下我們,
[00:02:23.000 --> 00:02:26.000]  究竟我們以前走過什麼路,
[00:02:26.000 --> 00:02:30.000]  接下來我們會面對什麼,
[00:02:30.000 --> 00:02:34.000]  其實我們周圍在自己的身上,
[00:02:34.000 --> 00:02:38.000]  都有很多這些可以提醒我們,
[00:02:38.000 --> 00:02:41.000]  但是重要的地方就是,
[00:02:41.000 --> 00:02:44.000]  我們看不看到這些東西,
[00:02:44.000 --> 00:02:46.000]  我經常說結婚戒指,
[00:02:46.000 --> 00:02:49.000]  為什麼要有結婚戒指呢?
[00:02:49.000 --> 00:02:52.000]  有些因為很漂亮所以要戴著,
[00:02:52.000 --> 00:02:57.000]  有些是因為提醒自己我已經結婚了,
[00:02:57.000 --> 00:02:59.000]  有時候是提醒其他人,
[00:02:59.000 --> 00:03:01.000]  這個人已經結婚了,
[00:03:01.000 --> 00:03:06.000]  有很多這些我們需要去提醒自己的,
[00:03:06.000 --> 00:03:09.000]  但是同時也是一種記號,
[00:03:09.000 --> 00:03:13.000]  這個記號是一生一世的記號,
[00:03:13.000 --> 00:03:16.000]  雖然有些人不明白這件事,
[00:03:16.000 --> 00:03:18.000]  他們未必同意這件事,
