
[00:00:00.000 --> 00:00:02.000]  第一個講道系列的第二堂
[00:00:02.000 --> 00:00:05.000]  這個講道系列與我們今年的主題有關
[00:00:05.000 --> 00:00:07.000]  我們是一個大家庭
[00:00:07.000 --> 00:00:09.000]  我們一起來敬拜
[00:00:09.000 --> 00:00:11.000]  一起來學習 一起成長
[00:00:11.000 --> 00:00:14.000]  今天就講到我們一同的成長
[00:00:14.000 --> 00:00:16.000]  今天我們會看一段聖經
[00:00:16.000 --> 00:00:18.000]  就是在提多書的第二章
[00:00:18.000 --> 00:00:21.000]  在這段聖經未講之前
[00:00:21.000 --> 00:00:24.000]  我們稍為介紹保羅書信
[00:00:24.000 --> 00:00:26.000]  通常你看保羅書信
[00:00:26.000 --> 00:00:30.000]  格式很工整
[00:00:30.000 --> 00:00:32.000]  通常只有兩部分
[00:00:32.000 --> 00:00:34.000]  先講神學的觀念
[00:00:34.000 --> 00:00:36.000]  即是神學的教義
[00:00:36.000 --> 00:00:41.000]  然後第二部分就講到神學教義之後的應用
[00:00:41.000 --> 00:00:44.000]  即是當你真的相信主耶穌基督
[00:00:44.000 --> 00:00:46.000]  相信他救恩十家之後
[00:00:46.000 --> 00:00:48.000]  有什麼實際的應用
[00:00:48.000 --> 00:00:51.000]  會對你生活產生什麼變化
[00:00:51.000 --> 00:00:53.000]  大概是這兩部分
[00:00:53.000 --> 00:00:56.000]  提多書有個特別的地方
[00:00:56.000 --> 00:00:58.000]  提多書的格式
[00:00:58.000 --> 00:01:01.000]  就是將教義和實際的生活
[00:01:01.000 --> 00:01:03.000]  串插在一起
[00:01:03.000 --> 00:01:05.000]  所以不是先講教義
[00:01:05.000 --> 00:01:07.000]  再講實際的生活
[00:01:07.000 --> 00:01:09.000]  他從一開始就先講了
[00:01:09.000 --> 00:01:13.000]  教會很實際的一些應用上的事
[00:01:13.000 --> 00:01:15.000]  然後講教義
[00:01:15.000 --> 00:01:17.000]  然後再講現實生活
[00:01:17.000 --> 00:01:18.000]  然後又講教義
[00:01:18.000 --> 00:01:19.000]  串插在一起
[00:01:19.000 --> 00:01:21.000]  所以他的格式比較特別
[00:01:21.000 --> 00:01:23.000]  因為他的格式比較特別
[00:01:23.000 --> 00:01:25.000]  所以今天我們也將他重新分開
[00:01:25.000 --> 00:01:27.000]  我們會看第二章一段的經文
[00:01:27.000 --> 00:01:30.000]  我會先分兩點和大家分享
[00:01:30.000 --> 00:01:32.000]  第一點就是我們先看
[00:01:32.000 --> 00:01:34.000]  我們教義的部分
[00:01:34.000 --> 00:01:36.000]  就是我們一同成長
[00:01:36.000 --> 00:01:40.000]  是透過一個很健全的教義
[00:01:40.000 --> 00:01:44.000]  一個符合聖經的教義而成長的
[00:01:44.000 --> 00:01:46.000]  第二個就是先透過我們生活
[00:01:46.000 --> 00:01:49.000]  一些實際生活的一些榜樣
[00:01:49.000 --> 00:01:52.000]  第一部分是透過健全的教義
[00:01:52.000 --> 00:01:53.000]  我們看一段聖經
[00:01:53.000 --> 00:01:55.000]  就是在提多書第二章的第一節
[00:01:55.000 --> 00:01:57.000]  第一節裏面
[00:01:57.000 --> 00:01:59.000]  保羅就叫提多
[00:01:59.000 --> 00:02:01.000]  因為提多正在牧養
[00:02:01.000 --> 00:02:04.000]  地中海一個小島的國家
[00:02:04.000 --> 00:02:05.000]  叫Crete
[00:02:05.000 --> 00:02:06.000]  牧養一間教會
[00:02:06.000 --> 00:02:07.000]  保羅就寫信給他
[00:02:07.000 --> 00:02:08.000]  告訴他
[00:02:08.000 --> 00:02:10.000]  教他應該怎樣牧養這間教會
[00:02:10.000 --> 00:02:12.000]  將教會帶去一個什麼方向
[00:02:12.000 --> 00:02:14.000]  他特別提多
[00:02:14.000 --> 00:02:19.000]  你的教導要符合純正的教義
[00:02:19.000 --> 00:02:23.000]  接下來中間第二到第十節
[00:02:23.000 --> 00:02:25.000]  就講了一些生活上的應用
[00:02:25.000 --> 00:02:27.000]  十一節到十五節
[00:02:27.000 --> 00:02:29.000]  他又回來講教義
[00:02:29.000 --> 00:02:30.000]  他解釋給你聽
[00:02:30.000 --> 00:02:33.000]  我叫你教導這個所謂純正的教義
[00:02:33.000 --> 00:02:36.000]  到底是指哪一樣教義
[00:02:36.000 --> 00:02:39.000]  我們看十一節到十五節
[00:02:39.000 --> 00:02:41.000]  這裏是保羅解釋這個
[00:02:41.000 --> 00:02:43.000]  所謂健全的教義
[00:02:43.000 --> 00:02:49.000]  因為上帝拯救世人的救恩已經顯明了
[00:02:49.000 --> 00:02:52.000]  這恩典教導我們
[00:02:52.000 --> 00:02:57.000]  除掉不敬錢的心和世俗的私慾
[00:02:57.000 --> 00:03:03.000]  在今世過自律公義敬畏上帝的生活
[00:03:03.000 --> 00:03:08.000]  懷著美好的盼望等候耶穌基督
[00:03:08.000 --> 00:03:12.000]  我們偉大的上帝和救主的榮耀彰顯
[00:03:12.000 --> 00:03:15.000]  主耶穌為我們犧牲自己
[00:03:15.000 --> 00:03:19.000]  要救贖我們脫離一切罪惡並潔淨我們
[00:03:19.000 --> 00:03:24.000]  使我們作他的子民成為熱心行善的人
[00:03:24.000 --> 00:03:26.000]  你要講明這些事
[00:03:26.000 --> 00:03:29.000]  運用各樣權柄
[00:03:29.000 --> 00:03:34.000]  規勸人然後責備人
[00:03:34.000 --> 00:03:37.000]  別讓別人輕看你
[00:03:37.000 --> 00:03:39.000]  可能因為提到年輕
[00:03:39.000 --> 00:03:42.000]  所以保羅特別提
[00:03:42.000 --> 00:03:44.000]  首先先講教義的部分
[00:03:44.000 --> 00:03:46.000]  為何教義讓我們成長呢
[00:03:46.000 --> 00:03:51.000]  上帝的教義是講述
[00:03:51.000 --> 00:03:54.000]  上帝拯救世人的恩典已經顯明了
[00:03:54.000 --> 00:03:58.000]  原文再加上「向所有人顯明」
