
[00:00:00.000 --> 00:00:03.000]  今天的題目叫「當親近神」
[00:00:03.000 --> 00:00:05.000]  有很多事情要解決
[00:00:05.000 --> 00:00:09.000]  因為無論信主的年齡有多大有多小
[00:00:09.000 --> 00:00:13.000]  我們都知道我們信主都很想去認識神
[00:00:13.000 --> 00:00:15.000]  很想去親近主
[00:00:15.000 --> 00:00:18.000]  但亦都有一些頂姐妹
[00:00:18.000 --> 00:00:22.000]  無論是在自己個人的成長歷程裏面
[00:00:22.000 --> 00:00:24.000]  或者是有些可能我們更加初信
[00:00:24.000 --> 00:00:27.000]  覺得都是好像有很多難度
[00:00:27.000 --> 00:00:30.000]  有些人聽見隔壁的分享
[00:00:30.000 --> 00:00:33.000]  又覺得神在跟他說話
[00:00:33.000 --> 00:00:36.000]  心裏面有些問號
[00:00:36.000 --> 00:00:39.000]  今天很想透過雅閣書去看一看這個題目
[00:00:39.000 --> 00:00:42.000]  在雅閣書第四章第八節
[00:00:42.000 --> 00:00:44.000]  有一個很重要的金句
[00:00:44.000 --> 00:00:46.000]  我們一起讀,1,2,3
[00:00:46.000 --> 00:00:50.000]  「你們親近神,神就必親近你們」
[00:00:50.000 --> 00:00:54.000]  這段經文對我們來說其實都很重要
[00:00:54.000 --> 00:01:00.000]  因為我們不是盲目地想去親近神
[00:01:00.000 --> 00:01:04.000]  或者我們不是想像去聽到神的聲音
[00:01:04.000 --> 00:01:06.000]  而是在聖經裏面說得很清楚
[00:01:06.000 --> 00:01:08.000]  我們是要去親近主
[00:01:08.000 --> 00:01:10.000]  而且上帝答應
[00:01:10.000 --> 00:01:12.000]  當我們親近祂的時候
[00:01:12.000 --> 00:01:15.000]  祂一定會親近我們
[00:01:15.000 --> 00:01:17.000]  所以當我們捉住上帝的應許
[00:01:17.000 --> 00:01:19.000]  我們去祈求,我們去學習
[00:01:19.000 --> 00:01:21.000]  我們去經歷的時候
[00:01:21.000 --> 00:01:24.000]  我們會相信我們是可以得到的
[00:01:24.000 --> 00:01:26.000]  因此面對著這個課題
[00:01:26.000 --> 00:01:28.000]  我們就要想想我們信主到現在
[00:01:28.000 --> 00:01:31.000]  我們曾經都應該是經歷到神的
[00:01:31.000 --> 00:01:33.000]  因為如果不是你不會缺志的
[00:01:33.000 --> 00:01:35.000]  或者你覺得感動
[00:01:35.000 --> 00:01:38.000]  或者你在你自己的祈禱的經歷裏面
[00:01:38.000 --> 00:01:42.000]  你一定是有一個親身的經驗
[00:01:42.000 --> 00:01:44.000]  以致你相信片段裏面
[00:01:44.000 --> 00:01:45.000]  那麼多人都說是神
[00:01:45.000 --> 00:01:47.000]  為什麼我會選耶穌基督是我的神呢?
[00:01:47.000 --> 00:01:50.000]  下午我們就有這個考問信得的
[00:01:50.000 --> 00:01:52.000]  所以弟兄姊妹一定要說得出為什麼
[00:01:52.000 --> 00:01:54.000]  但是很有趣的
[00:01:54.000 --> 00:01:55.000]  我們都是信主
[00:01:55.000 --> 00:01:57.000]  我們都試過跟上帝親密的關係
[00:01:57.000 --> 00:01:59.000]  又或者我們都相信上帝很愛我
[00:01:59.000 --> 00:02:02.000]  我祈求的時候祂答應過我
[00:02:02.000 --> 00:02:04.000]  但是過了一段時間的時候
[00:02:04.000 --> 00:02:07.000]  我們總會進入一個叫做迷失
[00:02:07.000 --> 00:02:09.000]  或者是黑暗的時期
[00:02:09.000 --> 00:02:11.000]  就是我們開始發現
[00:02:11.000 --> 00:02:14.000]  好像神不是很聽我的祈禱
[00:02:14.000 --> 00:02:16.000]  因此如果我們的信仰
[00:02:16.000 --> 00:02:20.000]  只是建基於聽不聽
[00:02:20.000 --> 00:02:22.000]  這個神靈不靈
[00:02:22.000 --> 00:02:24.000]  那麼我們進入這個黑洞裏面
[00:02:24.000 --> 00:02:26.000]  就會面臨很大的挑戰
[00:02:26.000 --> 00:02:27.000]  因為我們就會發現
[00:02:27.000 --> 00:02:29.000]  上帝你究竟在不在這裏
[00:02:29.000 --> 00:02:30.000]  或者我們整首歌就是
[00:02:30.000 --> 00:02:32.000]  上帝你究竟在哪裏
[00:02:32.000 --> 00:02:35.000]  我們開始懷疑我們自己的信仰
[00:02:35.000 --> 00:02:38.000]  懷疑我們曾經有的經驗
[00:02:38.000 --> 00:02:41.000]  所以二代信主是要更多陪伴
[00:02:41.000 --> 00:02:45.000]  以及更多仔細的聆聽祂的過程
[00:02:45.000 --> 00:02:48.000]  因為小朋友他們小時候所謂的經驗
[00:02:48.000 --> 00:02:50.000]  到他長大了
[00:02:50.000 --> 00:02:52.000]  他開始有理性的批判
[00:02:52.000 --> 00:02:54.000]  他又開始聽到很多人的說法的時候
[00:02:54.000 --> 00:02:58.000]  他們都會對於他們過往所謂的見證
[00:02:58.000 --> 00:03:00.000]  和經驗是有所懷疑的
[00:03:00.000 --> 00:03:03.000]  當然如果你像熊貓一樣幸福
[00:03:03.000 --> 00:03:06.000]  因為他的經驗不是自己感覺的
[00:03:06.000 --> 00:03:08.000]  你看他都不敢說
[00:03:08.000 --> 00:03:11.000]  但是有一個叫做愛症
[00:03:11.000 --> 00:03:15.000]  是一個醫生的證明的時候
[00:03:15.000 --> 00:03:17.000]  他就真的沒有辦法去推諉了
[00:03:17.000 --> 00:03:20.000]  我們為了他經驗我們感謝主好嗎
[00:03:20.000 --> 00:03:21.000]  領子妹
[00:03:21.000 --> 00:03:24.000]  當我們和上帝聽祈禱
[00:03:24.000 --> 00:03:26.000]  懷不懷疑親不親近的時候
[00:03:26.000 --> 00:03:28.000]  核心一個很重要的概念就是
[00:03:28.000 --> 00:03:30.000]  究竟我們有多相信
[00:03:30.000 --> 00:03:32.000]  我們和上帝之間的關係
[00:03:32.000 --> 00:03:33.000]  很多時候
[00:03:33.000 --> 00:03:36.000]  當今次的主題在講復興聖節
[00:03:36.000 --> 00:03:38.000]  我們都很專注在
[00:03:38.000 --> 00:03:41.000]  就是你明不明白我們的身份
[00:03:41.000 --> 00:03:44.000]  因為在創世紀裡面講得很清楚
[00:03:44.000 --> 00:03:46.000]  上帝創造了這個地球
[00:03:46.000 --> 00:03:48.000]  創造了萬物
[00:03:48.000 --> 00:03:51.000]  人類之所以與別不同
[00:03:51.000 --> 00:03:56.000]  是因為上帝將一口氣吹了在人類的當中
[00:03:56.000 --> 00:04:01.000]  於是人就成為了有靈氣的活人
[00:04:01.000 --> 00:04:02.000]  而簡單來說
[00:04:02.000 --> 00:04:05.000]  我們為什麼會用天父上帝的關係
[00:04:05.000 --> 00:04:09.000]  來形容我們和創天造地的神的關係
[00:04:09.000 --> 00:04:11.000]  都是因為主耶穌基督
[00:04:11.000 --> 00:04:12.000]  祂的降世
[00:04:12.000 --> 00:04:15.000]  祂彰顯告訴我們祂是上帝的兒子
[00:04:15.000 --> 00:04:16.000]  而每一個跟從祂的
[00:04:16.000 --> 00:04:20.000]  我們將會和耶穌可以稱兄道弟
[00:04:20.000 --> 00:04:21.000]  和你教教我
[00:04:21.000 --> 00:04:23.000]  你是耶穌的兄弟
[00:04:23.000 --> 00:04:24.000]  或者姊妹
[00:04:24.000 --> 00:04:25.000]  這個身份
[00:04:25.000 --> 00:04:27.000]  神兒女的身份是很寶貴的
[00:04:27.000 --> 00:04:29.000]  也是因為救贖主耶穌
[00:04:29.000 --> 00:04:31.000]  祂賞賜給我們的
[00:04:31.000 --> 00:04:33.000]  但是與此同時
[00:04:33.000 --> 00:04:36.000]  我們相信耶穌之後
[00:04:36.000 --> 00:04:39.000]  我們便開始回到教會
[00:04:39.000 --> 00:04:41.000]  或者聽別人的代討事項
[00:04:41.000 --> 00:04:42.000]  我們開始有一個概念
[00:04:42.000 --> 00:04:45.000]  就會覺得還有魔鬼的出現
[00:04:45.000 --> 00:04:47.000]  其實不信耶穌的人
[00:04:47.000 --> 00:04:48.000]  就算你沒有信仰的人
[00:04:48.000 --> 00:04:50.000]  你只要有看電視
[00:04:50.000 --> 00:04:51.000]  看小說的
[00:04:51.000 --> 00:04:52.000]  聽心機的都知道
[00:04:52.000 --> 00:04:54.000]  我們人類是共同都知道
[00:04:54.000 --> 00:04:56.000]  有一個叫靈界的地方
[00:04:56.000 --> 00:04:58.000]  無論你是中式的
[00:04:58.000 --> 00:04:59.000]  或者是西式的
[00:04:59.000 --> 00:05:01.000]  都是知道有一樣東西
[00:05:01.000 --> 00:05:02.000]  是外在的
[00:05:02.000 --> 00:05:03.000]  是看不到的
[00:05:03.000 --> 00:05:05.000]  但是它好像很恐怖的
[00:05:05.000 --> 00:05:07.000]  但是聖經怎樣去看
[00:05:07.000 --> 00:05:09.000]  這個所謂的靈界的力量呢
[00:05:09.000 --> 00:05:11.000]  我們知道在我們人類歷史裏面
[00:05:11.000 --> 00:05:12.000]  我們看到的
[00:05:12.000 --> 00:05:16.000]  就是亞當夏娃犯罪的時候
[00:05:16.000 --> 00:05:18.000]  那惡者來直著蛇
[00:05:18.000 --> 00:05:20.000]  來做了一樣事情
[00:05:20.000 --> 00:05:23.000]  就是令人和上帝的關係破裂
[00:05:23.000 --> 00:05:24.000]  簡單來說
[00:05:24.000 --> 00:05:26.000]  犯罪是違背了上帝的命令
[00:05:26.000 --> 00:05:29.000]  而魔鬼之所以成功的
[00:05:29.000 --> 00:05:30.000]  他是挑戰了
[00:05:30.000 --> 00:05:32.000]  或者是他挑動了
[00:05:32.000 --> 00:05:36.000]  人類對上帝的信任
[00:05:36.000 --> 00:05:39.000]  就是你不一定會死
[00:05:39.000 --> 00:05:41.000]  還有他會挑撥到
[00:05:41.000 --> 00:05:44.000]  為什麼上帝不給你吃個禁果呢
[00:05:44.000 --> 00:05:47.000]  因為怕你吃了之後
[00:05:47.000 --> 00:05:50.000]  就會分辨善惡似神
[00:05:50.000 --> 00:05:53.000]  所以這一些一兩句的說話
[00:05:53.000 --> 00:05:56.000]  是牽涉了很多狐狸精的技巧
[00:05:56.000 --> 00:05:57.000]  你明白嗎
[00:05:57.000 --> 00:06:00.000]  都是令我們懷疑我們和上帝的關係
