
[00:00:00.000 --> 00:00:04.360]  感謝主在我們當中給予我們很大的愛
[00:00:04.360 --> 00:00:08.200]  最近經常想想教會
[00:00:08.200 --> 00:00:10.200]  在這個時間
[00:00:10.200 --> 00:00:12.200]  其實我們應該怎樣呢
[00:00:12.200 --> 00:00:17.520]  想著想著有一天我收到一個訊息
[00:00:17.520 --> 00:00:21.080]  有人轉發給我
[00:00:21.080 --> 00:00:28.760]  是從一個教育機構的帶領的牧者傳出來的
[00:00:28.760 --> 00:00:31.120]  他說他發了一個夢
[00:00:31.120 --> 00:00:33.120]  有一晚他發了一個夢
[00:00:33.120 --> 00:00:36.840]  我相信是從神而來的啟示
[00:00:36.840 --> 00:00:41.360]  他說見到教會著了火
[00:00:41.360 --> 00:00:45.920]  但他很快就說這個火不是一個復興的火
[00:00:45.920 --> 00:00:48.560]  是一個焚毀的火
[00:00:48.560 --> 00:00:51.120]  即是說他見到教會著了火
[00:00:51.120 --> 00:00:53.120]  將所有的東西都燒了
[00:00:53.120 --> 00:00:58.000]  燒到好像全部都是灰燼的樣子
[00:00:58.000 --> 00:01:00.000]  他說這個夢裏面
[00:01:00.000 --> 00:01:02.000]  神向他揭示什麼呢
[00:01:02.000 --> 00:01:04.000]  就是說未來的日子
[00:01:04.000 --> 00:01:08.000]  香港的經濟會越來越差
[00:01:08.000 --> 00:01:13.480]  就會有很多人會過一個很窮困的日子
[00:01:13.480 --> 00:01:15.480]  很艱難
[00:01:15.480 --> 00:01:17.480]  他的領袖就是
[00:01:17.480 --> 00:01:19.480]  在夢裏面的領袖就是
[00:01:19.480 --> 00:01:21.480]  如果教會在這個時期
[00:01:21.480 --> 00:01:23.480]  不做他應該要做的事
[00:01:23.480 --> 00:01:27.040]  就是去接觸這些貧窮人
[00:01:27.040 --> 00:01:29.960]  去幫他們 叫他們有飯可以開
[00:01:29.960 --> 00:01:34.760]  教會將會進入一個一無所有的狀況
[00:01:34.760 --> 00:01:39.360]  就是那個被焚燒到全面變成灰燼的狀況
[00:01:39.360 --> 00:01:45.280]  然後他將這個信息跟他的同工分享的時候
[00:01:45.280 --> 00:01:47.920]  他的機構裏面有另一個同工
[00:01:47.920 --> 00:01:50.400]  是負責派飯的同工
[00:01:50.400 --> 00:01:52.400]  他說那晚
[00:01:52.400 --> 00:01:55.400]  正正是那位負責人的發夢那一晚
[00:01:55.400 --> 00:01:57.400]  他說他整晚都睡不著
[00:01:57.400 --> 00:01:59.400]  他在做什麼呢
[00:01:59.400 --> 00:02:01.400]  就是他在祈禱 在問主
[00:02:01.400 --> 00:02:03.400]  他們派飯的事工
[00:02:03.400 --> 00:02:05.400]  可以怎樣呢
[00:02:05.400 --> 00:02:07.400]  更進一步
[00:02:07.400 --> 00:02:09.400]  去為香港這個社會
[00:02:09.400 --> 00:02:11.400]  預備好做得更多呢
[00:02:11.400 --> 00:02:13.400]  即是有引證了
[00:02:13.400 --> 00:02:15.400]  所以他就呼籲
[00:02:15.400 --> 00:02:17.400]  向不同的堂會
[00:02:17.400 --> 00:02:19.400]  發出呼籲
[00:02:19.400 --> 00:02:23.400]  可不可以一起去參與派飯的工作
[00:02:23.400 --> 00:02:25.400]  我們都參加了
[00:02:25.400 --> 00:02:27.400]  那個分享會
[00:02:27.400 --> 00:02:29.400]  事實上我們都在做
[00:02:29.400 --> 00:02:31.400]  這件事令我想起
[00:02:31.400 --> 00:02:33.400]  八月份的時候
[00:02:33.400 --> 00:02:35.400]  我們尋求營
[00:02:35.400 --> 00:02:37.400]  我們在求問主
[00:02:37.400 --> 00:02:39.400]  究竟我們教會
[00:02:39.400 --> 00:02:41.400]  在未來的日子裏面
[00:02:41.400 --> 00:02:43.400]  慈光應該怎樣走
[00:02:43.400 --> 00:02:45.400]  有來的弟兄姊妹或同工
[00:02:45.400 --> 00:02:47.400]  不知道你記不記得
[00:02:47.400 --> 00:02:49.400]  我們領受過一幅圖畫
[00:02:49.400 --> 00:02:51.400]  就是兩間教會的圖畫
[00:02:51.400 --> 00:02:53.400]  我們好像沒有正式
[00:02:53.400 --> 00:02:55.400]  說過給大家聽
[00:02:55.400 --> 00:02:57.400]  內容是怎樣
[00:02:57.400 --> 00:02:59.400]  我想查一下資料
[00:02:59.400 --> 00:03:01.400]  我想讀一次我們記錄下的圖畫
[00:03:01.400 --> 00:03:03.400]  究竟是怎樣的
[00:03:03.400 --> 00:03:05.400]  我們負責記錄這些訊息的史官
[00:03:05.400 --> 00:03:07.400]  他們很厲害
[00:03:07.400 --> 00:03:09.400]  他們差不多一字不漏
