
[00:00:00.000 --> 00:00:01.520]  不知道大家有沒有發覺
[00:00:01.520 --> 00:00:03.280]  在你日常生活裡面
[00:00:03.280 --> 00:00:05.400]  你會做很多事情
[00:00:05.400 --> 00:00:07.640]  其中一件事情
[00:00:07.640 --> 00:00:09.320]  其實也要做的
[00:00:09.320 --> 00:00:11.200]  不過也挺煩厭的
[00:00:11.200 --> 00:00:12.920]  也花很多時間的
[00:00:12.920 --> 00:00:15.000]  大家想想是什麼呢?
[00:00:15.000 --> 00:00:17.960]  同一種性質的事情
[00:00:17.960 --> 00:00:19.600]  但是很多時候
[00:00:19.600 --> 00:00:20.560]  做完又做
[00:00:20.560 --> 00:00:21.560]  做完又做
[00:00:21.560 --> 00:00:23.320]  是什麼呢?
[00:00:23.320 --> 00:00:24.640]  就是收拾
[00:00:24.640 --> 00:00:26.200]  是不是?
[00:00:26.200 --> 00:00:26.960]  整理
[00:00:26.960 --> 00:00:27.640]  收拾
[00:00:27.640 --> 00:00:29.640]  小時候
[00:00:29.640 --> 00:00:31.080]  每天都要放學
[00:00:31.080 --> 00:00:32.600]  接著做完功課又怎麼樣呢?
[00:00:32.600 --> 00:00:34.200]  媽媽一定要提醒你
[00:00:34.200 --> 00:00:36.200]  收拾書包
[00:00:36.200 --> 00:00:38.240]  如果你不收拾書包就很笨了
[00:00:38.240 --> 00:00:40.160]  第二天又沒有帶功課
[00:00:40.160 --> 00:00:41.480]  又帶漏了書
[00:00:41.480 --> 00:00:43.240]  接著又要寫手冊等等
[00:00:43.240 --> 00:00:45.440]  到了長大了
[00:00:45.440 --> 00:00:47.080]  現在我們日常生活
[00:00:47.080 --> 00:00:48.480]  早上起床
[00:00:48.480 --> 00:00:49.720]  吃完早餐又怎麼樣呢?
[00:00:49.720 --> 00:00:51.280]  去收拾桌子
[00:00:51.280 --> 00:00:51.920]  收拾好它
[00:00:51.920 --> 00:00:53.040]  不然你留在那裡
[00:00:53.040 --> 00:00:55.360]  又有蟑螂、蟲蟻出來了
[00:00:55.360 --> 00:00:56.760]  收拾好它
[00:00:56.760 --> 00:00:58.840]  很多時候你也會發覺
[00:00:59.600 --> 00:01:01.200]  一天裡面花很多時間
[00:01:01.200 --> 00:01:02.720]  到了辦公室裡面
[00:01:02.720 --> 00:01:03.480]  你會發覺
[00:01:03.480 --> 00:01:05.040]  一開始這張桌子
[00:01:05.040 --> 00:01:06.120]  一天的生活
[00:01:06.120 --> 00:01:07.600]  不知道到了下班
[00:01:07.600 --> 00:01:10.200]  總是有很多東西堆在桌面上
[00:01:10.200 --> 00:01:11.720]  又要去收拾
