
[00:00:00.000 --> 00:00:03.660]  很感恩我們可以一起去敬拜神
[00:00:03.660 --> 00:00:09.200]  盼望我們去找一個安靜的地方
[00:00:09.200 --> 00:00:12.240]  來親近我們的主
[00:00:12.240 --> 00:00:15.280]  在今年四月二十六日
[00:00:15.280 --> 00:00:17.560]  原定是一個「呼音主日」
[00:00:17.560 --> 00:00:21.240]  因為疫情的緣故取消了
[00:00:21.240 --> 00:00:25.800]  其實我們教會不同的委員會
[00:00:25.800 --> 00:00:27.680]  他們訂出的計劃
[00:00:27.680 --> 00:00:34.120]  都有時一天都要因為疫情的緣故取消
[00:00:34.120 --> 00:00:38.280]  九月二十日上的主日
[00:00:38.280 --> 00:00:42.760]  我們今年裏面原定第二次的「呼音主日」
[00:00:42.760 --> 00:00:45.040]  在六、七月期間
[00:00:45.040 --> 00:00:50.800]  自己都在想會不會又要取消呢?
[00:00:50.800 --> 00:00:54.680]  但內心都很想不要取消
[00:00:54.680 --> 00:00:58.360]  因為在六月、七月都有些時間
[00:00:58.360 --> 00:01:01.040]  我們有實體的敬拜
[00:01:01.040 --> 00:01:05.800]  都很想藉這些機會去邀請弟兄姊妹
[00:01:05.800 --> 00:01:09.040]  去請親人或我們的服務對象
[00:01:09.040 --> 00:01:11.400]  能夠參與「呼音主日」
[00:01:11.400 --> 00:01:14.640]  可以得著神的話語
[00:01:14.640 --> 00:01:18.480]  結果我們都決定去舉行
[00:01:18.480 --> 00:01:23.680]  無論是實體或網上都有「呼音主日」
[00:01:23.680 --> 00:01:25.000]  很感恩
[00:01:25.000 --> 00:01:28.800]  上星期我們有一位弟兄缺志
[00:01:28.800 --> 00:01:32.520]  一位姊妹重新立志
[00:01:32.520 --> 00:01:37.920]  一位男士說對基督教的信仰感到興趣
[00:01:37.920 --> 00:01:41.640]  所以我們每天都去接觸、聯絡他們
[00:01:41.640 --> 00:01:43.640]  實在為他們恩起
[00:01:43.640 --> 00:01:47.880]  有聖靈在他們內心裏面的動工
[00:01:47.880 --> 00:01:50.560]  剛剛讀了這段經文
[00:01:50.560 --> 00:01:54.120]  我們看到耶穌走了之前說
[00:01:54.120 --> 00:01:59.120]  祂餵飽五天藍丁的神蹟之後
[00:01:59.120 --> 00:02:02.920]  就是打發門徒上船
[00:02:02.920 --> 00:02:06.200]  耶爾哲就說祂催門徒上船
[00:02:06.200 --> 00:02:08.640]  叫他們快點快點上船
[00:02:08.640 --> 00:02:11.640]  去渡過加利利海
[00:02:11.640 --> 00:02:16.800]  為什麼主耶穌要催促門徒上船呢?
[00:02:16.800 --> 00:02:20.840]  原因可能是恐怕神蹟過後
[00:02:20.840 --> 00:02:26.080]  吸引了很多人來跟隨這位主
[00:02:26.080 --> 00:02:32.840]  或者引致主的一些囚敵的關注、嫉妒
[00:02:32.840 --> 00:02:36.640]  其次因為主行了神蹟
[00:02:36.640 --> 00:02:41.040]  眾人其實很想擁戴祂為王
[00:02:41.040 --> 00:02:44.200]  其實門徒都是贊成
[00:02:44.200 --> 00:02:48.120]  在《約翰福音》的六章十四、十五節
[00:02:48.120 --> 00:02:48.920]  那裏這樣說
[00:02:48.920 --> 00:02:54.560]  「人們看見耶穌所行的神蹟
[00:02:54.560 --> 00:02:59.520]  就說:這真是乃要到世上來的先知
[00:02:59.520 --> 00:03:04.120]  耶穌知道他們要來強迫他作王
[00:03:04.120 --> 00:03:08.640]  就獨自又退到山上去了
[00:03:08.640 --> 00:03:12.240]  耶穌解散了眾人之後
[00:03:12.240 --> 00:03:15.160]  就獨自上山禱告」
[00:03:15.160 --> 00:03:17.360]  就是經文的二十三節
[00:03:17.360 --> 00:03:20.880]  耶穌一個人上山來禱告
[00:03:20.880 --> 00:03:26.000]  反映出耶穌很重視獨處
[00:03:26.000 --> 00:03:29.480]  對祂的侍奉是非常重要
[00:03:29.480 --> 00:03:30.760]  在夜四節說到
[00:03:30.760 --> 00:03:35.280]  「那時船已離岸好幾里」
[00:03:35.280 --> 00:03:38.920]  有些譯本說是「正在海中」
[00:03:38.920 --> 00:03:41.120]  已經不是靠岸了
[00:03:41.120 --> 00:03:44.840]  「因為風不順,避浪顛簸」
[00:03:44.840 --> 00:03:49.040]  「因為風不順」即是說船逆風而行
[00:03:49.040 --> 00:03:54.880]  所以船被波浪磨折、拋下拋下
[00:03:54.880 --> 00:03:58.360]  幾位漁夫都很驚險
[00:03:58.360 --> 00:04:02.760]  我們看經文的夜五至二十七節
[00:04:02.760 --> 00:04:08.040]  我們可以一齊讀這幾節聖經
[00:04:08.040 --> 00:04:12.400]  是說到耶穌在海上行走
[00:04:12.400 --> 00:04:14.680]  「天快亮的時候
[00:04:14.680 --> 00:04:17.440]  耶穌在海面上走
[00:04:17.440 --> 00:04:19.640]  我們徒那裡去
[00:04:19.640 --> 00:04:23.600]  但門徒看見祂在海面上走
[00:04:23.600 --> 00:04:26.280]  就驚慌了說
[00:04:26.280 --> 00:04:27.920]  是個鬼怪
[00:04:27.920 --> 00:04:30.920]  他們害怕得喊叫起來
[00:04:30.920 --> 00:04:33.400]  耶穌連忙對他們說
[00:04:33.400 --> 00:04:37.120]  放心,是我,不要怕」
[00:04:37.120 --> 00:04:39.760]  和合本說「夜裡四更天」
[00:04:39.760 --> 00:04:46.080]  即是說早上凌晨三點至六點之間
[00:04:46.080 --> 00:04:49.880]  和修版說「天快亮的時候」
[00:04:49.880 --> 00:04:52.280]  耶穌可能在山上祈禱完
[00:04:52.280 --> 00:04:53.920]  到這個時候
[00:04:53.920 --> 00:04:56.120]  想起要去找門徒
[00:04:56.120 --> 00:05:01.120]  亦顯示門徒已經在海上一段相當長的時間
[00:05:01.120 --> 00:05:05.200]  門徒看見耶穌走近他們的船
[00:05:05.200 --> 00:05:07.680]  他們的反應不是興奮
[00:05:07.680 --> 00:05:11.240]  而是恐懼、驚慌
[00:05:11.240 --> 00:05:14.280]  他們遇到大風浪
[00:05:14.280 --> 00:05:16.640]  遙路很艱難
[00:05:16.640 --> 00:05:22.200]  主的在一個驚濤巨浪當中來行著
[00:05:22.200 --> 00:05:25.120]  可能因為天還是黑
[00:05:25.120 --> 00:05:30.680]  門徒看不清楚原來是主迎著他們走過去
[00:05:30.680 --> 00:05:32.920]  以為是鬼怪
[00:05:32.920 --> 00:05:36.120]  我們看看一幅圖片
[00:05:36.120 --> 00:05:41.080]  為什麼門徒有這樣的反應?
[00:05:41.080 --> 00:05:43.280]  如果你在場
[00:05:43.280 --> 00:05:47.520]  你看見海上有人走近你的船
[00:05:47.520 --> 00:05:51.040]  你的反應會是怎樣呢?
[00:05:51.040 --> 00:05:55.400]  會不會好像門徒一樣這麼恐懼?
[00:05:55.400 --> 00:05:58.360]  以為是鬼怪?
[00:05:58.360 --> 00:06:03.880]  讓我想起多年前讀了神學,開始讀的時候
[00:06:03.880 --> 00:06:07.960]  是一早上,天還未亮
[00:06:07.960 --> 00:06:10.960]  我張開眼睛看見
[00:06:10.960 --> 00:06:15.800]  堂尾有我爸爸的影子
[00:06:15.800 --> 00:06:17.920]  其實他已經去世了
[00:06:17.920 --> 00:06:19.400]  所以當時有點害怕
[00:06:19.400 --> 00:06:23.400]  主耶穌內心裡沒有說出聲
[00:06:23.400 --> 00:06:26.920]  這個影子就走了
[00:06:26.920 --> 00:06:30.040]  可能撒旦要試探我
[00:06:30.040 --> 00:06:32.160]  嚇我
[00:06:32.160 --> 00:06:35.160]  當時也是開始讀神學
