
[00:00:00.000 --> 00:00:03.420]  願以我們一同擁抱神的話語來禱告
[00:00:03.420 --> 00:00:09.640]  天上帝,我們相信祢的話語是寶貴的
[00:00:09.640 --> 00:00:15.120]  當我們能夠將祢的話放在我們心中的時候
[00:00:15.120 --> 00:00:18.200]  我們求祢都叫我們能夠行事為人
[00:00:18.200 --> 00:00:20.280]  與我們所信的福音相稱
[00:00:20.280 --> 00:00:22.960]  好讓我們面對任何困境
[00:00:22.960 --> 00:00:24.620]  面對任何苦難
[00:00:24.620 --> 00:00:27.280]  面對任何不開心的情況之下
[00:00:27.280 --> 00:00:29.980]  都仍然活出基督的樣式
[00:00:30.000 --> 00:00:32.760]  好讓我們生命裡面能夠將榮耀歸給祢
[00:00:32.760 --> 00:00:34.760]  將以下的時間交上
[00:00:34.760 --> 00:00:36.760]  由我們藉著祢的詩篇與詩篇
[00:00:36.760 --> 00:00:40.300]  我們更加懂得如何用我們的生命獻上作為敬拜
[00:00:40.300 --> 00:00:41.420]  聽我們的禱告
[00:00:41.420 --> 00:00:43.720]  奉耶穌基督特性的名字祈求
[00:00:43.720 --> 00:00:45.720]  阿們
[00:00:45.720 --> 00:00:48.600]  我在中學的時候
[00:00:48.600 --> 00:00:53.540]  就去過日本參加一個跨文化的文化交流營
[00:00:53.540 --> 00:00:57.560]  都有不同的國家的學生去到
[00:00:57.560 --> 00:01:00.240]  去了解不同的文化
[00:01:00.240 --> 00:01:02.240]  不同的國家的人見見面
[00:01:02.240 --> 00:01:03.560]  都幾好玩的
[00:01:03.560 --> 00:01:06.920]  但是好玩的之餘
[00:01:06.920 --> 00:01:08.920]  都有一些驚喜的迎頭
[00:01:08.920 --> 00:01:13.120]  我要做一個介紹國家的地方
[00:01:13.120 --> 00:01:15.720]  presentation
[00:01:15.720 --> 00:01:17.320]  但是講完之後
[00:01:17.320 --> 00:01:19.320]  我想不到在另一個場合
[00:01:19.320 --> 00:01:21.320]  在一個我沒有預備的情況
[00:01:21.320 --> 00:01:23.320]  他們要我介紹兩件事
[00:01:24.200 --> 00:01:29.640]  在大家都可以每個代表都可以輕易做到
[00:01:29.640 --> 00:01:32.120]  不需要任何準備都做到的情況之下
[00:01:32.120 --> 00:01:34.120]  我面對一個很大的困難
[00:01:34.120 --> 00:01:36.600]  當時是1995年
[00:01:36.600 --> 00:01:38.600]  未回歸的情況之下
[00:01:38.600 --> 00:01:40.600]  我要介紹
[00:01:40.600 --> 00:01:42.600]  麻煩給我一個powerpoint
[00:01:42.600 --> 00:01:46.600]  我要介紹這件事
[00:01:46.600 --> 00:01:50.920]  現在在當中的年輕人不知道這是什麼
[00:01:50.920 --> 00:01:54.920]  這是香港當時的國旗
[00:01:54.920 --> 00:01:58.920]  還有要唱國歌
[00:01:58.920 --> 00:02:00.920]  知不知道有首香港的國歌
[00:02:00.920 --> 00:02:03.720]  叫做God Save the Queen
[00:02:03.720 --> 00:02:05.720]  唱我都不懂得唱
[00:02:05.720 --> 00:02:07.720]  人家要我介紹
[00:02:07.720 --> 00:02:09.720]  我望著這塊國旗
[00:02:09.720 --> 00:02:12.920]  米字 即是英國
[00:02:12.920 --> 00:02:14.920]  這裡就不知為何是藍色
[00:02:14.920 --> 00:02:16.920]  我都說不出
[00:02:18.920 --> 00:02:20.920]  當時我都幾尷尬
[00:02:20.920 --> 00:02:22.920]  但是我發現
[00:02:22.920 --> 00:02:26.920]  處於一個殖民地社會成長的我
[00:02:26.920 --> 00:02:28.920]  是對於我的國旗
[00:02:28.920 --> 00:02:30.920]  我的國歌
[00:02:30.920 --> 00:02:32.920]  是完全沒有共鳴的
[00:02:32.920 --> 00:02:34.920]  但是
[00:02:34.920 --> 00:02:36.920]  每一個國家裡面
[00:02:36.920 --> 00:02:38.920]  都是民族的標記
[00:02:38.920 --> 00:02:40.920]  每一個我都可以講得到
[00:02:40.920 --> 00:02:42.920]  我的國旗是什麼意思
[00:02:42.920 --> 00:02:44.920]  我的國歌是怎麼出來的
[00:02:44.920 --> 00:02:46.920]  每一個我都背得出來
[00:02:46.920 --> 00:02:48.920]  我聽都沒聽過
[00:02:48.920 --> 00:02:52.920]  我想問一下大家
[00:02:52.920 --> 00:02:56.920]  如果今天你看到這個國旗
[00:02:56.920 --> 00:03:00.920]  你有多覺得這是你的標記呢
[00:03:00.920 --> 00:03:02.920]  甚至這一支五星旗
[00:03:02.920 --> 00:03:06.920]  大家有什麼反應呢
[00:03:06.920 --> 00:03:10.920]  七一應該是慶祝回歸
[00:03:10.920 --> 00:03:12.920]  但是我們都見到
[00:03:12.920 --> 00:03:14.920]  不知道有多少萬人上街
[00:03:14.920 --> 00:03:16.920]  九萬多 五十一萬
[00:03:16.920 --> 00:03:18.920]  總之就是有很多人
[00:03:18.920 --> 00:03:20.920]  在一個慶祝回歸
[00:03:20.920 --> 00:03:26.920]  我們這個特區政府的日子裡面
[00:03:26.920 --> 00:03:30.920]  大家有很多不高興的訴求
[00:03:30.920 --> 00:03:34.920]  我都覺得挺有趣
[00:03:34.920 --> 00:03:36.920]  有趣的地方就是
[00:03:36.920 --> 00:03:38.920]  在遊行裡面有很多不同的人
[00:03:38.920 --> 00:03:40.920]  有不同的聲音
[00:03:40.920 --> 00:03:44.920]  有些是要求保護動物的
[00:03:44.920 --> 00:03:46.920]  有些是要求不知道怎麼補習的
[00:03:46.920 --> 00:03:48.920]  都在一起遊行
[00:03:48.920 --> 00:03:50.920]  但是就見到
