
[00:00:00.000 --> 00:00:02.500]  係,各位弟兄姊妹,大家好,好開心呀
[00:00:02.500 --> 00:00:05.000]  今日我講一題係「逆境有懷疑」
[00:00:05.000 --> 00:00:09.000]  嗯,弟兄姊妹呀,你而家係咪處於逆境當中呢?
[00:00:09.000 --> 00:00:13.500]  每個人呢,對逆境嘅詮釋都唔同嘅
[00:00:13.500 --> 00:00:16.500]  我所面對嘅難處呢,可能對於你嚟講呢
[00:00:16.500 --> 00:00:19.500]  可能係不值一提呀,即係唔當係一回事
[00:00:19.500 --> 00:00:22.500]  但係保羅呢,喺我哋今日所睇嘅經文裏面呀
[00:00:22.500 --> 00:00:26.000]  剛才呢,都係主席好努力為我哋讀出咗呢段經文
[00:00:26.000 --> 00:00:28.500]  所描述嘅逆境呢,真係唔容易喎
[00:00:28.500 --> 00:00:32.000]  佢失去咗自由啦,生命又受到威脅
[00:00:32.000 --> 00:00:34.500]  佢提出嘅意見呢,又冇人聽從
[00:00:34.500 --> 00:00:40.000]  喺呢個逆境當中,係咪應該無話可說呢?
[00:00:40.000 --> 00:00:44.000]  就讓我哋喺聖經嘅呢一段嘅歷史記載裏面
[00:00:44.000 --> 00:00:48.500]  睇下保羅喺逆境當中,點樣去為主發言呢?
[00:00:48.500 --> 00:00:51.000]  請我哋一齊呢,禱告先呀
[00:00:56.500 --> 00:00:58.500]  主耶穌求祢親自臨在
[00:00:58.500 --> 00:01:02.000]  對我哋每一位說話
[00:01:02.000 --> 00:01:05.500]  願祢嘅靈充滿呢個地方
[00:01:05.500 --> 00:01:09.500]  喺呢個時刻,亦都充滿我哋嘅心
[00:01:09.500 --> 00:01:12.500]  讓我哋被祢嘅話語激勵
[00:01:12.500 --> 00:01:15.500]  喺逆境中,有信心,有盼望
[00:01:15.500 --> 00:01:19.000]  並且能夠將盼望帶畀呢個世界
[00:01:19.000 --> 00:01:23.000]  奉主耶穌基督嘅聖名祈求,阿們
[00:01:24.500 --> 00:01:27.500]  咁首先同大家介紹一下呢啲背景嘅資料先
[00:01:27.500 --> 00:01:30.500]  保羅點解會坐咗呢一艘船㗎呢?
[00:01:30.500 --> 00:01:33.000]  咁喺使徒行轉裏面呢
[00:01:33.000 --> 00:01:35.000]  就講到保羅信主之後啦
[00:01:35.000 --> 00:01:38.000]  就從一個好熱心去迫迫信徒啦
[00:01:38.000 --> 00:01:40.000]  迫迫教會嘅一個法利賽人呢
[00:01:40.000 --> 00:01:43.000]  就悔改成為耶穌基督嘅門徒
[00:01:43.000 --> 00:01:47.000]  更加呢係一個向外邦人傳福音嘅使徒
[00:01:47.000 --> 00:01:51.000]  因而呢就受到猶太嘅宗教領袖迫害啦
[00:01:51.000 --> 00:01:54.000]  又因為呢佢係羅馬籍嘅公民
[00:01:54.500 --> 00:01:57.000]  所以呢佢又有個特權就可以喺羅馬總督面前呢
[00:01:57.000 --> 00:01:58.000]  為自己辯護
[00:01:58.000 --> 00:02:00.000]  但可惜呢佢嘅同胞
[00:02:00.000 --> 00:02:02.000]  就係嗰啲祭司長啦
[00:02:02.000 --> 00:02:05.000]  猶太人嘅首領呢就唔放過佢
[00:02:05.000 --> 00:02:07.000]  一定呢就要控告佢
[00:02:07.000 --> 00:02:09.000]  咁保羅冇辦法啦
[00:02:09.000 --> 00:02:13.000]  唯有呢就去向呢個凱撒上訴
[00:02:13.000 --> 00:02:15.000]  而使徒行轉27章呢
[00:02:15.000 --> 00:02:18.000]  就講到保羅要坐船去意大利嗰度
[00:02:18.000 --> 00:02:20.000]  就被百夫長押送
[00:02:20.000 --> 00:02:23.000]  咁呢係佢一個上訴嘅旅程嚟嘅
[00:02:23.500 --> 00:02:26.000]  咁亦即係呢聖經後葉嘅地圖所講嘅
[00:02:26.000 --> 00:02:28.000]  保羅嘅第四次嘅旅程
[00:02:28.000 --> 00:02:31.000]  咁喺少堂轉第25章啦
[00:02:31.000 --> 00:02:32.000]  13、14節嗰度呢
[00:02:32.000 --> 00:02:35.000]  起先係講到呢保羅呢就喺凱撒尼亞嗰度
[00:02:35.000 --> 00:02:38.000]  就被帶到阿基帕王面前呢就受審問嘅
[00:02:38.000 --> 00:02:40.000]  咁大家詳情呢自己返去睇啦
[00:02:40.000 --> 00:02:43.000]  因為呢佢要向羅馬凱撒上訴呢
[00:02:43.000 --> 00:02:46.000]  所以呢佢就搭上咗呢個去羅馬之路
[00:02:46.000 --> 00:02:48.000]  咁喺27章第一節呢
[00:02:48.000 --> 00:02:51.000]  保羅同埋其他囚犯呢就被交畀
[00:02:51.000 --> 00:02:53.000]  百夫長由留去監管
[00:02:53.500 --> 00:02:56.000]  同保羅同行呢係根據聖經記載呢
[00:02:56.000 --> 00:02:58.000]  至少呢係有兩個人啦
[00:02:58.000 --> 00:03:01.000]  一個呢就係帖撒羅尼加人阿里達古
[00:03:01.000 --> 00:03:04.000]  同埋呢使徒行轉嘅作者路加
[00:03:04.000 --> 00:03:06.000]  咁佢哋呢就一齊先從呢個
[00:03:06.000 --> 00:03:08.000]  凱撒尼亞嗰度呢就搭船啦
[00:03:08.000 --> 00:03:11.000]  咁就記得係由百夫長由留呢去押送嘅
[00:03:11.000 --> 00:03:13.000]  就至到呂家個梅拉
[00:03:13.000 --> 00:03:16.000]  我聽到呂家咁得意 即係唔係攬家啦
[00:03:16.000 --> 00:03:18.000]  咁呢就去到呂家嘅梅拉
[00:03:18.000 --> 00:03:19.000]  咁就轉咗船
[00:03:19.000 --> 00:03:22.000]  咁呢就喺呢第27章第五節
[00:03:22.500 --> 00:03:24.000]  所讀嘅經文開始嗰度
[00:03:24.000 --> 00:03:27.000]  就記載咗佢哋喺嗰度
[00:03:27.000 --> 00:03:29.000]  呂家嘅梅拉呢就轉咗船
[00:03:29.000 --> 00:03:32.000]  就預備去意大利嘅羅馬啦
[00:03:32.000 --> 00:03:34.000]  咁呢隻船係點樣嘅呢
[00:03:34.000 --> 00:03:39.000]  咁船上面呢有人亦都有貨物嘅
[00:03:39.000 --> 00:03:42.000]  咁其實當時呢海上面嘅交通啦
[00:03:42.000 --> 00:03:44.000]  主要呢係以運貨為主嘅
[00:03:44.000 --> 00:03:47.000]  咁呢載人呢只係其次啫
[00:03:47.000 --> 00:03:50.000]  即係人呢就順便有隻貨船去嗰個地方喎
[00:03:50.500 --> 00:03:53.000]  去意大利羅馬咁就順便搭埋去嘅啫
