
[00:00:00.000 --> 00:00:06.520]  今天跟大家講的主題就是
[00:00:06.520 --> 00:00:10.260]  創世紀兩個人物的基督預表
[00:00:10.260 --> 00:00:14.120]  我們已經從創世紀的人物當中
[00:00:14.120 --> 00:00:17.980]  思想過好幾個重要的人物、訊息等等
[00:00:17.980 --> 00:00:23.140]  包括了以洛、羅、阿伯拉罕等等重要的人物
[00:00:23.140 --> 00:00:26.040]  也包括了一些比較少留意的
[00:00:26.040 --> 00:00:32.000]  但是他有非常重要和提醒我們意義的這些人物
[00:00:32.000 --> 00:00:37.580]  包括了羅德、阿伯拉罕、魯卜人
[00:00:37.580 --> 00:00:40.700]  上一次跟大家去思想了兩堂訊息
[00:00:40.700 --> 00:00:46.020]  今天我們要從另一個角度看一看
[00:00:46.020 --> 00:00:50.820]  特別是這兩個人物有基督的預表性
[00:00:50.820 --> 00:00:52.020]  甚麼是預表性呢?
[00:00:52.020 --> 00:00:55.780]  就是說在這些人物記載的生平裏面
[00:00:55.780 --> 00:01:00.580]  有其中一部分是很強烈地預表耶穌基督
[00:01:00.580 --> 00:01:05.000]  我們知道創世紀是聖經第一本書
[00:01:05.000 --> 00:01:08.580]  在主前二千多年就寫好了
[00:01:08.580 --> 00:01:10.640]  所以隔了二千多三千年
[00:01:10.640 --> 00:01:12.040]  到了耶穌時代
[00:01:12.040 --> 00:01:14.040]  如果耶穌應驗的時候
[00:01:14.040 --> 00:01:19.620]  就是說這是很奇妙的一種神的安排
[00:01:19.620 --> 00:01:22.000]  是透過這些遠古的人物
[00:01:22.000 --> 00:01:25.360]  他能夠帶出一個寓言性、一個啟示
[00:01:25.360 --> 00:01:28.860]  在這麼早來的時候就留下了伏筆
[00:01:28.860 --> 00:01:32.040]  然後將基督的救贖的某一方面表達出來
[00:01:32.040 --> 00:01:36.480]  讓我們能夠體會到神的話語的一貫性
[00:01:36.480 --> 00:01:39.940]  以及神的啟示的奇妙
[00:01:39.940 --> 00:01:43.160]  這個預表的意思就是說他有象徵意義
[00:01:43.160 --> 00:01:45.800]  他在某一方面象徵的意義
[00:01:45.800 --> 00:01:49.760]  是能夠帶出基督的救贖的意義
[00:01:49.760 --> 00:01:54.020]  所以這個在英文叫做type and prototype
[00:01:54.020 --> 00:01:56.020]  因為prototype就是那個實體
[00:01:56.020 --> 00:01:57.820]  即是指基督本身
[00:01:57.820 --> 00:02:01.240]  然後在這些有預表性的人物當中
[00:02:01.240 --> 00:02:02.500]  他們是type
[00:02:02.500 --> 00:02:07.540]  他們就來顯出這個prototype
[00:02:07.540 --> 00:02:10.560]  這個實體的一種意義
[00:02:10.560 --> 00:02:13.060]  特別是在基督身上的救贖的意義
[00:02:13.060 --> 00:02:15.540]  所以今天我跟大家分享的訊息主要
[00:02:15.540 --> 00:02:18.640]  第一方面就是因為我們
[00:02:18.640 --> 00:02:20.960]  今天回來守聖餐
[00:02:20.960 --> 00:02:24.300]  聖餐主人我們已經停了好幾個月了
[00:02:24.300 --> 00:02:28.060]  從4月、5月、6月都沒有守過聖餐
[00:02:28.060 --> 00:02:31.280]  今天我們可以在場的弟兄姊妹實體守聖餐
[00:02:31.280 --> 00:02:34.360]  在家裡的弟兄姊妹可以預備好
[00:02:34.360 --> 00:02:36.520]  在家裡一起參與這個聖餐
[00:02:36.520 --> 00:02:39.060]  聖餐是為了紀念耶穌基督
[00:02:39.060 --> 00:02:42.020]  所以我們今天特別思想基督的救恩、救贖
[00:02:42.020 --> 00:02:44.680]  從這個預表角度來看
[00:02:44.680 --> 00:02:47.800]  第二方面其實跟我們今天這個疫情
[00:02:47.800 --> 00:02:49.520]  我們今天所面對的情況
[00:02:49.520 --> 00:02:51.600]  也都好深的提醒
[00:02:51.600 --> 00:02:52.100]  為什麼呢?
[00:02:52.100 --> 00:02:54.360]  因為我們知道原來神的
[00:02:54.360 --> 00:02:57.780]  在歷史當中祂是那個掌管者
[00:02:57.780 --> 00:03:00.280]  祂是那個仍然控制著
[00:03:00.280 --> 00:03:03.900]  人類歷史發生事情的演變的上帝
[00:03:03.900 --> 00:03:05.620]  在祂那裡有預知
[00:03:05.620 --> 00:03:07.700]  所以祂一早就知道
[00:03:07.700 --> 00:03:10.380]  歷史的進程是怎樣發生
[00:03:10.380 --> 00:03:13.380]  在祂那裡也都有這個預表
[00:03:13.380 --> 00:03:17.100]  就是說祂為人預備了一個救法
[00:03:17.100 --> 00:03:19.200]  早在事情未發生之前
[00:03:19.200 --> 00:03:20.700]  祂已經預備了
[00:03:20.700 --> 00:03:22.780]  而且祂預料了
[00:03:22.780 --> 00:03:25.180]  怎樣來幫助
[00:03:25.180 --> 00:03:27.460]  以及怎樣來掌管
[00:03:27.460 --> 00:03:33.300]  所以今天我們面對主後二千多年
[00:03:33.300 --> 00:03:36.220]  我們隔了這麼長的時代
[00:03:36.220 --> 00:03:39.380]  究竟耶穌基督今天對我們還有沒有影響呢?
[00:03:39.380 --> 00:03:40.660]  絕對有
[00:03:40.660 --> 00:03:42.420]  因為祂不是即時性的
[00:03:42.420 --> 00:03:43.900]  祂是有計劃性的
[00:03:43.900 --> 00:03:47.420]  祂是那位超過時間空間的上帝
[00:03:47.420 --> 00:03:50.580]  而且祂預備的救恩是超時代性的
[00:03:50.580 --> 00:03:53.100]  是早就有預備的
[00:03:53.100 --> 00:03:54.300]  在歷史的進程當中
[00:03:54.300 --> 00:03:55.740]  神是有掌管的
[00:03:55.740 --> 00:03:58.180]  以至祂能夠配合到事情的發生
[00:03:58.180 --> 00:04:01.500]  怎樣來成就祂的旨意和計劃
[00:04:01.500 --> 00:04:03.700]  而且最重要的就是這些一切
