
[00:00:00.000 --> 00:00:03.000]  今日我們基金生命見證崇拜蘭
[00:00:03.000 --> 00:00:05.500]  我們會繼續查考《萬可福音》
[00:00:05.500 --> 00:00:09.000]  從中我們不單單去看看耶穌基督的生平
[00:00:09.000 --> 00:00:11.500]  更加要思考在這段經文裏面
[00:00:11.500 --> 00:00:13.500]  上帝要我們學習的功課
[00:00:13.500 --> 00:00:17.000]  或者我們怎樣更加活得好這個人生
[00:00:17.000 --> 00:00:21.000]  今日我將這個講題定了做應驗
[00:00:21.000 --> 00:00:25.000]  不知道你看這兩個字心裏面有沒有感覺
[00:00:25.000 --> 00:00:27.000]  對於我來說 本身應驗
[00:00:27.000 --> 00:00:32.000]  其實是因為今天的段落會連續見到幾次的預言得到應驗
[00:00:32.000 --> 00:00:34.000]  但是當我真的定了這個題目
[00:00:34.000 --> 00:00:38.000]  在程序表裏面再看應驗這兩個字的時候
[00:00:38.000 --> 00:00:41.000]  感覺好像有點可怕
[00:00:41.000 --> 00:00:42.000]  不知道你們有沒有看過
[00:00:42.000 --> 00:00:46.000]  以前倪匡先生寫了一些科幻小說《維斯理》
[00:00:46.000 --> 00:00:47.000]  你們有看過嗎?
[00:00:47.000 --> 00:00:48.000]  都看過吧?
[00:00:48.000 --> 00:00:53.000]  字帶一種好像很陰森可怖的氣氛
[00:00:53.000 --> 00:00:55.000]  不知道下一刻又發生了什麼事
[00:00:55.000 --> 00:00:57.000]  我們今天看的這個段落
[00:00:57.000 --> 00:00:59.000]  其實都是一樣很陰沉
[00:00:59.000 --> 00:01:02.000]  我們會看到很多人性的黑暗面
[00:01:02.000 --> 00:01:05.000]  讓我稍稍回帶我們上回提擾一下
[00:01:05.000 --> 00:01:10.000]  上一次林牧師就和我們分享了最後晚餐的部分
[00:01:10.000 --> 00:01:14.000]  他預言 耶穌預言門徒和彼得都分別要跌倒
[00:01:14.000 --> 00:01:16.000]  分散 不認主
[00:01:16.000 --> 00:01:19.000]  及後耶穌帶著幾個門徒
[00:01:19.000 --> 00:01:21.000]  在赫西瑪利園去祈禱
[00:01:21.000 --> 00:01:23.000]  哪裡是赫西瑪利園?
[00:01:23.000 --> 00:01:25.000]  有什麼特別?
[00:01:25.000 --> 00:01:29.000]  這個正正就是耶穌被人捉拿的地方
[00:01:29.000 --> 00:01:31.000]  而此刻祂已經在那裡
[00:01:31.000 --> 00:01:33.000]  下一步就在今天的段落
[00:01:33.000 --> 00:01:35.000]  我們會看到耶穌被捉
[00:01:35.000 --> 00:01:36.000]  被審
[00:01:36.000 --> 00:01:37.000]  被羞辱
[00:01:37.000 --> 00:01:39.000]  祂縱半親離
[00:01:39.000 --> 00:01:41.000]  甚至連祂的大門徒
[00:01:41.000 --> 00:01:43.000]  大弟子 彼得
[00:01:43.000 --> 00:01:45.000]  他都要三次不認主
[00:01:45.000 --> 00:01:47.000]  正如《路加福音》這樣記載
[00:01:47.000 --> 00:01:48.000]  祂說道
[00:01:48.000 --> 00:01:54.000]  耶穌說 我天天與你們在電淚 你們不下手拿我
[00:01:54.000 --> 00:01:57.000]  現在卻是你們的時候
[00:01:57.000 --> 00:01:59.000]  黑暗掌權了
[00:01:59.000 --> 00:02:01.000]  黑暗掌權了
[00:02:01.000 --> 00:02:03.000]  讓我們一起低頭禱告
[00:02:03.000 --> 00:02:07.000]  親愛的主耶穌基督
[00:02:07.000 --> 00:02:09.000]  當我們今天要重開這個段落
[00:02:09.000 --> 00:02:11.000]  我們再望的時候
