
[00:00:00.000 --> 00:00:01.460]  各位大仙姊妹早晨
[00:00:01.460 --> 00:00:04.360]  感謝神我們有平安的腳步回到教會
[00:00:04.360 --> 00:00:07.560]  還有在網上崇拜的大仙姊妹
[00:00:07.560 --> 00:00:10.960]  希望網路繼續會流暢
[00:00:10.960 --> 00:00:15.640]  我兒子剛剛去考車牌
[00:00:15.640 --> 00:00:19.100]  考車牌是要考官來上車的
[00:00:19.100 --> 00:00:22.700]  所以我就去了整理車子
[00:00:22.700 --> 00:00:26.140]  很多時候尤其是明周的冬天
[00:00:26.140 --> 00:00:29.620]  鹽多到真的想清潔
[00:00:29.620 --> 00:00:32.220]  因為你塗到衣服又很難洗
[00:00:32.220 --> 00:00:36.720]  所以很多時候看到愛車的人都很想整理好車子
[00:00:36.720 --> 00:00:38.520]  但洗車不是這麼簡單
[00:00:38.520 --> 00:00:40.320]  有時候也要清潔裡面
[00:00:40.320 --> 00:00:44.460]  因為當你有個VIP很重要的人物上車的時候
[00:00:44.460 --> 00:00:47.120]  你裡面也要清潔乾乾淨淨
[00:00:47.120 --> 00:00:49.460]  無論是拍拖也好
[00:00:49.460 --> 00:00:51.580]  或者有個外父外母來
[00:00:51.580 --> 00:00:52.780]  或者很重要的人物
[00:00:52.780 --> 00:00:54.320]  就算是考官上車
[00:00:54.320 --> 00:00:55.920]  你想清潔乾乾淨淨
[00:00:55.920 --> 00:00:57.380]  如果你自己不清潔
[00:00:57.380 --> 00:00:58.980]  你就給人家錢
[00:00:58.980 --> 00:01:00.980]  很多時候有些
[00:01:00.980 --> 00:01:04.660]  季節的車票去車店洗車
[00:01:04.660 --> 00:01:05.960]  有些是貴一點的
[00:01:05.960 --> 00:01:06.960]  你想給貴一點的
[00:01:06.960 --> 00:01:07.960]  就清潔裡面
[00:01:07.960 --> 00:01:09.800]  可以替你清潔裡面
[00:01:09.800 --> 00:01:10.720]  但要付錢
[00:01:10.720 --> 00:01:13.440]  很多時候就是這樣的情況
[00:01:13.440 --> 00:01:16.720]  我們很想很乾淨
[00:01:16.720 --> 00:01:19.620]  如果有一種洗車屋
[00:01:19.620 --> 00:01:22.300]  可以洗一次就乾乾淨淨的
[00:01:22.300 --> 00:01:24.120]  哇 真是各種的方法
[00:01:24.120 --> 00:01:25.760]  一定會排隊的
[00:01:25.760 --> 00:01:28.120]  在舊約的時候
