
[00:00:00.000 --> 00:00:03.000]  地震前面的朋友們 早安
[00:00:03.000 --> 00:00:06.400]  今天我們步入2016年
[00:00:06.400 --> 00:00:10.500]  我相信今年一定會是很棒的一年
[00:00:10.500 --> 00:00:11.700]  為什麼?
[00:00:11.700 --> 00:00:14.900]  因為1月1號 荒漠甘泉說
[00:00:14.900 --> 00:00:17.500]  我要帶你們去得地違約那個地
[00:00:17.500 --> 00:00:21.600]  是雨水滋潤 是有山有谷的
[00:00:21.600 --> 00:00:25.400]  是要神要帶我們去 神要賜給我們的
[00:00:25.400 --> 00:00:26.900]  哈雷六亞
[00:00:26.900 --> 00:00:29.800]  更何況今年是我們的
[00:00:29.800 --> 00:00:33.300]  興起發光 做得勝者的意象的一年
[00:00:33.300 --> 00:00:37.800]  所以我們每個人都要興起發光 做得勝者
[00:00:37.800 --> 00:00:39.800]  這也是我每個月第一個主日
[00:00:39.800 --> 00:00:41.500]  我要分享的信息
[00:00:41.500 --> 00:00:43.900]  基本上就是從啟示錄
[00:00:43.900 --> 00:00:46.800]  那七間小雅西亞的教會
[00:00:46.800 --> 00:00:50.300]  每間最後完他都說得勝
[00:00:50.300 --> 00:00:53.600]  我們就要看怎麼樣成為一個得勝者
[00:00:53.600 --> 00:00:59.000]  當然了 興起發光 做得勝者
[00:00:59.000 --> 00:01:01.800]  那麼今天我要分享的是說
[00:01:01.800 --> 00:01:04.600]  興起要得地違約
[00:01:04.600 --> 00:01:07.800]  這一個新年新的意象
[00:01:07.800 --> 00:01:09.900]  德雷可不可以把那個
[00:01:09.900 --> 00:01:11.600]  今天我們念的經文
[00:01:11.600 --> 00:01:16.300]  生命紀第11章第8到25節
[00:01:16.300 --> 00:01:18.600]  好的 所以他說
[00:01:18.600 --> 00:01:22.900]  你們要守我今日所吩咐的一切誡命
[00:01:22.900 --> 00:01:25.500]  使你們膽壯能以進去
[00:01:25.500 --> 00:01:28.400]  得到你們所要得的那地
[00:01:28.400 --> 00:01:30.700]  哎呀 太棒了
[00:01:30.700 --> 00:01:31.700]  我跟各位說
[00:01:31.700 --> 00:01:34.500]  我們興起得地業
[00:01:34.500 --> 00:01:37.800]  興起的意思是說
[00:01:37.800 --> 00:01:39.800]  你不膽怯
[00:01:39.800 --> 00:01:41.300]  你是站起來
[00:01:41.300 --> 00:01:42.900]  你滿有信心
[00:01:42.900 --> 00:01:46.500]  滿懷希望你去得到那個地
[00:01:46.500 --> 00:01:50.400]  就好像假如你今天要買一個房地
[00:01:50.400 --> 00:01:52.500]  你要買一個房子
[00:01:52.500 --> 00:01:55.100]  你有足夠的錢
[00:01:55.100 --> 00:01:57.500]  你也很喜歡這個房子
[00:01:57.500 --> 00:02:00.700]  那麼你當然是站得直直的
[00:02:00.700 --> 00:02:02.300]  你就place the order
[00:02:02.300 --> 00:02:03.600]  就下了訂單
[00:02:03.600 --> 00:02:06.700]  你就一心的準備要得到那地
[00:02:06.700 --> 00:02:08.200]  不是嗎
[00:02:08.200 --> 00:02:11.400]  假如你今天錢也不夠
[00:02:11.400 --> 00:02:13.700]  也不知道人家會不會賣給你
[00:02:13.700 --> 00:02:16.900]  或者你自己也覺得這個房子
[00:02:16.900 --> 00:02:18.500]  這裡不好 那裡不好
[00:02:18.500 --> 00:02:25.100]  那你真的不知道到底要不要會不會得著那個房地
[00:02:25.100 --> 00:02:29.300]  但是 神說你們不要膽壯
