
[00:00:00.000 --> 00:00:05.740]  歡迎大家來到我們第八講,我們舊約的講座
[00:00:05.740 --> 00:00:10.740]  我們由創世記開始創出《利民生》
[00:00:10.740 --> 00:00:14.200]  講了五個月,接著我們就講《約書亞記》
[00:00:14.200 --> 00:00:18.200]  如果你上個月在這裡,你知道我們上個月就打孖賞
[00:00:18.200 --> 00:00:20.700]  就講了《史詩記》和《路德記》
[00:00:20.700 --> 00:00:23.940]  因為這兩本書其實是貓公仔來的
[00:00:23.940 --> 00:00:27.840]  今天我們去到第八講,就是講《薩姆爾記》
[00:00:27.840 --> 00:00:30.500]  《薩姆爾記》中的基督福音
[00:00:30.500 --> 00:00:35.400]  你看我們整個題目叫做《基督自保,進藏舊約》
[00:00:35.400 --> 00:00:38.100]  我們其中這個講座的特色就是
[00:00:38.100 --> 00:00:42.100]  當我們打開舊約的時候,我們不只是在看舊約
[00:00:42.100 --> 00:00:45.600]  接著就引用或者應用到我們的身上
[00:00:45.600 --> 00:00:49.300]  我們不是在看一些故事,當它是預言的故事
[00:00:49.300 --> 00:00:55.800]  而是我們在問究竟舊約這本書最終指向的是什麼
[00:00:55.800 --> 00:00:58.200]  剛才Edmond講到的時候也有提到
[00:00:58.200 --> 00:01:01.600]  他說舊約是影子、生若才是實體
[00:01:01.600 --> 00:01:07.400]  那麼這個影子所指向的又是什麼實體呢?
[00:01:07.400 --> 00:01:10.100]  如果你之前有在這裡和我們一起,你也知道
[00:01:10.100 --> 00:01:17.700]  我經常都拿樹根和樹幹這個比喻來比喻舊約和生若的
[00:01:17.700 --> 00:01:20.400]  舊約是一個影子,舊約是一個樹根
[00:01:20.400 --> 00:01:23.000]  舊約和生若是連為一體
[00:01:23.000 --> 00:01:26.900]  然而舊約的樹根和生若的樹枝是不一樣的
[00:01:26.900 --> 00:01:29.100]  今天我們會在生若的世界裡面
[00:01:29.100 --> 00:01:32.600]  我們不會再回到樹根那裡
[00:01:32.600 --> 00:01:38.900]  我們從樹根開始,我們看著這個樹根怎樣長成變成樹枝
[00:01:38.900 --> 00:01:41.800]  如果你今天打開撒姆爾記
[00:01:41.800 --> 00:01:44.600]  你問自己撒姆爾記是講些什麼呢?
[00:01:44.600 --> 00:01:48.300]  答案很簡單,就是Kings and Kingdoms
[00:01:48.300 --> 00:01:49.800]  Kings and Kingdoms
[00:01:49.800 --> 00:01:54.800]  當然你下一次再回來,你會發現都是講Kings and Kingdoms
[00:01:54.800 --> 00:01:58.500]  就是講這黃姬上下
[00:01:58.500 --> 00:02:01.500]  你今天做基督徒,沒有人會說
[00:02:01.500 --> 00:02:06.100]  我們希望有個夢想就是籌錢去開一個自己的國度
[00:02:06.100 --> 00:02:07.300]  沒有人的
[00:02:07.300 --> 00:02:10.000]  我們可能會說我們很努力的祈求
[00:02:10.000 --> 00:02:13.400]  我們會建立一間強壯的教會
[00:02:13.400 --> 00:02:16.800]  但我們不會說我們夾錢,我們祈禱
[00:02:16.800 --> 00:02:22.100]  我們希望有一天,我們的基督徒可以有個基督的王國
[00:02:22.100 --> 00:02:26.600]  除非你回歷史之前,在歐洲的Christendom
[00:02:26.600 --> 00:02:29.600]  但我們不會再回到那個世界裡面
[00:02:29.600 --> 00:02:33.100]  因為我們相信舊約的王國
[00:02:33.100 --> 00:02:35.800]  在生若裡面是成就在十字架上
[00:02:35.800 --> 00:02:39.600]  正如那隻羔羊,我們今天不會再去砍羔羊
[00:02:39.600 --> 00:02:41.900]  因為在十字架上成就了
[00:02:41.900 --> 00:02:46.500]  同一樣,當我們去看Kings and Kingdoms
[00:02:46.500 --> 00:02:48.800]  君王與國度的時候
[00:02:48.800 --> 00:02:54.500]  我們發現所有的真體已經在耶穌基督裡面實踐了
[00:02:54.500 --> 00:02:58.500]  我想提醒大家,我們其實是一個讀經的計劃
[00:02:58.500 --> 00:03:03.200]  我們不是為講座而講座,而是為讀經而講座
[00:03:03.200 --> 00:03:07.000]  讀經計劃其實在2018年開頭
[00:03:07.000 --> 00:03:09.800]  我先邀請大家和我一起看了新約
[00:03:09.800 --> 00:03:13.000]  看完新約,我們不如看舊約
[00:03:13.000 --> 00:03:15.500]  所以有兩年的讀經計劃
[00:03:15.500 --> 00:03:20.800]  不知道你記不記得當時有多少人和我們一起看新約
[00:03:20.800 --> 00:03:25.300]  新約開始的時候,我們大概有一百人去看
[00:03:25.300 --> 00:03:28.900]  我們說這一百人代表我們教會的十個百分比
[00:03:28.900 --> 00:03:33.200]  我們希望成為一個讀經的教會
[00:03:33.200 --> 00:03:36.700]  我們希望我們的教會通過讀經可以更新我們自己
[00:03:36.700 --> 00:03:41.300]  當時我給了幾個數字,要大家努力朝向這個數字
[00:03:41.300 --> 00:03:42.700]  第一,十二
[00:03:42.700 --> 00:03:45.100]  我們希望十二歲以下的小朋友
[00:03:45.100 --> 00:03:46.900]  如果在我們教會裡長大
[00:03:46.900 --> 00:03:50.100]  十二歲的時候起碼讀完一次新約聖經
[00:03:50.100 --> 00:03:51.100]  十八
[00:03:51.100 --> 00:03:54.200]  希望你到十八歲的時候,如果在我們教會裡長大
[00:03:54.200 --> 00:03:57.300]  起碼讀完一次新舊約聖經
[00:03:57.300 --> 00:04:00.300]  讀完新舊約聖經就先好去大學
[00:04:00.300 --> 00:04:01.500]  然後二十
[00:04:01.500 --> 00:04:06.400]  如果你在我們教會信主,然後成長,然後死
[00:04:06.400 --> 00:04:11.100]  你死之前,希望你可以看完二十次的聖經
[00:04:11.100 --> 00:04:15.900]  你說二十次?沒可能,你當我是什麼神學家、牧師?
[00:04:15.900 --> 00:04:19.300]  其實牧師也未必看二十次
[00:04:19.300 --> 00:04:20.900]  但是其實是做得到的
[00:04:20.900 --> 00:04:23.700]  因為如果你每天讀兩張聖經
[00:04:23.700 --> 00:04:25.700]  這是我對大家的鼓勵
[00:04:25.700 --> 00:04:28.500]  你一年半可以讀完一次聖經
[00:04:28.500 --> 00:04:31.400]  你三十年就可以讀完二十次
[00:04:31.400 --> 00:04:35.900]  假設你正正常常去世的話
[00:04:35.900 --> 00:04:39.800]  其實你絕對有可能讀完二十次以上的聖經
[00:04:39.800 --> 00:04:41.400]  是需要的
[00:04:41.400 --> 00:04:45.300]  我經常覺得你讀不夠二十次,不知道可不可以見到主
[00:04:45.300 --> 00:04:46.700]  我的意思是不是見不見到主
[00:04:46.700 --> 00:04:52.700]  就是說你能否預備到自己去見主面
[00:04:52.700 --> 00:04:57.300]  也讓我想起那時候奧古斯丁將死的時候
[00:04:57.300 --> 00:05:02.200]  他最後那幾天是困住自己在房間裡讀聖經的
[00:05:02.200 --> 00:05:03.800]  讀聖經祈禱,讀聖經祈禱
[00:05:03.800 --> 00:05:06.200]  好像他還沒讀夠一樣
[00:05:06.200 --> 00:05:11.100]  相反我們現在有時候想想我們現在香港教會那些老人侍宮
[00:05:11.100 --> 00:05:15.100]  長青侍宮就是跟你玩遊戲而已
[00:05:15.100 --> 00:05:17.100]  大家去搞個旅行,去玩玩
[00:05:17.100 --> 00:05:18.700]  說說健康講座
[00:05:18.700 --> 00:05:20.700]  其實我們很需要讀聖經
[00:05:20.700 --> 00:05:23.800]  如果你那邊近,就更加需要讀聖經
[00:05:23.800 --> 00:05:27.100]  要讀夠聖經才能見到主面
[00:05:27.100 --> 00:05:30.500]  當然所有的數字,最重要的數字是這個
[00:05:30.500 --> 00:05:33.000]  11.2 km/s
[00:05:33.000 --> 00:05:34.200]  那這是什麼來的呢
