
[00:00:00.000 --> 00:00:02.720]  撒姆爾傳的第三講
[00:00:02.720 --> 00:00:06.340]  撒姆爾上的第二章和第三章
[00:00:06.340 --> 00:00:10.080]  今天我給的題目很有趣 很有意義
[00:00:10.080 --> 00:00:20.320]  叫做《耶和華的言語異象稀少》
[00:00:20.320 --> 00:00:23.380]  這句經文是從何而來的呢
[00:00:23.380 --> 00:00:25.800]  在屬於撒姆爾上的三章一節
[00:00:25.800 --> 00:00:27.480]  我們剛才也讀過
[00:00:27.480 --> 00:00:32.020]  童子撒姆爾在以利面前施奉耶和華
[00:00:32.020 --> 00:00:33.720]  當那些日子
[00:00:33.720 --> 00:00:35.980]  耶和華的言語稀少
[00:00:35.980 --> 00:00:39.040]  不常有物事
[00:00:39.040 --> 00:00:42.240]  「不常有物事」是和合本的翻譯
[00:00:42.240 --> 00:00:46.240]  聖經新譯本是用「異象」這個字
[00:00:46.240 --> 00:00:47.560]  在聖經裡面
[00:00:47.560 --> 00:00:49.480]  每當神的話語
[00:00:49.480 --> 00:00:52.040]  神的物事稀少的時候
[00:00:52.040 --> 00:00:54.240]  其實就是神的審判
[00:00:54.240 --> 00:00:56.760]  在聖經裡面重複的出現
[00:00:56.760 --> 00:00:59.400]  例如《詩篇》的七十四篇九節
[00:00:59.400 --> 00:01:01.640]  《而西結書》的七章二十六
[00:01:01.640 --> 00:01:04.640]  《阿摩斯書》的八章十一至十二節
[00:01:04.640 --> 00:01:08.640]  和《尼加書》的三章六節都是這樣說
[00:01:08.640 --> 00:01:12.440]  我們知道撒姆爾記
[00:01:12.440 --> 00:01:15.720]  就是在《士司記》之後的時代
[00:01:15.720 --> 00:01:18.760]  撒姆爾傳所說的時候
[00:01:18.760 --> 00:01:21.480]  《士司記》是什麼時代呢
[00:01:21.480 --> 00:01:24.880]  是一個以色列宗末友王
[00:01:24.880 --> 00:01:28.280]  各人偏行幾路的時候
[00:01:28.280 --> 00:01:31.720]  《士司記》一共大概是三百多年
