
[00:00:00.000 --> 00:00:04.260]  我很感恩昨晚我在旺角警署太子站
[00:00:04.260 --> 00:00:07.760]  對面的酒樓開消防員報道會
[00:00:07.760 --> 00:00:10.760]  開了成一個很大的恩典
[00:00:10.760 --> 00:00:15.100]  因為我們訂了20枚酒
[00:00:15.100 --> 00:00:17.880]  在一個月前的決定
[00:00:17.880 --> 00:00:19.620]  退不退酒席 還是怎樣
[00:00:19.620 --> 00:00:20.620]  就是憑信心
[00:00:20.620 --> 00:00:25.240]  因為當時大家想到太子站的情況怎樣
[00:00:25.240 --> 00:00:27.180]  我們還在對面
[00:00:27.180 --> 00:00:29.440]  紙廠中心的酒樓
[00:00:29.440 --> 00:00:32.160]  舉辦報道會給消防隊
[00:00:32.160 --> 00:00:36.560]  也有200個消防員報了名
[00:00:36.560 --> 00:00:38.560]  昨天是成功的
[00:00:38.560 --> 00:00:40.800]  感謝神開了成
[00:00:40.800 --> 00:00:42.500]  但我第一個感覺就是
[00:00:42.500 --> 00:00:44.500]  很久沒有去太子站
[00:00:44.500 --> 00:00:47.500]  一出來就感覺到很懦弱
[00:00:47.500 --> 00:00:48.400]  很懦弱
[00:00:48.400 --> 00:00:50.200]  不知是否心理作用 很懦弱
[00:00:50.200 --> 00:00:52.380]  好像煲焦一樣 很懦弱
[00:00:52.380 --> 00:00:54.720]  我想起今天這個題目
[00:00:54.720 --> 00:00:58.320]  兩夫妻的關係
[00:00:58.320 --> 00:01:01.640]  有時也很懦弱
[00:01:01.640 --> 00:01:02.440]  三個可能
[00:01:02.440 --> 00:01:03.740]  一個可能是懦弱
[00:01:03.740 --> 00:01:05.040]  一個可能是聞不到
[00:01:05.040 --> 00:01:07.040]  即是沒有知覺
[00:01:07.040 --> 00:01:09.200]  一個可能是很清新
[00:01:09.200 --> 00:01:11.840]  當然清新的關係當然很好
[00:01:11.840 --> 00:01:13.840]  有說有笑 很有活力
[00:01:13.840 --> 00:01:16.880]  也不像結了婚那麼久
[00:01:16.880 --> 00:01:19.120]  歷久常新
[00:01:19.120 --> 00:01:20.520]  但有些真的很懦弱
[00:01:20.520 --> 00:01:23.920]  我有幸運在這三年裏
[00:01:23.920 --> 00:01:26.720]  我是婚姻啟導中心的主席
[00:01:26.720 --> 00:01:29.560]  婚姻及兒童基督中心是一個基督教
[00:01:29.560 --> 00:01:31.560]  是一班精神科醫生
[00:01:31.560 --> 00:01:32.760]  心學家一起搞的
[00:01:32.760 --> 00:01:34.760]  一個差不多半義務的團體
