
[00:00:00.000 --> 00:00:03.800]  再次向大家問候 各位聽眾平安
[00:00:03.800 --> 00:00:07.300]  要請大家再次低頭祈禱
[00:00:07.300 --> 00:00:10.800]  珍重我們感謝你
[00:00:10.800 --> 00:00:14.000]  聖經裏面說
[00:00:14.000 --> 00:00:19.300]  你的話語就好像蜂房的金蜜
[00:00:19.300 --> 00:00:21.500]  是蜜糖來的
[00:00:21.500 --> 00:00:24.300]  吃了之後我們覺得很甘味
[00:00:24.300 --> 00:00:28.300]  也能夠飽足我們的骨髓
[00:00:28.300 --> 00:00:30.300]  所以我們請上帝幫助我們
[00:00:30.300 --> 00:00:33.300]  從你的話語中得到
[00:00:33.300 --> 00:00:38.300]  屬靈生命的傳言
[00:00:38.300 --> 00:00:42.300]  我們更祈求聖靈在當中賜我們悟性
[00:00:42.300 --> 00:00:45.300]  以便我們能夠明白你話語中的奧秘
[00:00:45.300 --> 00:00:48.300]  願聽的和說的都同望你的月亮
[00:00:48.300 --> 00:00:53.300]  祈禱奉主耶穌基督的名禱 阿門
[00:00:53.300 --> 00:00:54.300]  不知道大家是否記得
[00:00:54.300 --> 00:00:57.300]  或者有沒有機會上網
[00:00:57.300 --> 00:00:59.300]  大約在天甲
[00:00:59.300 --> 00:01:00.300]  是否那裏叫天甲
[00:01:00.300 --> 00:01:02.300]  那個颱風呢
[00:01:02.300 --> 00:01:04.300]  來香港的時候
[00:01:04.300 --> 00:01:10.300]  在網上稱讚一個保安員
[00:01:10.300 --> 00:01:12.300]  不知道你們有沒有這個記憶
[00:01:12.300 --> 00:01:14.300]  說這個保安員很細心
[00:01:14.300 --> 00:01:20.300]  他負責將通告放在大廈的大堂
[00:01:20.300 --> 00:01:24.300]  會很細心地畫一些公仔
[00:01:24.300 --> 00:01:27.300]  網上的網民很喜歡
[00:01:27.300 --> 00:01:30.300]  然後有報紙去訪問他
[00:01:30.300 --> 00:01:32.300]  這個保安員說
[00:01:32.300 --> 00:01:34.300]  我只是做多一點點
[00:01:34.300 --> 00:01:36.300]  因為只有紙沒有人看
[00:01:36.300 --> 00:01:38.300]  所以加一些圖畫
[00:01:38.300 --> 00:01:42.300]  想吸引一些人來看通告
[00:01:42.300 --> 00:01:43.300]  他更加很奇怪
[00:01:43.300 --> 00:01:45.300]  為什麼人們這麼大驚小怪
[00:01:45.300 --> 00:01:48.300]  有什麼好傳 有什麼好讚呢
[00:01:48.300 --> 00:01:52.300]  我想很多人喜歡這個保安員的做法
[00:01:52.300 --> 00:01:56.300]  其實是因為看到他用心去關心其他人
[00:01:56.300 --> 00:01:58.300]  他們想別人好
[00:01:58.300 --> 00:02:01.300]  所以他想想別人怎樣
[00:02:01.300 --> 00:02:04.300]  他才會看這個通告
[00:02:04.300 --> 00:02:07.300]  看這個注意事項
[00:02:07.300 --> 00:02:10.300]  今日經文都是講用心
[00:02:10.300 --> 00:02:13.300]  都是講保安有關
[00:02:13.300 --> 00:02:15.300]  不如我們一起來讀這段經文
[00:02:15.300 --> 00:02:18.300]  以西紀書33章7至11節
[00:02:18.300 --> 00:02:20.300]  我們一起重讀
[00:02:20.300 --> 00:02:22.300]  1 2 3
[00:02:22.300 --> 00:02:27.300]  人子啊,我照樣納你作以色列家的守望者
[00:02:27.300 --> 00:02:30.300]  你要聽我口中的話
[00:02:30.300 --> 00:02:32.300]  替我警戒他們
[00:02:32.300 --> 00:02:34.300]  我對惡人說
[00:02:34.300 --> 00:02:36.300]  惡人啊,你必要死
[00:02:36.300 --> 00:02:39.300]  你若不開口警戒惡人
[00:02:39.300 --> 00:02:42.300]  使他離開所行的道
[00:02:42.300 --> 00:02:46.300]  這惡人必因自己的罪孽而死
[00:02:46.300 --> 00:02:50.300]  我卻要從你手裡討他的血債
[00:02:50.300 --> 00:02:54.300]  但是你,你若警戒惡人
[00:02:54.300 --> 00:02:57.300]  叫他離棄所行的道
[00:02:57.300 --> 00:02:59.300]  他仍不轉來
[00:02:59.300 --> 00:03:02.300]  他必因自己的罪孽而死
[00:03:02.300 --> 00:03:05.300]  你卻救了自己的命
[00:03:05.300 --> 00:03:08.300]  人子啊,你要對以色列家說
[00:03:08.300 --> 00:03:11.300]  你們曾這樣說
[00:03:11.300 --> 00:03:15.300]  我們的過犯罪惡在自己身上
[00:03:15.300 --> 00:03:18.300]  我們必因此消滅
[00:03:18.300 --> 00:03:20.300]  怎能存活呢?
[00:03:20.300 --> 00:03:22.300]  你要對他們說
[00:03:22.300 --> 00:03:24.300]  主耶和華說
[00:03:24.300 --> 00:03:27.300]  我指著我的永生起誓
[00:03:27.300 --> 00:03:30.300]  我斷不起越惡人死亡
[00:03:30.300 --> 00:03:35.300]  唯起越惡人轉離他所行的道而存活
