
[00:00:00.000 --> 00:00:02.400]  敬神主媒主內平安
[00:00:02.400 --> 00:00:06.100]  我們一起低頭禱告
[00:00:06.100 --> 00:00:07.200]  親愛的恩主
[00:00:07.200 --> 00:00:08.800]  讓我們坐在這裡
[00:00:08.800 --> 00:00:11.600]  我們不單只是聽主祢的話語
[00:00:11.600 --> 00:00:15.100]  也是將我們心安靜下來
[00:00:15.100 --> 00:00:18.900]  將我們生活當中面對的問題
[00:00:18.900 --> 00:00:21.700]  我們思想當中有著困惑
[00:00:21.700 --> 00:00:23.400]  都交託給主
[00:00:23.400 --> 00:00:25.100]  讓主的話語
[00:00:25.100 --> 00:00:26.900]  成為我們生命當中
[00:00:26.900 --> 00:00:29.200]  生活當中的指引
[00:00:29.200 --> 00:00:30.800]  奉主耶穌基督的名
[00:00:30.800 --> 00:00:32.200]  Amen
[00:00:32.200 --> 00:00:32.700]  好
[00:00:32.700 --> 00:00:36.800]  我們一起來思想今天的題目是
[00:00:36.800 --> 00:00:39.600]  我所念的我明白嗎
[00:00:39.600 --> 00:00:42.000]  這個經文其實是
[00:00:42.000 --> 00:00:45.000]  來自其他經文的一個聯想
[00:00:45.000 --> 00:00:45.900]  那所以呢
[00:00:45.900 --> 00:00:50.300]  這其實今天的經文是以塞亞書五十二章
[00:00:50.300 --> 00:00:53.000]  這段經文我們被稱為
[00:00:53.000 --> 00:00:55.600]  第四個博人的資格
[00:00:55.600 --> 00:01:00.900]  這個但前面的其實有
[00:01:00.900 --> 00:01:03.600]  前面其實還有三首
[00:01:03.600 --> 00:01:04.500]  但這三首呢
[00:01:04.500 --> 00:01:06.400]  應該好像是沒在
[00:01:06.400 --> 00:01:09.400]  沒在普通話崇拜裡面講過
[00:01:09.400 --> 00:01:11.400]  那其他三位牧師呢
[00:01:11.400 --> 00:01:14.100]  應該在大同崇拜裡面有說過
[00:01:14.100 --> 00:01:16.000]  那所以如果你想聽
[00:01:16.000 --> 00:01:18.900]  可能要到網頁裡面
[00:01:18.900 --> 00:01:22.000]  你知道在網頁裡面能下載一些
[00:01:22.000 --> 00:01:25.900]  在過去的講到的一些錄音
[00:01:25.900 --> 00:01:27.900]  那所以有請你去看
[00:01:27.900 --> 00:01:30.500]  但是但是因為第四個博人之歌嘛
[00:01:30.500 --> 00:01:33.500]  那所以和前面總有點關係
[00:01:33.500 --> 00:01:36.300]  但是所以我簡單介紹一下
[00:01:36.300 --> 00:01:40.600]  第一首其實是尼塞亞是外邦人之光
[00:01:40.600 --> 00:01:45.400]  第二首是藉著弗新以色列而釋放
[00:01:45.400 --> 00:01:46.600]  妄邦
[00:01:46.600 --> 00:01:50.600]  第三首是被拒絕的尼塞亞
[00:01:50.600 --> 00:01:52.900]  然後到第四首這裡
[00:01:52.900 --> 00:01:56.600]  其實是就是說受苦的尼塞亞
[00:01:56.600 --> 00:01:59.000]  那所以是三首尼塞亞
[00:01:59.000 --> 00:02:00.400]  四首尼塞亞之歌
[00:02:00.400 --> 00:02:02.200]  其實他有他的結構
[00:02:02.200 --> 00:02:08.400]  他有他的不斷慢慢的成熟漸進的介紹
[00:02:08.400 --> 00:02:12.800]  而這裡我們今天說的是這個經文
[00:02:12.800 --> 00:02:15.700]  我先將結構告訴大家
[00:02:15.700 --> 00:02:18.700]  因為我會分享的時候呢
[00:02:18.700 --> 00:02:21.400]  是按著這個結構來分享的
[00:02:21.400 --> 00:02:25.400]  但這個結構其實好像是五個結構是不是
[00:02:25.400 --> 00:02:27.100]  但他其實是
