
[00:00:00.000 --> 00:00:06.000]  能夠再站在這個港台跟大家一起分享神的說話
[00:00:06.000 --> 00:00:09.000]  我覺得是一個很大的福氣
[00:00:09.000 --> 00:00:13.000]  香港浸信教會是一間很蒙福的教會
[00:00:13.000 --> 00:00:16.000]  弟兄姊妹都很有心去追尋
[00:00:16.000 --> 00:00:18.000]  我今晚都是帶著這個心境
[00:00:18.000 --> 00:00:21.000]  跟大家一起來看神的說話
[00:00:21.000 --> 00:00:23.000]  所以我時常都跟人說
[00:00:23.000 --> 00:00:25.000]  我說你不是來聽我講道
[00:00:25.000 --> 00:00:27.000]  我講道不算什麼
[00:00:27.000 --> 00:00:29.000]  我們一起來聽神的說話
[00:00:29.000 --> 00:00:31.000]  今晚我們真的在神的說話裡面
[00:00:31.000 --> 00:00:33.000]  看看神有什麼跟我們講
[00:00:33.000 --> 00:00:35.000]  無論今晚你有什麼心情
[00:00:35.000 --> 00:00:37.000]  我知道每個人都有不同的心情
[00:00:37.000 --> 00:00:40.000]  大部份多數是趕得很辛苦的心情
[00:00:40.000 --> 00:00:42.000]  但這個都很表面的
[00:00:42.000 --> 00:00:44.000]  我們經常都很忙很趕
[00:00:44.000 --> 00:00:46.000]  但心底裡面更深的可能
[00:00:46.000 --> 00:00:48.000]  我們有很多的掙扎
[00:00:48.000 --> 00:00:51.000]  或者帶著一些我們要很擔憂
[00:00:51.000 --> 00:00:53.000]  要面對的遭遇
[00:00:53.000 --> 00:00:57.000]  又或者我們帶著一些很沉重的心情
[00:00:57.000 --> 00:00:59.000]  無論你今晚帶著什麼心情
[00:00:59.000 --> 00:01:02.000]  我希望今晚你都聽到神跟你講話
[00:01:02.000 --> 00:01:05.000]  今晚我跟大家一起來聽
[00:01:05.000 --> 00:01:07.000]  雖然我當然有準備
[00:01:07.000 --> 00:01:09.000]  好好地來去閱讀這段聖經
[00:01:09.000 --> 00:01:11.000]  但今晚的主角真的不是溫慧瑤
[00:01:11.000 --> 00:01:15.000]  我不是在講一些客氣的說話
[00:01:15.000 --> 00:01:17.000]  今晚我們的主角是神
[00:01:17.000 --> 00:01:19.000]  接著是神的說話
[00:01:19.000 --> 00:01:21.000]  看看神今晚跟你講什麼
[00:01:21.000 --> 00:01:23.000]  我帶著這個心情
[00:01:23.000 --> 00:01:25.000]  看看今晚神有哪一句說話
[00:01:25.000 --> 00:01:28.000]  雖然每一句說話你都可以對你有這麼重要
[00:01:28.000 --> 00:01:30.000]  或者這麼深的印象
[00:01:30.000 --> 00:01:33.000]  但我相信神總有一兩句說話跟你講
[00:01:33.000 --> 00:01:35.000]  如果那兩句說話
[00:01:35.000 --> 00:01:38.000]  能夠在你的心裡面成為你重新的一個
[00:01:38.000 --> 00:01:43.000]  方向、思想、力量、鼓勵、挑戰、提醒
[00:01:43.000 --> 00:01:44.000]  我不知道是什麼
[00:01:44.000 --> 00:01:45.000]  神才知道
[00:01:45.000 --> 00:01:47.000]  我相信神有說話跟你講
[00:01:47.000 --> 00:01:49.000]  這樣的話我相信今晚是最值得的
[00:01:49.000 --> 00:01:51.000]  或者你很辛苦
[00:01:51.000 --> 00:01:53.000]  或者你下班趕來
[00:01:53.000 --> 00:01:55.000]  甚至可能沒有吃晚飯
[00:01:55.000 --> 00:01:57.000]  我覺得如果有神的說話
[00:01:57.000 --> 00:01:59.000]  你帶回去
[00:01:59.000 --> 00:02:01.000]  成為你的生命裡面一個祝福的話
[00:02:01.000 --> 00:02:03.000]  怎樣都值得
[00:02:03.000 --> 00:02:05.000]  今晚和明晚
[00:02:05.000 --> 00:02:07.000]  希望我都可以帶著這樣的心情
[00:02:07.000 --> 00:02:08.000]  跟大家一起思想
[00:02:08.000 --> 00:02:10.000]  所以我們一起先祈禱
[00:02:10.000 --> 00:02:13.000]  再一次祈禱我們求主來幫我們
[00:02:13.000 --> 00:02:15.000]  我們主我們恭敬來到你面前
[00:02:15.000 --> 00:02:19.000]  就要聽你對我們今晚所講的說話
[00:02:19.000 --> 00:02:20.000]  我們偉大的主
[00:02:20.000 --> 00:02:23.000]  天上誰顧我們在這個堂
[00:02:23.000 --> 00:02:24.000]  或者不同的層樓
[00:02:24.000 --> 00:02:28.000]  裡面一起來等候你的人
[00:02:28.000 --> 00:02:30.000]  你認識我們每一個
[00:02:30.000 --> 00:02:32.000]  你知道我們每一個的名字
[00:02:32.000 --> 00:02:36.000]  甚至你知道我們心裡面究竟在想些什麼
[00:02:36.000 --> 00:02:38.000]  掙扎著些什麼
[00:02:38.000 --> 00:02:41.000]  擔憂著些什麼
[00:02:41.000 --> 00:02:42.000]  我們的主啊
[00:02:42.000 --> 00:02:47.000]  我們求你今晚對我們每一個人講說話
[00:02:47.000 --> 00:02:50.000]  我們不敢求你什麼恩賜給我
[00:02:50.000 --> 00:02:53.000]  但是求你用你的聖靈
[00:02:53.000 --> 00:02:55.000]  藉著你的說話
[00:02:55.000 --> 00:02:56.000]  雖然一句說話講出來
[00:02:56.000 --> 00:02:58.000]  但是進入到不同人的心裡面
[00:02:58.000 --> 00:03:01.000]  你對他們有不同的訊息
[00:03:01.000 --> 00:03:03.000]  主啊這個是我們所祈求
[00:03:03.000 --> 00:03:04.000]  所以我們帶著一個恭敬的心
[00:03:04.000 --> 00:03:07.000]  來邀請聖靈在我們當中
[00:03:07.000 --> 00:03:10.000]  帶我們進入真理
[00:03:10.000 --> 00:03:13.000]  恩代我們每一個弟兄姊妹
[00:03:13.000 --> 00:03:16.000]  求你憐憫我們對你渴慕的心
[00:03:16.000 --> 00:03:19.000]  以致今晚我們在屬靈上的飽足
