
[00:00:00.000 --> 00:00:04.120]  羅馬尼亞在歐洲的東部
[00:00:04.120 --> 00:00:09.360]  三十多年前是一個專制的政府統治
[00:00:09.360 --> 00:00:13.040]  在銀幕上看到這幅照片
[00:00:13.040 --> 00:00:18.800]  就是八零年代最繁忙的首都區域
[00:00:18.800 --> 00:00:20.920]  其實都好像很清閒
[00:00:20.920 --> 00:00:26.360]  政府是壓迫基督教會不准他們傳福音
[00:00:26.360 --> 00:00:30.720]  但是當時有一位牧師對信徒說
[00:00:30.720 --> 00:00:35.440]  我們要為我們的國家禱告
[00:00:35.440 --> 00:00:40.280]  求主打開福音的門
[00:00:40.280 --> 00:00:42.880]  叫我們可以去所有的大球場
[00:00:42.880 --> 00:00:45.200]  外面的廣場傳福音
[00:00:45.200 --> 00:00:49.280]  信徒說牧師你怎會這樣想到的
[00:00:49.280 --> 00:00:52.520]  因為現在政府說明這是犯法的
[00:00:52.520 --> 00:00:57.800]  我們只能在裡面講就不可以出去
[00:00:57.800 --> 00:01:01.000]  但是他聽牧師說他們禱告
[00:01:01.000 --> 00:01:04.400]  很奇妙的事就發生了
[00:01:04.400 --> 00:01:07.120]  在1989年12月
[00:01:07.120 --> 00:01:11.080]  羅馬尼亞經歷了一個革命
[00:01:11.080 --> 00:01:12.920]  政府被推翻
[00:01:12.920 --> 00:01:19.640]  這位獨裁者尼古拉齊奧塞斯庫
[00:01:19.640 --> 00:01:21.720]  這個做了幾十年總統的
[00:01:21.720 --> 00:01:25.080]  結果被他的人民處決了
[00:01:25.080 --> 00:01:30.400]  而整個羅馬尼亞變成一個自由的國家
[00:01:30.400 --> 00:01:34.520]  福音可以很自由的傳出
[00:01:34.520 --> 00:01:38.960]  一個牧師和一班匯眾的禱告
[00:01:38.960 --> 00:01:43.560]  就改變了羅馬尼亞的命運
[00:01:43.560 --> 00:01:45.480]  其實幾個月前
[00:01:45.480 --> 00:01:49.960]  江維明牧師的講道提到另一個國家烏干達
[00:01:49.960 --> 00:01:52.880]  那個改變更奇妙
[00:01:52.880 --> 00:01:55.840]  在三十多年前
