
[00:00:00.000 --> 00:00:02.000]  各位領袖平安
[00:00:02.000 --> 00:00:05.000]  邀請大家再次低潮祈禱
[00:00:05.000 --> 00:00:10.000]  親愛的恩主 我們獻上感恩
[00:00:10.000 --> 00:00:13.000]  我們感謝你來到這裡
[00:00:13.000 --> 00:00:15.000]  帶領我們在你的殿裡敬拜
[00:00:15.000 --> 00:00:18.000]  還有我們知道有部分的領袖們
[00:00:18.000 --> 00:00:20.000]  在網上的參與
[00:00:20.000 --> 00:00:22.000]  無論我們的地位在哪裡
[00:00:22.000 --> 00:00:24.000]  求天賦你的靈與我們同在
[00:00:24.000 --> 00:00:27.000]  賜我們有悟性能夠明白你還原祝賀禮
[00:00:27.000 --> 00:00:29.000]  也領受你給我們的力量
[00:00:29.000 --> 00:00:32.000]  以成為我們的力量在在世的生活
[00:00:32.000 --> 00:00:35.000]  能夠活出對你那份的信心
[00:00:35.000 --> 00:00:38.000]  有緣聽的和講的都同無你的月立
[00:00:38.000 --> 00:00:40.000]  祈禱奉主耶穌基督的名求
[00:00:40.000 --> 00:00:41.000]  阿們
[00:00:41.000 --> 00:00:46.000]  最近我留意到一個新聞
[00:00:46.000 --> 00:00:49.000]  最紅的就是一間上市公司
[00:00:49.000 --> 00:00:51.000]  名字叫輝達
[00:00:51.000 --> 00:00:54.000]  不過都在這裡告訴大家
[00:00:54.000 --> 00:00:55.000]  我不是鼓勵大家去買股票
[00:00:55.000 --> 00:00:57.000]  千萬不要聽完我說這句話
[00:00:57.000 --> 00:00:59.000]  大家不要去買這隻股票
[00:00:59.000 --> 00:01:01.000]  他吸引我的眼球
[00:01:01.000 --> 00:01:03.000]  因為有一位日本的股民
[00:01:03.000 --> 00:01:05.000]  他聲稱在九年之前
[00:01:05.000 --> 00:01:07.000]  已經用一百五十萬的日圓
[00:01:07.000 --> 00:01:09.000]  去買這隻股票
[00:01:09.000 --> 00:01:11.000]  現在獲利是七十九倍
[00:01:11.000 --> 00:01:16.000]  以1.17億的日圓賣出
[00:01:16.000 --> 00:01:19.000]  不過吸引我的眼球的地方是哪裡呢
[00:01:19.000 --> 00:01:21.000]  有一位仁兄
[00:01:21.000 --> 00:01:23.000]  他在回應這位日本股民
[00:01:23.000 --> 00:01:29.000]  就說 啊 九年都從未賣出過這隻股票嗎
[00:01:29.000 --> 00:01:33.000]  我雖然知道他的定力是多麼厲害
[00:01:33.000 --> 00:01:36.000]  對了 為什麼會有這樣的定力呢
[00:01:36.000 --> 00:01:38.000]  我猜因為我真的不知道
[00:01:38.000 --> 00:01:42.000]  不過猜想如果不是對這間公司的業務
[00:01:42.000 --> 00:01:44.000]  有透徹的了解
[00:01:44.000 --> 00:01:48.000]  以及對世界的運作的步伐有了解
[00:01:48.000 --> 00:01:50.000]  或者是如果只是看著
[00:01:50.000 --> 00:01:52.000]  金融市場的指數
[00:01:52.000 --> 00:01:54.000]  每天都升升跌跌
[00:01:54.000 --> 00:01:56.000]  作為入市的指標
[00:01:56.000 --> 00:02:00.000]  又或者只是去聽財經演員的分析
[00:02:00.000 --> 00:02:03.000]  以及他建議去入市或者出市
[00:02:03.000 --> 00:02:10.000]  一定不會有九年都不動這隻股票的定力
[00:02:10.000 --> 00:02:12.000]  這位日本股民
[00:02:12.000 --> 00:02:15.000]  他一定是有清晰的了解
[00:02:15.000 --> 00:02:18.000]  以致他在等待適當的時機
[00:02:18.000 --> 00:02:22.000]  去獲取最大的回報
[00:02:22.000 --> 00:02:26.000]  其實我發現和我們的信仰都很相似
[00:02:26.000 --> 00:02:29.000]  我問我自己 也問弟兄姊妹
[00:02:29.000 --> 00:02:35.000]  你用什麼準則去決定繼續信耶穌呢
[00:02:35.000 --> 00:02:37.000]  用什麼準則去決定自己
[00:02:37.000 --> 00:02:41.000]  繼續投入更多或者是更少的精力
[00:02:41.000 --> 00:02:45.000]  金錢時間在我們這個信仰
[00:02:45.000 --> 00:02:49.000]  而這個信仰是關係到我們人生的信仰
[00:02:49.000 --> 00:02:53.000]  保羅在寫這個羅馬書的時候
[00:02:53.000 --> 00:02:55.000]  特別在第四章下
[00:02:55.000 --> 00:03:00.000]  他的用意就是去為猶太人去解構
[00:03:00.000 --> 00:03:03.000]  雖然當時沒有後願袋
[00:03:03.000 --> 00:03:10.000]  解構就是來拆解當中的一個想法
[00:03:10.000 --> 00:03:12.000]  是什麼想法呢
[00:03:12.000 --> 00:03:18.000]  是因信清義而不是因核律法來清義
[00:03:18.000 --> 00:03:22.000]  清義的意思就是得到上帝的痛愛
[00:03:22.000 --> 00:03:25.000]  成為上帝的兒子這個身份
[00:03:25.000 --> 00:03:28.000]  猶太人一直是怎麼想的呢
[00:03:28.000 --> 00:03:31.000]  猶太人一直以他們的行為去瓜口
[00:03:31.000 --> 00:03:34.000]  他們透過行國禮進行律法
[00:03:34.000 --> 00:03:36.000]  他們覺得是因為這兩樣東西
[00:03:36.000 --> 00:03:40.000]  令他們得以成為一個特別的民族
[00:03:40.000 --> 00:03:42.000]  是上帝的選民
[00:03:42.000 --> 00:03:45.000]  他們是上帝兒女的身份
[00:03:45.000 --> 00:03:48.000]  並且他以這個身份去為榮
[00:03:48.000 --> 00:03:51.000]  不過保羅在這一章要說的是什麼呢
[00:03:51.000 --> 00:03:54.000]  他說人得以被稱為上帝的兒女
[00:03:54.000 --> 00:03:57.000]  是因為相信上帝
[00:03:57.000 --> 00:03:59.000]  而不是因為有好行為
[00:03:59.000 --> 00:04:02.000]  也不是因為做得夠德行善行
[00:04:02.000 --> 00:04:05.000]  不是 完全不是
[00:04:05.000 --> 00:04:09.000]  保羅用猶太人的典範人物阿巴拉罕
[00:04:09.000 --> 00:04:11.000]  作為一個例子
[00:04:11.000 --> 00:04:13.000]  在創世紀十五章第六節
[00:04:13.000 --> 00:04:16.000]  也是羅馬書的四章三節
[00:04:16.000 --> 00:04:17.000]  他這樣說
[00:04:17.000 --> 00:04:20.000]  阿巴拉罕信了上帝
[00:04:20.000 --> 00:04:23.000]  這就算他為義
[00:04:23.000 --> 00:04:26.000]  阿巴拉罕信什麼呢
[00:04:26.000 --> 00:04:29.000]  阿巴拉罕相信上帝答應過他的東西
[00:04:29.000 --> 00:04:31.000]  是一定會實現
[00:04:31.000 --> 00:04:33.000]  上帝答應他什麼呢
[00:04:33.000 --> 00:04:36.000]  答應他有好像天上的星星
