
[00:00:00.000 --> 00:00:04.200]  上星期Allen弟兄跟我們分享到
[00:00:04.200 --> 00:00:08.520]  當我們要為神的家作供的時候
[00:00:08.520 --> 00:00:11.840]  必定會有很多的問題、很多的困難出現
[00:00:11.840 --> 00:00:15.520]  對尼西米當時的情況
[00:00:15.520 --> 00:00:20.840]  撒旦就搞動周遭的外邦人來攻擊他們
[00:00:20.840 --> 00:00:24.160]  因為他們感到嫉妒、感到受威脅
[00:00:24.160 --> 00:00:31.040]  今天我們看另一類型撒旦對教會的工作
[00:00:31.040 --> 00:00:38.080]  如果我們對上星期教會或者整個子民面對的問題是外憂的時候
[00:00:38.080 --> 00:00:42.920]  這個星期我們所看的就是教會面對的內憂
[00:00:42.920 --> 00:00:53.280]  你會發覺很多時候內憂比外患的殺傷力、破壞力來得更加嚴重
[00:00:53.280 --> 00:00:54.400]  為什麼呢?
[00:00:54.400 --> 00:00:57.360]  因為當外患發生的時候
[00:00:57.360 --> 00:00:59.640]  很多時候我們有同一個敵人
[00:00:59.640 --> 00:01:04.440]  我們都會中國人所說的同仇敵嫉
[00:01:04.440 --> 00:01:06.120]  面對著同一個敵人的時候
[00:01:06.120 --> 00:01:09.080]  我們反而聯結起來可以更加有力量
[00:01:09.080 --> 00:01:11.480]  但是當內憂發生的時候
[00:01:11.480 --> 00:01:17.080]  內憂卻是一種在我們群組裡面的一種破壞力量
[00:01:17.080 --> 00:01:18.880]  由裡面而發出來
[00:01:18.880 --> 00:01:22.200]  本來我們應該是盟友
[00:01:22.200 --> 00:01:24.600]  本來我們應該是隊友
[00:01:24.600 --> 00:01:29.000]  他因為內憂的緣故成為敵人
[00:01:29.000 --> 00:01:34.560]  而對於當時正在建城牆的以色列人來說
[00:01:34.560 --> 00:01:36.680]  他們的內憂又是什麼呢?
[00:01:36.680 --> 00:01:38.840]  又或者是有什麼原因
[00:01:38.840 --> 00:01:44.720]  令到這群本來是一起工作的以色列人會有內憂的出現呢?
[00:01:44.720 --> 00:01:47.720]  我們進入今天的港島訊息的第一點
[00:01:47.720 --> 00:01:52.520]  貪戀錢財是萬惡之根
[00:01:52.520 --> 00:01:54.440]  當這一群的以色列人
[00:01:54.440 --> 00:01:58.120]  他們建城牆建到差不多的時候
[00:01:58.120 --> 00:02:04.200]  有一群的以色列人就去到尼熙米的面前投訴、埋怨
[00:02:04.200 --> 00:02:06.200]  那這群人投訴什麼呢?
[00:02:06.200 --> 00:02:10.400]  這群人不是投訴有一些外邦人去攻擊他們
[00:02:10.400 --> 00:02:17.200]  他們所投訴的是關於他們的同胞以色列人
[00:02:17.200 --> 00:02:20.120]  投訴的事情是什麼呢?
[00:02:20.120 --> 00:02:22.600]  在《經民》的第二到第四節
[00:02:22.600 --> 00:02:24.520]  聖經告訴我們
[00:02:24.520 --> 00:02:28.840]  當那些百姓忙於建造城牆的時候
[00:02:28.840 --> 00:02:36.720]  也許他們少了時間去管理他們的田地
[00:02:36.720 --> 00:02:41.320]  又或者是那時候的收成相當的差
[00:02:41.320 --> 00:02:42.600]  以致失收
[00:02:42.600 --> 00:02:45.360]  聖經告訴我們他們缺乏糧食
[00:02:45.360 --> 00:02:48.920]  在毫無選擇的情況下
[00:02:48.920 --> 00:02:52.920]  他們有一些的以色列人就要將他們的田地
[00:02:52.920 --> 00:02:55.320]  葡萄園房屋要點掉
[00:02:55.320 --> 00:02:56.960]  餵要得著糧食
[00:02:56.960 --> 00:03:01.880]  以致他們的兒女和妻兒可以得著存活
[00:03:01.880 --> 00:03:03.560]  不單止是這樣
[00:03:03.560 --> 00:03:05.560]  聖經的《經民》也都告訴我們
[00:03:05.560 --> 00:03:07.960]  在同一個困難的時候
[00:03:07.960 --> 00:03:10.840]  波斯國王要怎樣呢?
[00:03:10.840 --> 00:03:12.840]  仍然要抽重稅
[00:03:12.840 --> 00:03:15.840]  從來做國王都很少說理會
[00:03:15.840 --> 00:03:19.160]  因為田地失收而將稅減少
[00:03:19.160 --> 00:03:22.600]  收稅是不能夠討論的
[00:03:22.600 --> 00:03:28.000]  又要吃又要交稅
[00:03:28.000 --> 00:03:30.640]  如果你是當時的以色列人
[00:03:30.640 --> 00:03:31.960]  有什麼可以做呢?
[00:03:31.960 --> 00:03:34.400]  我們跳下去看
[00:03:34.400 --> 00:03:36.600]  第五節
[00:03:36.600 --> 00:03:38.400]  《經民》告訴我們
[00:03:38.400 --> 00:03:42.200]  當時有些人要賣掉他們的兒女
[00:03:42.200 --> 00:03:46.640]  然後才可以得著存活
[00:03:46.640 --> 00:03:49.640]  當他們無助地
[00:03:49.640 --> 00:03:51.640]  當他們眼白白
[00:03:51.640 --> 00:03:54.080]  看著原本是屬於他們的田地
[00:03:54.080 --> 00:03:56.080]  現在成為別人的田地
[00:03:56.080 --> 00:03:57.880]  原本是自己的兒女
[00:03:57.880 --> 00:04:00.880]  現在要成為別人的牧體
[00:04:00.880 --> 00:04:03.080]  我相信大家都不難想像
[00:04:03.080 --> 00:04:08.080]  或者不難感受他們那種傷痛
[00:04:08.080 --> 00:04:10.560]  如果你是尼西米
[00:04:10.560 --> 00:04:13.680]  當有人這樣來到你面前的時候
[00:04:13.680 --> 00:04:15.680]  這樣講述他們的困難
[00:04:15.680 --> 00:04:18.680]  你猜你的感覺會是怎樣?
[00:04:18.680 --> 00:04:20.680]  你猜你會做些什麼?
[00:04:20.680 --> 00:04:22.680]  我們再看下去
[00:04:22.680 --> 00:04:24.280]  《經民》告訴我們
[00:04:24.280 --> 00:04:27.080]  尼西米的反應就是他發怒
[00:04:27.080 --> 00:04:29.080]  甚為憤怒
[00:04:29.080 --> 00:04:31.080]  我們要問的問題是為什麼?
[00:04:31.080 --> 00:04:32.680]  大家想像一下
[00:04:32.680 --> 00:04:33.880]  如果你有朋友
[00:04:33.880 --> 00:04:35.480]  你有一些所認識的人
[00:04:35.480 --> 00:04:37.480]  走到你面前那裡
[00:04:37.480 --> 00:04:39.480]  講述他所遭遇的困難
[00:04:39.480 --> 00:04:43.080]  他講述到你面對的困難
[00:04:43.080 --> 00:04:45.080]  你通常會怎樣?
