
[00:00:00.000 --> 00:00:05.760]  如果大家有印象,我這幾次的講道
[00:00:05.760 --> 00:00:09.840]  是透過聖靈的果子來分享
[00:00:09.840 --> 00:00:13.160]  究竟一個以神爲中心的人
[00:00:13.160 --> 00:00:14.920]  從他的生命裏面
[00:00:14.920 --> 00:00:17.880]  一定會看到他生命裏面彰顯神的生命
[00:00:17.880 --> 00:00:19.920]  這一點非常重要
[00:00:19.920 --> 00:00:22.000]  我用一個例子來表達
[00:00:22.000 --> 00:00:27.480]  假設這裏前面有兩個人
[00:00:27.480 --> 00:00:31.400]  兩個人都是穿着消防員制服的人
[00:00:31.400 --> 00:00:32.600]  其中一個是假的
[00:00:32.600 --> 00:00:35.040]  你覺得應該怎樣去分辨
[00:00:35.040 --> 00:00:37.440]  誰是真誰是假
[00:00:37.440 --> 00:00:39.840]  看看是否夠火
[00:00:39.840 --> 00:00:45.640]  好像當這把風扇現在着火
[00:00:45.640 --> 00:00:49.360]  你覺得這把風扇着火
[00:00:49.360 --> 00:00:52.560]  如果這兩個消防員其中一個突然間
[00:00:52.560 --> 00:00:57.360]  出去拖後,這樣
[00:00:57.360 --> 00:00:59.840]  這個是不是真的消防員
[00:00:59.840 --> 00:01:01.720]  爲什麼
[00:01:01.720 --> 00:01:02.440]  太浮誇
[00:01:02.440 --> 00:01:05.120]  哦,那他低調地跪在這裏
[00:01:05.120 --> 00:01:08.800]  這樣都可以吧
[00:01:08.800 --> 00:01:13.280]  你覺得這個是不是真的消防員
[00:01:13.280 --> 00:01:17.520]  啊?
[00:01:17.520 --> 00:01:24.600]  耶,誰說這句話
[00:01:24.600 --> 00:01:26.600]  電器不應該用水救
[00:01:26.600 --> 00:01:32.040]  耶,給他一個掌聲
[00:01:32.040 --> 00:01:37.640]  電器用什麼救
[00:01:37.640 --> 00:01:40.280]  用泡泡粒,或者通常用乾粉
[00:01:40.280 --> 00:01:45.000]  就是用那些粉劑的
[00:01:45.000 --> 00:01:47.920]  或者通常,應該這麼說
[00:01:47.920 --> 00:01:50.440]  正確,如果怎樣救電器
[00:01:50.440 --> 00:01:54.560]  就應該首先關掉電掣
[00:01:54.560 --> 00:01:56.520]  然後第二樣是怎樣
[00:01:56.520 --> 00:01:59.120]  用那些粉狀的滅火筒
[00:01:59.120 --> 00:02:00.800]  或者如果你沒有滅火筒
[00:02:00.800 --> 00:02:05.240]  有時候好像蓋一些類似麻花袋那類
[00:02:05.240 --> 00:02:07.840]  蓋死它,然後就沒事
[00:02:07.840 --> 00:02:08.920]  如果子榮在的話
[00:02:08.920 --> 00:02:11.320]  叫子榮自己挨下去都可以
[00:02:11.320 --> 00:02:15.240]  滅火筒就會立刻熄滅
[00:02:15.240 --> 00:02:16.480]  開玩笑而已
[00:02:16.480 --> 00:02:19.040]  所以其實你會看到
[00:02:19.040 --> 00:02:21.480]  你真的會看到
[00:02:21.480 --> 00:02:23.200]  大家看到真偽
[00:02:23.200 --> 00:02:25.280]  就是說一個消防員
[00:02:25.280 --> 00:02:28.080]  所以如果他沒有一個正確的常識
[00:02:28.080 --> 00:02:30.200]  或者當他出現一些危機
[00:02:30.200 --> 00:02:31.840]  出現一些問題的時候
[00:02:31.840 --> 00:02:34.160]  你就會立刻分到究竟這個
[00:02:34.160 --> 00:02:35.600]  他懂不懂得去處理
[00:02:35.600 --> 00:02:37.320]  或者他當時的反應是怎麼樣
[00:02:37.320 --> 00:02:40.760]  你就會分到究竟這個是真的消防員
[00:02:40.760 --> 00:02:42.720]  還是一個假的消防員
[00:02:42.720 --> 00:02:47.320]  所以他穿不穿制服
[00:02:47.320 --> 00:02:48.760]  不重要
[00:02:48.760 --> 00:02:51.800]  最重要的就是當他有問題要出來處理的時候
[00:02:51.800 --> 00:02:54.360]  他究竟有沒有一個生命的展現
[00:02:54.360 --> 00:02:56.280]  就是專業的展現
[00:02:56.280 --> 00:02:58.040]  其實基督徒是一樣的
[00:02:58.040 --> 00:03:00.400]  就是說他的生命裏面
[00:03:00.400 --> 00:03:02.920]  有沒有這種不同的展現呢
[00:03:02.920 --> 00:03:03.760]  那我再問一下
[00:03:03.760 --> 00:03:12.000]  那怎麼維持一個基督徒或者以神爲生命中心的基督徒呢?
[00:03:12.000 --> 00:03:13.800]  你試一下和你旁邊的人聊一下
[00:03:13.800 --> 00:03:14.720]  怎麼維持呢?
[00:03:14.720 --> 00:03:16.720]  因爲我們這一輪已經講了
[00:03:16.720 --> 00:03:19.720]  今天是七月第四個星期了
[00:03:19.720 --> 00:03:22.720]  我們講以神爲中心的生命已經講了一輪了
[00:03:22.720 --> 00:03:26.280]  你覺得怎麼維持一個以神爲中心的生命呢?
[00:03:26.280 --> 00:03:28.640]  和你旁邊的人分享一下好不好?
[00:03:28.640 --> 00:03:31.240]  你覺得是怎麼樣的呢?
[00:03:31.240 --> 00:03:42.920]  怎麼維持以神爲中心的生命呢?
[00:03:42.920 --> 00:03:45.800]  就算可能你說是我今天第一次來而已
[00:03:45.800 --> 00:03:46.400]  我不懂得說
