
[00:00:00.000 --> 00:00:04.920]  我們這個題目就是《從聖經看疫症大流行》
[00:00:04.920 --> 00:00:08.720]  我們講這個題目
[00:00:08.720 --> 00:00:11.360]  我相信大家都很關注
[00:00:11.360 --> 00:00:13.880]  因為大家現在就面對著這個疫症
[00:00:13.880 --> 00:00:15.720]  澳洲都叫做好一點
[00:00:15.720 --> 00:00:18.000]  香港現在都叫做好一點
[00:00:18.000 --> 00:00:21.160]  但是其實美國就很嚴重
[00:00:21.160 --> 00:00:23.280]  意大利很嚴重
[00:00:23.280 --> 00:00:25.480]  講到這個問題
[00:00:25.480 --> 00:00:31.640]  我們用一些方法來看
[00:00:31.640 --> 00:00:35.480]  第一這個題目就是講《從聖經看疫症大流行》
[00:00:35.480 --> 00:00:38.640]  但是其實我們都要看一下
[00:00:38.640 --> 00:00:43.080]  這個東西在歷史上有些什麼影響
[00:00:43.080 --> 00:00:49.720]  我們看到在歷史歷代
[00:00:49.720 --> 00:00:55.800]  有很多的記載有疫症這件事
[00:00:55.800 --> 00:01:01.720]  最令我們深刻的有幾個
[00:01:01.720 --> 00:01:06.320]  其實你會看到這張圖是什麼來的呢?
[00:01:06.320 --> 00:01:08.320]  這張畫是很出名的
[00:01:08.320 --> 00:01:11.600]  差不多2000年前
[00:01:11.600 --> 00:01:14.320]  大概一千多二千年前
[00:01:14.320 --> 00:01:16.560]  因為羅馬帝國很長
[00:01:16.560 --> 00:01:18.320]  羅馬帝國不是很厲害的
[00:01:18.320 --> 00:01:21.440]  歐亞飛都被它統治
[00:01:21.440 --> 00:01:25.640]  但是在羅馬帝國後期
[00:01:25.640 --> 00:01:29.400]  尤其是六世紀
[00:01:29.400 --> 00:01:33.160]  有50多次瘟疫
[00:01:33.160 --> 00:01:35.480]  37次饑荒
[00:01:35.480 --> 00:01:38.520]  很厲害的
[00:01:38.520 --> 00:01:42.720]  基本上記載死了三分一人口
[00:01:42.720 --> 00:01:43.760]  就是羅馬帝國
[00:01:43.760 --> 00:01:45.760]  那時候大概七千多萬人口
[00:01:45.760 --> 00:01:48.400]  死了二千多萬人口,很厲害
[00:01:48.400 --> 00:01:53.920]  我們看到當時已經有很多瘟疫
[00:01:53.920 --> 00:01:56.800]  其實我想如果你看一看
[00:01:56.800 --> 00:02:00.640]  現在很方便互聯網或者你熟悉歷史的看一看
[00:02:00.640 --> 00:02:04.400]  很多所謂瘟疫或者病菌
[00:02:04.400 --> 00:02:07.680]  尤其是所謂現在講的疫症大流行
[00:02:07.680 --> 00:02:08.680]  是講什麼呢?
[00:02:08.680 --> 00:02:11.720]  是講Pandemic,就是全球性的
[00:02:11.720 --> 00:02:13.720]  很廣泛的、普遍的
[00:02:13.720 --> 00:02:21.960]  這個好像似乎在歷史上間中就會出現
[00:02:21.960 --> 00:02:25.520]  另外一些例子
[00:02:25.520 --> 00:02:28.640]  譬如你看到這裡有兩張圖
[00:02:28.640 --> 00:02:30.640]  一張圖是公仔
[00:02:30.640 --> 00:02:35.840]  是講大概是十九世紀
[00:02:35.840 --> 00:02:38.280]  18,忘記了多少年了
[00:02:38.280 --> 00:02:39.280]  大概那個時間
[00:02:39.280 --> 00:02:41.920]  倫敦霍亂
[00:02:41.920 --> 00:02:46.480]  很厲害的,就是人心惶惶
[00:02:46.480 --> 00:02:50.200]  再近一點就是第一次世界大戰尾
[00:02:50.200 --> 00:02:52.200]  1918年
[00:02:52.200 --> 00:02:56.200]  在這個所謂歐洲主要都是
[00:02:56.200 --> 00:02:58.200]  其實都不止的,在美國都是
[00:02:58.200 --> 00:03:01.720]  就是這個叫做西班牙流感
[00:03:01.720 --> 00:03:03.720]  如果你看回這些數字
[00:03:03.720 --> 00:03:05.720]  全球是死了五千萬人
[00:03:05.720 --> 00:03:07.720]  還有這個西班牙流感
[00:03:07.720 --> 00:03:09.720]  如果你看到那張圖
[00:03:09.720 --> 00:03:11.720]  你可能有些感觸
[00:03:11.720 --> 00:03:13.720]  大家見到我們最近
[00:03:13.720 --> 00:03:15.720]  新冠肺炎
[00:03:15.720 --> 00:03:17.720]  都有這樣的場景
[00:03:17.720 --> 00:03:19.720]  為什麼呢?
[00:03:19.720 --> 00:03:21.720]  一來要隔離
[00:03:21.720 --> 00:03:23.720]  臨時起在醫院
[00:03:23.720 --> 00:03:25.720]  要隔離一段距離
[00:03:25.720 --> 00:03:27.720]  另外就是
[00:03:27.720 --> 00:03:31.720]  他們那種流感
[00:03:31.720 --> 00:03:33.720]  厲害在哪裡呢?
[00:03:33.720 --> 00:03:35.720]  就是你可以早上染病
[00:03:35.720 --> 00:03:37.720]  晚上就會死
[00:03:37.720 --> 00:03:39.720]  所以很可怕
[00:03:39.720 --> 00:03:41.720]  那個屍體
[00:03:41.720 --> 00:03:43.720]  突然之間多了很多
[00:03:43.720 --> 00:03:45.720]  其實現在我們
[00:03:45.720 --> 00:03:47.720]  最近看到在其他國家
[00:03:47.720 --> 00:03:49.720]  都是這樣的情況
[00:03:49.720 --> 00:03:51.720]  譬如你看紐約
[00:03:51.720 --> 00:03:53.720]  我見到真的很傷心
[00:03:53.720 --> 00:03:55.720]  如果大家去過紐約
[00:03:55.720 --> 00:03:57.720]  你會發覺沒可能是這樣
[00:03:57.720 --> 00:03:59.720]  天天死這麼多人
[00:03:59.720 --> 00:04:01.720]  還不可以去
[00:04:01.720 --> 00:04:03.720]  好好安葬那些屍體
[00:04:03.720 --> 00:04:05.720]  弄個無人島
[00:04:05.720 --> 00:04:07.720]  所以這些事
[00:04:07.720 --> 00:04:09.720]  不是新事
[00:04:09.720 --> 00:04:11.720]  最近
[00:04:11.720 --> 00:04:13.720]  我們十幾年前
[00:04:13.720 --> 00:04:15.720]  香港SARS
[00:04:15.720 --> 00:04:17.720]  非典型肺炎
[00:04:17.720 --> 00:04:19.720]  或者冠狀病毒
[00:04:19.720 --> 00:04:21.720]  現在有個新的
[00:04:21.720 --> 00:04:23.720]  就是Coronavirus
[00:04:23.720 --> 00:04:27.720]  我們看到
[00:04:27.720 --> 00:04:29.720]  不用我再講
[00:04:29.720 --> 00:04:31.720]  那個全球影響性
[00:04:31.720 --> 00:04:33.720]  沒想過
[00:04:33.720 --> 00:04:35.720]  在這個時代會有這樣的事
[00:04:35.720 --> 00:04:37.720]  所以
[00:04:37.720 --> 00:04:39.720]  我想我們
[00:04:39.720 --> 00:04:41.720]  看疫症大流行
[00:04:41.720 --> 00:04:43.720]  首先有個切身的感受
[00:04:43.720 --> 00:04:45.720]  這個已經不是
[00:04:45.720 --> 00:04:47.720]  以前可能我們沒那麼大感受
[00:04:47.720 --> 00:04:49.720]  就算以前SARS
[00:04:49.720 --> 00:04:51.720]  我相信我們現在聽的人
[00:04:51.720 --> 00:04:53.720]  沒有人在第一次世界大戰
[00:04:53.720 --> 00:04:55.720]  那段時間
[00:04:55.720 --> 00:04:57.720]  很老了
[00:04:57.720 --> 00:04:59.720]  但是我們
[00:04:59.720 --> 00:05:01.720]  看SARS都是可能限制在
[00:05:01.720 --> 00:05:03.720]  香港為主
[00:05:03.720 --> 00:05:05.720]  或者中國
[00:05:05.720 --> 00:05:07.720]  也因為很好的控制
[00:05:07.720 --> 00:05:09.720]  所以沒有影響那麼大
[00:05:09.720 --> 00:05:11.720]  這次我們也不知道
[00:05:11.720 --> 00:05:13.720]  何時可以完
[00:05:13.720 --> 00:05:15.720]  真的沒想過影響那麼厲害
[00:05:15.720 --> 00:05:17.720]  所以我想
[00:05:17.720 --> 00:05:19.720]  現在我們很多時候
[00:05:19.720 --> 00:05:21.720]  看這些事
[00:05:21.720 --> 00:05:23.720]  我們會有更深的感受
[00:05:23.720 --> 00:05:25.720]  看的時候
[00:05:25.720 --> 00:05:27.720]  起碼有一個態度
[00:05:27.720 --> 00:05:29.720]  我們當然是討論這件事
[00:05:29.720 --> 00:05:31.720]  但是我們討論
[00:05:31.720 --> 00:05:33.720]  會有一種感受
[00:05:33.720 --> 00:05:35.720]  就是究竟
[00:05:35.720 --> 00:05:37.720]  我們怎樣做
[00:05:37.720 --> 00:05:39.720]  因為我們不知道
[00:05:39.720 --> 00:05:41.720]  何時會完
[00:05:41.720 --> 00:05:43.720]  而我們怎樣做之餘
[00:05:43.720 --> 00:05:45.720]  其實我覺得
[00:05:45.720 --> 00:05:47.720]  大家應該有一個想法
[00:05:47.720 --> 00:05:49.720]  就是我們要去
[00:05:49.720 --> 00:05:51.720]  明白這件事
[00:05:51.720 --> 00:05:53.720]  究竟為何會發生
