
[00:00:00.000 --> 00:00:02.920]  (主席)各位兄弟姊妹早晨
[00:00:02.920 --> 00:00:05.560]  願你們平安
[00:00:05.560 --> 00:00:07.560]  剛剛過了中秋節
[00:00:07.560 --> 00:00:14.760]  但仍然祝願大家生命圓滿
[00:00:14.760 --> 00:00:17.600]  窗戶 一個窗口
[00:00:17.600 --> 00:00:21.080]  對一間居所來說很重要
[00:00:21.080 --> 00:00:23.600]  沒有窗的房間
[00:00:23.600 --> 00:00:28.080]  你便看不到春夏秋冬的變化
[00:00:28.080 --> 00:00:31.640]  亦感受不到日與夜的交替
[00:00:31.640 --> 00:00:36.720]  亦較為難自由地呼吸新鮮的空氣
[00:00:36.720 --> 00:00:38.520]  我們都喜歡窗
[00:00:38.520 --> 00:00:40.720]  我們都需要窗
[00:00:40.720 --> 00:00:43.040]  四面都是圍牆的生活
[00:00:43.040 --> 00:00:45.280]  我們會局促不安
[00:00:45.280 --> 00:00:47.160]  我們會不開心
[00:00:47.160 --> 00:00:49.680]  會鬱悶
[00:00:49.680 --> 00:00:51.960]  窗是空的
[00:00:51.960 --> 00:00:57.480]  它的重要性正正在於它是空的
[00:00:57.480 --> 00:01:00.440]  填滿了便沒有窗
[00:01:00.440 --> 00:01:04.560]  窗 空漏漏 空無一物
[00:01:04.560 --> 00:01:07.640]  它讓我們接觸到這個世界
[00:01:07.640 --> 00:01:09.760]  體會到時間的流逝
[00:01:09.760 --> 00:01:13.320]  和呼吸到新鮮的空氣
[00:01:13.320 --> 00:01:20.960]  問題是在這個物質非常豐富的世界裏
[00:01:20.960 --> 00:01:22.680]  我們心靈的窗
[00:01:22.680 --> 00:01:26.480]  很多時候都被物質堵塞
[00:01:26.480 --> 00:01:29.920]  沒有了窗 四面都是圍牆
[00:01:29.920 --> 00:01:32.800]  我們就活得不開心
[00:01:32.800 --> 00:01:37.800]  主耶穌提示我們要打開那個心窗
[00:01:37.800 --> 00:01:39.680]  今日的講道經文是
[00:01:39.680 --> 00:01:43.680]  啟示錄第三章第十四節至第二十二節
[00:01:43.680 --> 00:01:45.200]  剛才主席已經讀過了
[00:01:45.200 --> 00:01:48.520]  我都不厭其煩再讀一次
[00:01:48.520 --> 00:01:51.240]  是主耶穌對我們的叮嚀
[00:01:51.240 --> 00:01:55.640]  啟示錄第三章第十四節至第二十二節
[00:01:55.640 --> 00:01:58.480]  你要寫信給老弟家教會的使者
[00:01:58.480 --> 00:02:02.080]  說:哪為阿門的
[00:02:02.080 --> 00:02:05.240]  為誠信真實見證的
[00:02:05.240 --> 00:02:09.120]  在神創造萬物之上為元首的
[00:02:09.120 --> 00:02:10.320]  他這樣說:
[00:02:10.320 --> 00:02:12.000]  我知道你的行為
[00:02:12.000 --> 00:02:13.920]  你也不冷也不熱
[00:02:13.920 --> 00:02:16.440]  我巴不得你或冷或熱
[00:02:16.440 --> 00:02:18.200]  你幾如溫水
[00:02:18.200 --> 00:02:20.000]  也不冷也不熱
[00:02:20.000 --> 00:02:23.680]  所以我必從我口中把你吐出去
[00:02:23.680 --> 00:02:25.960]  你說我是富足的
[00:02:25.960 --> 00:02:27.440]  我已經發財了
[00:02:27.440 --> 00:02:29.440]  一樣都不缺
[00:02:29.440 --> 00:02:32.880]  卻不知道你的真實局面是這樣的
[00:02:32.880 --> 00:02:35.120]  困苦可憐
[00:02:35.120 --> 00:02:39.000]  貧窮黑眼赤身的
[00:02:39.000 --> 00:02:41.640]  我勸你向我買火煉的金紙
[00:02:41.640 --> 00:02:43.040]  叫你富足
[00:02:43.040 --> 00:02:44.960]  又買白衣穿上
[00:02:44.960 --> 00:02:47.640]  叫你赤身的羞恥不露出來
[00:02:47.640 --> 00:02:50.320]  又買眼藥刷你的眼睛
[00:02:50.320 --> 00:02:52.480]  使你能夠看見
[00:02:52.480 --> 00:02:53.920]  凡我所疼愛的
[00:02:53.920 --> 00:02:56.080]  我就責備管教他
[00:02:56.080 --> 00:02:57.440]  所以你要發熱心
[00:02:57.440 --> 00:02:59.360]  也要悔改
[00:02:59.360 --> 00:03:00.240]  漢啊
[00:03:00.240 --> 00:03:02.320]  我站在門外叩門
[00:03:02.320 --> 00:03:04.800]  若有聽見我聲音就開門的
[00:03:04.800 --> 00:03:07.120]  我要進到他那裡去
[00:03:07.120 --> 00:03:09.920]  他與我一同坐直
[00:03:09.920 --> 00:03:11.080]  得聖的
[00:03:11.080 --> 00:03:15.000]  我要賜他在我寶座上與我同坐
[00:03:15.000 --> 00:03:16.440]  就如我得了聖
[00:03:16.440 --> 00:03:20.200]  在我父的寶座上與他同坐一般
[00:03:20.200 --> 00:03:23.120]  聖靈向宗教會所說的話
[00:03:23.120 --> 00:03:25.360]  亦都是向我們所說的話
[00:03:25.360 --> 00:03:26.640]  凡有耳的
[00:03:26.640 --> 00:03:30.800]  就應當聽
[00:03:30.800 --> 00:03:34.160]  這段經文一開始的時候
[00:03:34.160 --> 00:03:36.800]  是主耶穌基督的自稱
[00:03:36.800 --> 00:03:39.560]  在第三章第十四節那裡
[00:03:39.560 --> 00:03:40.360]  祂說
[00:03:40.360 --> 00:03:42.240]  那為亞門的
[00:03:42.240 --> 00:03:45.360]  為誠信真實見證的
[00:03:45.360 --> 00:03:49.680]  在神創造萬物之上為元首的
[00:03:49.680 --> 00:03:55.520]  用了三重的稱呼來描繪主耶穌
[00:03:55.520 --> 00:03:56.520]  「亞門」
[00:03:56.520 --> 00:03:58.640]  我們經常在祈禱之後
[00:03:58.640 --> 00:04:00.360]  就是說「亞門」
[00:04:00.360 --> 00:04:01.840]  「亞門」的意思就是
[00:04:01.840 --> 00:04:03.800]  確確實實的
[00:04:03.800 --> 00:04:05.800]  穩穩陣陣的
[00:04:05.800 --> 00:04:07.280]  靠得住的
[00:04:07.280 --> 00:04:08.720]  信得過的
[00:04:08.720 --> 00:04:10.560]  這就叫做「亞門」
[00:04:10.560 --> 00:04:13.520]  耶穌祂是「亞門」
[00:04:13.520 --> 00:04:20.800]  祂是誠信真實見證的
[00:04:20.800 --> 00:04:23.200]  誠實誠信
[00:04:23.200 --> 00:04:26.200]  即是主耶穌也是可靠的
[00:04:26.200 --> 00:04:28.120]  祂是講真話的
[00:04:28.120 --> 00:04:33.120]  祂是見證真理的見證人
[00:04:33.120 --> 00:04:35.560]  很簡單兩重的描述
[00:04:35.560 --> 00:04:36.760]  我們都看到了
[00:04:36.760 --> 00:04:39.800]  如果用香港的說話來說
[00:04:39.800 --> 00:04:41.840]  耶穌是「堅」的
[00:04:41.840 --> 00:04:43.440]  不是「流」的
[00:04:43.440 --> 00:04:47.120]  這樣的自我的描述
[00:04:47.120 --> 00:04:50.640]  想要突出老弟家的信徒
