
[00:00:00.000 --> 00:00:03.760]  我今天做的事情有少許不同
[00:00:03.760 --> 00:00:05.700]  因為今天跟大家講這個
[00:00:05.700 --> 00:00:08.540]  啟屬七個教會的第三間
[00:00:08.540 --> 00:00:12.240]  這個叫做別加摩教會
[00:00:12.240 --> 00:00:16.900]  我過往通常都會給一些背景
[00:00:16.900 --> 00:00:20.140]  別加摩這個地方是怎樣的
[00:00:20.140 --> 00:00:22.460]  給大家一些背景
[00:00:22.460 --> 00:00:25.760]  我都寫在《港獨大綱》裏面
[00:00:25.760 --> 00:00:27.520]  我會和大家分享這裏
[00:00:27.520 --> 00:00:31.720]  但我就想由後面那頁開始和大家講
[00:00:31.720 --> 00:00:34.420]  我只是今天和大家看了
[00:00:34.420 --> 00:00:38.420]  寫了啟屬第二章的第十二節和第十三節
[00:00:38.420 --> 00:00:41.340]  我想和大家分享了這兩節經文
[00:00:41.340 --> 00:00:44.100]  然後才回頭去看
[00:00:44.100 --> 00:00:47.100]  這個別加摩的教會是一個
[00:00:47.100 --> 00:00:49.640]  坐落一個甚麼地方
[00:00:49.640 --> 00:00:51.040]  好 我們先看一看
[00:00:51.040 --> 00:00:53.340]  首先這個啟屬第二章的十二節
[00:00:53.340 --> 00:00:57.340]  它說你要寫信給別加摩教會的使者說
[00:00:57.340 --> 00:01:00.160]  每一封書信都是這樣
[00:01:00.160 --> 00:01:01.860]  之前已忽所以是這樣
[00:01:01.860 --> 00:01:03.580]  接著就是善美來也是這樣
[00:01:03.580 --> 00:01:05.680]  現在來到別加摩的教會
[00:01:05.680 --> 00:01:09.680]  但接著它說哪有兩刃利劍的這行說
[00:01:09.680 --> 00:01:11.300]  大家都有印象的話
[00:01:11.300 --> 00:01:14.480]  就是當我們看啟屬第一章的時候
[00:01:14.480 --> 00:01:17.340]  是很多不同的
[00:01:17.340 --> 00:01:21.600]  分享到關於耶穌基督是怎樣的
[00:01:21.600 --> 00:01:24.240]  我們之前都看過
[00:01:24.240 --> 00:01:27.640]  它說他是真實的見證人
[00:01:27.640 --> 00:01:30.160]  又是阿拉伯 又是俄梅加
[00:01:30.160 --> 00:01:32.000]  又是首先 又是末後
[00:01:32.000 --> 00:01:35.540]  兩目如同火焰 腳像光明瞳
[00:01:35.540 --> 00:01:40.400]  但這裡其實就是在第一章那裡曾經引用過的
[00:01:40.400 --> 00:01:42.700]  在第一章的第十六節那裡
[00:01:42.700 --> 00:01:45.800]  就是引用了來形容主耶穌基督的口
[00:01:45.800 --> 00:01:48.340]  套出一把兩刃的利劍
[00:01:48.340 --> 00:01:50.340]  套出一把兩刃的利劍
[00:01:50.340 --> 00:01:54.640]  所以在每一個不同的七教會裡面
[00:01:54.640 --> 00:01:55.640]  不同的教會
[00:01:55.640 --> 00:01:57.440]  他往往都會去第一章
[00:01:57.440 --> 00:02:01.840]  拿一些第一章曾經說過復活的主耶穌基督
[00:02:01.840 --> 00:02:04.240]  他的形象
[00:02:04.240 --> 00:02:06.900]  然後去對那個教會說話
[00:02:06.900 --> 00:02:08.240]  是有關係的
[00:02:08.240 --> 00:02:09.340]  為什麼有關係呢?
[00:02:09.340 --> 00:02:11.040]  我一會兒跟大家分享
[00:02:11.040 --> 00:02:12.600]  大家就會能夠明白
[00:02:12.600 --> 00:02:15.740]  原來這些鋪排
[00:02:15.740 --> 00:02:19.340]  去到第二章十二節說別加摩教會
[00:02:19.340 --> 00:02:22.240]  他將主耶穌基督形容為有兩刃的利劍
[00:02:22.240 --> 00:02:24.440]  是有祂的原因在的
[00:02:24.440 --> 00:02:28.940]  我們看到第二章第十六節就更加表明了一件事
[00:02:28.940 --> 00:02:30.640]  就在這一段的經文
[00:02:30.640 --> 00:02:34.240]  在別加摩教會是第二章十二至到十七節
[00:02:34.240 --> 00:02:35.540]  在第二章第十六節
[00:02:35.540 --> 00:02:38.140]  他就表明了如果不悔改
[00:02:38.140 --> 00:02:40.240]  就要被利劍去攻擊
[00:02:40.240 --> 00:02:42.140]  我讀一讀給大家聽第二章十六節
[00:02:42.140 --> 00:02:44.640]  所以你當悔改
[00:02:44.640 --> 00:02:45.740]  若不悔改
[00:02:45.740 --> 00:02:51.740]  我很快就到你那裡來用我口中的劍攻擊他們
[00:02:51.740 --> 00:02:52.540]  看到嗎?
[00:02:52.540 --> 00:02:54.440]  用口中的劍攻擊他們
[00:02:54.440 --> 00:02:56.040]  所以在開場的時候
[00:02:56.040 --> 00:02:58.640]  他就將主耶穌基督形容為
[00:02:58.640 --> 00:03:01.640]  口中是有一把兩刃的利劍
[00:03:01.640 --> 00:03:03.540]  而去到第十六節的時候
[00:03:03.540 --> 00:03:05.940]  就知道原來這把兩刃的利劍的目的是什麼?
[00:03:05.940 --> 00:03:08.640]  就是要做一個審判的工具
[00:03:08.640 --> 00:03:10.140]  去攻擊他們
[00:03:10.140 --> 00:03:12.040]  因為他們不悔改
[00:03:12.040 --> 00:03:15.740]  去到啟述十九章十五和二十一節
[00:03:15.740 --> 00:03:19.240]  那裡再一次都有形容這個利劍的作用
[00:03:19.240 --> 00:03:21.940]  這個利劍是從他口中出來
[00:03:21.940 --> 00:03:24.940]  是用來攻擊、擊打這個列閣
[00:03:24.940 --> 00:03:26.240]  擊打列閣
[00:03:26.240 --> 00:03:29.740]  要用鐵匠去管轄他們
[00:03:29.740 --> 00:03:32.740]  你看到其實這些是很象徵性的
[00:03:32.740 --> 00:03:34.440]  我經常都這樣說
[00:03:34.440 --> 00:03:37.740]  如果在主耶穌回來的時候
[00:03:37.740 --> 00:03:40.840]  而他要去攻擊列閣
[00:03:40.840 --> 00:03:42.640]  他還拿一把劍出來嗎?
[00:03:42.640 --> 00:03:44.840]  還在那裡套一把劍出來嗎?
[00:03:44.840 --> 00:03:46.240]  當時
[00:03:46.240 --> 00:03:47.640]  當耶穌回來的時候
[00:03:47.640 --> 00:03:53.040]  我們不知道戰爭的科技、武器是用到什麼了
[00:03:53.040 --> 00:03:57.540]  現在最近聽說美國用那些鐳射
[00:03:57.540 --> 00:04:00.140]  其實鐳射這些很多年都說了
[00:04:00.140 --> 00:04:02.940]  不過殺傷力是去到哪裡呢?
[00:04:02.940 --> 00:04:04.540]  所以大家要小心
[00:04:04.540 --> 00:04:06.440]  當我們看啟述的時候
[00:04:06.440 --> 00:04:09.840]  我們要小心不要將它太過字面去解釋
[00:04:09.840 --> 00:04:10.840]  如果是這樣的話
[00:04:10.840 --> 00:04:14.340]  我們會覺得很多很多古怪的問題
[00:04:14.340 --> 00:04:18.140]  甚至他一時就說用口中套出來的利劍
[00:04:18.140 --> 00:04:21.440]  但另外又是用鐵匠去管轄他們
[00:04:21.440 --> 00:04:23.040]  用一條鐵的匠
[00:04:23.040 --> 00:04:25.640]  當然大家知道為什麼用鐵呢?
[00:04:25.640 --> 00:04:27.540]  為什麼不說一條木棍呢?
[00:04:27.540 --> 00:04:32.940]  鐵匠當然比木棍打得更加重
[00:04:32.940 --> 00:04:34.640]  你拿一條藤條
[00:04:34.640 --> 00:04:36.740]  我們小時候都被父母
[00:04:36.740 --> 00:04:38.940]  通常都是藤條比豬肉更噁心
[00:04:38.940 --> 00:04:41.840]  父母用藤條比豬肉
[00:04:41.840 --> 00:04:45.540]  其實都是有限度的殺傷力而已
[00:04:45.540 --> 00:04:48.240]  如果拿一支棍來打你就很不一樣了
[00:04:48.240 --> 00:04:51.040]  如果拿一支鐵棍來打你更加不一樣
[00:04:51.040 --> 00:04:53.640]  所以我一直和大家分享聖經的時候
[00:04:53.640 --> 00:04:55.140]  我想大家要小心
[00:04:55.140 --> 00:04:57.640]  裡面說的話是這樣的
[00:04:57.640 --> 00:04:59.340]  第十九章第二節說
[00:04:59.340 --> 00:05:03.740]  其餘的人被白馬騎士口中套出來的劍殺了
[00:05:03.740 --> 00:05:06.640]  所有的飛鳥都吃飽了他們的肉
[00:05:06.640 --> 00:05:07.740]  同樣的
[00:05:07.740 --> 00:05:10.040]  當我們主日許可
[00:05:10.040 --> 00:05:13.640]  我們有機會去到啟述的末後的時候
[00:05:13.640 --> 00:05:15.940]  我就會更加去和大家分析
[00:05:15.940 --> 00:05:18.840]  究竟是不是真的有鳥來吃掉他們的肉呢?
[00:05:18.840 --> 00:05:21.440]  這些可能是很象徵性的
[00:05:21.440 --> 00:05:23.040]  不過無論如何
[00:05:23.040 --> 00:05:25.040]  這一點我就想和大家說
[00:05:25.040 --> 00:05:26.740]  這個別加摩教會裡面
[00:05:26.740 --> 00:05:33.140]  是因為有一些很不喜悅的人在這裡
[00:05:33.140 --> 00:05:38.540]  他們很多是帶著其他人走向異端邪說
[00:05:38.540 --> 00:05:42.340]  甚至是很敗壞淫邪的生活
[00:05:42.340 --> 00:05:44.440]  所以是這麼嚴厲的
[00:05:44.440 --> 00:05:46.440]  用這個話去開場白
[00:05:46.440 --> 00:05:48.440]  就用兩刃的利劍
[00:05:48.440 --> 00:05:50.340]  接著二章十三節說
[00:05:50.340 --> 00:05:51.740]  我知道你的居所
