
[00:00:00.000 --> 00:00:02.760]  我們一同先來有個祈禱
[00:00:02.760 --> 00:00:05.560]  參加天會我們感謝站在你自己的恩典
[00:00:05.560 --> 00:00:07.200]  給我們有生命氣息
[00:00:07.200 --> 00:00:08.080]  有平安
[00:00:08.080 --> 00:00:11.120]  也帶著喜樂的心來到敬拜你
[00:00:11.120 --> 00:00:13.560]  有聖靈在我們中間運行
[00:00:13.560 --> 00:00:15.760]  幫助我們明白聖經的說話
[00:00:15.760 --> 00:00:18.400]  也願意跟隨主的腳步
[00:00:18.400 --> 00:00:20.440]  奉耶穌基督的名祈禱
[00:00:20.440 --> 00:00:21.080]  阿們
[00:00:21.080 --> 00:00:26.000]  我們最近一直都是在看《仙道行傳》
[00:00:26.000 --> 00:00:29.920]  上個星期我們已經看過第十章
[00:00:30.320 --> 00:00:34.320]  我認為那是教會一個很重要的里程碑
[00:00:34.320 --> 00:00:37.680]  因為我們看到教會的大門
[00:00:37.680 --> 00:00:41.320]  是正式向外邦人開啟的
[00:00:41.320 --> 00:00:45.160]  我們認為這是一個很正式的開啟
[00:00:45.160 --> 00:00:46.920]  其實都有幾個原因的
[00:00:46.920 --> 00:00:48.000]  第一
[00:00:48.000 --> 00:00:50.960]  就是因為是聖靈親自指示
[00:00:50.960 --> 00:00:54.200]  仕途中的代表人物彼得
[00:00:54.200 --> 00:00:56.600]  向外邦人傳福音
[00:00:57.160 --> 00:01:02.160]  並且上主猜險彼得去傳福音之前
[00:01:02.160 --> 00:01:06.240]  就特別向彼得顯示了一個異象
[00:01:06.240 --> 00:01:08.120]  第二個原因就是
[00:01:08.120 --> 00:01:09.920]  當彼得向哥尼留
[00:01:09.920 --> 00:01:12.720]  一位羅馬將軍的家
[00:01:12.720 --> 00:01:15.000]  在那裡向他們傳福音的時候
[00:01:15.000 --> 00:01:16.560]  聖經有特別記載
[00:01:16.560 --> 00:01:20.680]  聖靈是降在那些信道的人身上
[00:01:20.680 --> 00:01:23.280]  使他們可以說靈語
