
[00:00:00.000 --> 00:00:02.240]  在聆聽主導以先
[00:00:02.240 --> 00:00:04.040]  讓我們一齊同心低頭
[00:00:04.040 --> 00:00:05.320]  仰望我們主愛的神
[00:00:05.320 --> 00:00:06.840]  求聖靈帶領
[00:00:06.840 --> 00:00:10.400]  Let's bow our head and pray together
[00:00:10.400 --> 00:00:11.720]  慈悲的天父 多謝祢
[00:00:11.720 --> 00:00:13.400]  讓我們能夠再次回來
[00:00:13.400 --> 00:00:16.320]  在祢寶貴說話的面前學習
[00:00:16.320 --> 00:00:18.360]  讓我們能夠靠近祢
[00:00:18.360 --> 00:00:20.240]  明白祢的心思意念
[00:00:20.240 --> 00:00:23.800]  好想我們能夠在今天的日子當中
[00:00:23.800 --> 00:00:25.080]  每一天過著的
[00:00:25.080 --> 00:00:28.880]  都能夠順著主祢的心意而活
[00:00:28.880 --> 00:00:31.000]  並且讓我們好好地預備
[00:00:31.000 --> 00:00:32.880]  能夠在永恆的當中
[00:00:32.880 --> 00:00:37.600]  與你一起去面對上帝的創造
[00:00:37.600 --> 00:00:41.200]  讓我們能夠在其中去榮耀祢
[00:00:41.200 --> 00:00:43.720]  多謝祢給我們這段寶貴的時間
[00:00:43.720 --> 00:00:45.880]  求祢幫助我們明白
[00:00:45.880 --> 00:00:47.760]  今天所說的經文
[00:00:47.760 --> 00:00:50.840]  當中所帶來的應有的教導
[00:00:50.840 --> 00:00:52.000]  同心的禱告
[00:00:52.000 --> 00:00:55.200]  奉靠主耶穌基督得勝的名字而求
[00:00:55.200 --> 00:00:57.320]  阿門
[00:00:57.320 --> 00:00:59.200]  很高興能夠和大家弟兄姊妹
[00:00:59.200 --> 00:01:01.840]  繼續以神的話去一起學習
[00:01:01.840 --> 00:01:03.560]  特別我們去看
[00:01:03.560 --> 00:01:06.320]  耶穌基督祂自己的教導
[00:01:06.320 --> 00:01:08.880]  今天和大家一起分享的經文
[00:01:08.880 --> 00:01:12.080]  是《馬太福音》的第五章
[00:01:12.080 --> 00:01:15.800]  我們會從第38至第42節
[00:01:15.800 --> 00:01:17.080]  看一個題目
[00:01:17.080 --> 00:01:18.240]  這個題目我們叫做
[00:01:18.240 --> 00:01:21.640]  「神子民在不義中的風範」
[00:01:21.640 --> 00:01:25.040]  God's people live in an evil world
[00:01:25.040 --> 00:01:31.040]  這段經文是從第38至42節的《馬太福音》
[00:01:31.040 --> 00:01:35.040]  我們經過了已經差不多兩年左右的
[00:01:35.040 --> 00:01:38.440]  新冠病毒疫情
[00:01:38.440 --> 00:01:40.440]  經過了這麼多的時間之後
[00:01:40.440 --> 00:01:43.440]  相信也有不少的人
[00:01:43.440 --> 00:01:48.880]  曾經受到這個病毒的感染
[00:01:48.880 --> 00:01:51.880]  其實回顧一下過去的
[00:01:51.880 --> 00:01:55.560]  這些不同的病毒的變種的情況
[00:01:55.560 --> 00:01:57.560]  由Alpha
[00:01:57.560 --> 00:02:02.160]  以致於現在最新的Omicron
[00:02:02.160 --> 00:02:04.440]  其實在這個過程當中
[00:02:04.440 --> 00:02:06.960]  我相信這個病毒對於
[00:02:06.960 --> 00:02:09.440]  不同被感染的人的身體
[00:02:09.440 --> 00:02:13.440]  都作出了不同程度的傷害
[00:02:13.440 --> 00:02:15.040]  當然最嚴重的
[00:02:15.040 --> 00:02:18.560]  我們看到的就是真的會導致死亡
[00:02:18.560 --> 00:02:20.960]  但是在近期我們留意到的
[00:02:20.960 --> 00:02:26.960]  這個所謂Omicron的病毒的時候
