
[00:00:00.000 --> 00:00:08.960]  在我去德州之前,我也是和大家分享朱日蘇所做的一些神蹟。
[00:00:08.960 --> 00:00:15.460]  《讓人覆陰》其實記載了朱日蘇行了八個神蹟,
[00:00:15.460 --> 00:00:17.940]  七個是在他受難之前的,
[00:00:17.940 --> 00:00:21.660]  而一個是在復活之後才做的。
[00:00:21.660 --> 00:00:24.860]  我之前已經講了三個神蹟,
[00:00:24.860 --> 00:00:30.100]  其中一個是在加拿大的婚宴以水變酒,
[00:00:30.100 --> 00:00:39.440]  第二個是在加拿大用遠距的形式治療了大臣在加伯隆的兒子,
[00:00:39.440 --> 00:00:46.860]  第三個是在耶路撒冷的畢士大祠治療了患病38年的人下。
[00:00:46.860 --> 00:00:54.600]  所以今天會繼續講第四個在《讓人覆陰》所記載的神蹟。
[00:00:54.600 --> 00:00:56.240]  大家很熟悉這個神蹟了,
[00:00:56.240 --> 00:01:02.340]  就是耶穌用了五個餅、兩條魚餵飽了五千人。
[00:01:02.340 --> 00:01:04.940]  我相信大家都很熟悉這個神蹟,
[00:01:04.940 --> 00:01:11.540]  不需要太多講到背景的事情。
[00:01:11.540 --> 00:01:16.940]  但其實講一個熟悉的神蹟也不容易,
[00:01:16.940 --> 00:01:21.540]  因為一定聽過,甚至連袁牧師也講過了。
[00:01:21.540 --> 00:01:27.240]  或者之前在《牧師在大陸》當中講信息的時候可能也講過了,
[00:01:27.240 --> 00:01:29.640]  可能你們心裏面又是講這件事,
[00:01:29.640 --> 00:01:31.740]  有些什麼新意呢?
[00:01:31.740 --> 00:01:33.940]  的確是困難的。
[00:01:33.940 --> 00:01:40.440]  或者希望大家能夠比較專注聽今天的信息,
[00:01:40.440 --> 00:01:45.440]  或者給一些有關神蹟的資料給大家,
[00:01:45.440 --> 00:01:49.240]  可能就會引起大家的興趣。
[00:01:49.240 --> 00:01:56.940]  四本《呼音書》一共記載了主耶穌有三十五個所做的神蹟。
[00:01:56.940 --> 00:02:02.840]  但是只有一個,四本《呼音書》都有記載的。
[00:02:02.840 --> 00:02:06.040]  大家知道是哪一個神蹟嗎?
[00:02:06.040 --> 00:02:08.140]  就是這個了!
[00:02:08.140 --> 00:02:15.540]  就是主耶穌用了五個餅、兩條魚餵飽了五千人的神蹟。
[00:02:15.540 --> 00:02:19.040]  其實我意外了解,約翰其實很有策略,
[00:02:19.040 --> 00:02:24.540]  是選用這七個神蹟。
[00:02:24.540 --> 00:02:27.240]  但是我看到這七個神蹟當中,
[00:02:27.240 --> 00:02:33.940]  有五個是在其他的《呼音書》都沒有記載的。
[00:02:33.940 --> 00:02:40.740]  而另一個就是跟著五頂二魚之後,
[00:02:40.740 --> 00:02:44.340]  就講到主耶穌是在水上行走。
[00:02:44.340 --> 00:02:49.040]  這個神蹟其實有《馬太呼音》和《馬克福音》都有記載,
[00:02:49.040 --> 00:02:55.340]  但是看得很明顯,在重點上是很不同的。
[00:02:55.340 --> 00:02:58.440]  所以我就會問,為什麼約翰會選擇,
[00:02:58.440 --> 00:03:00.940]  特別是講到用這個五頂二魚這個神蹟,
[00:03:00.940 --> 00:03:03.340]  為什麼會選用這一個呢?
[00:03:03.340 --> 00:03:04.840]  因為之前的證據有講到,
[00:03:04.840 --> 00:03:07.140]  沒有任何一個神蹟,
[00:03:07.140 --> 00:03:10.540]  是四本《呼音書》都有記載的。
[00:03:10.540 --> 00:03:15.140]  為什麼約翰會選用一個神蹟,
[00:03:15.140 --> 00:03:18.140]  是在每一個《呼音書》都有記載呢?
[00:03:18.140 --> 00:03:22.740]  或者約翰為什麼會選用到五頂二魚,
[00:03:22.740 --> 00:03:25.940]  在他的記載當中呢?
[00:03:25.940 --> 00:03:30.440]  所以今天我就會特別從這個五頂二魚這個神蹟裏面,
[00:03:30.440 --> 00:03:35.540]  留意一些約翰和其他的《呼音書》,
[00:03:35.540 --> 00:03:40.740]  有不同的地方,或者他獨特的地方,有獨特的記載,
