
[00:00:00.000 --> 00:00:02.880]  我們繼續的會詳前書
[00:00:02.880 --> 00:00:07.880]  今天我們的題目就叫切實相愛後主臨
[00:00:07.880 --> 00:00:12.000]  有人問天堂和地獄有什麼分別
[00:00:12.000 --> 00:00:16.000]  插一個故事和大家來帶去分享
[00:00:16.000 --> 00:00:22.920]  這個故事講到有一個人被天使帶去參觀天堂和地獄
[00:00:22.920 --> 00:00:26.520]  發現天堂和地獄其實沒有什麼分別
[00:00:26.520 --> 00:00:29.520]  一張很長的餐桌
[00:00:29.520 --> 00:00:33.520]  放了很豐富的食物
[00:00:33.520 --> 00:00:37.520]  但天堂的人就肥肥白白很開心
[00:00:37.520 --> 00:00:43.520]  但地獄的人就瘦瘦削削很不開心
[00:00:43.520 --> 00:00:48.520]  為什麼大家面對的食物一樣可以有這麼大的分別呢
[00:00:48.520 --> 00:00:52.520]  原來在吃東西的時候
[00:00:52.520 --> 00:00:56.520]  他們的餐具是非常非常非常長的
[00:00:56.520 --> 00:01:02.520]  很長的叉子和筷子
[00:01:02.520 --> 00:01:04.520]  分別在哪呢
[00:01:04.520 --> 00:01:06.520]  原來在天堂那裡
[00:01:06.520 --> 00:01:09.520]  因為這麼長的叉子和筷子
[00:01:09.520 --> 00:01:12.520]  你夾的話是放不進自己的嘴裡的
[00:01:12.520 --> 00:01:14.520]  但是他們很好
[00:01:14.520 --> 00:01:17.520]  他們是互相服侍彼此服侍
[00:01:17.520 --> 00:01:20.520]  他夾了這些給對面的人吃
[00:01:20.520 --> 00:01:22.520]  對面的人說他喜歡吃這個
[00:01:22.520 --> 00:01:24.520]  他就夾這些給他吃
[00:01:24.520 --> 00:01:26.520]  在彼此服侍之下
[00:01:26.520 --> 00:01:28.520]  雖然吃得很開心
[00:01:28.520 --> 00:01:30.520]  這是在下一年
[00:01:30.520 --> 00:01:32.520]  因為一會兒我們會說
[00:01:32.520 --> 00:01:34.520]  有三個方向
[00:01:34.520 --> 00:01:36.520]  記得煮的時候要怎樣
[00:01:36.520 --> 00:01:38.520]  第三個就是彼此服侍
[00:01:38.520 --> 00:01:40.520]  但是在地獄裡面
[00:01:40.520 --> 00:01:42.520]  那些人是做什麼呢
[00:01:42.520 --> 00:01:45.520]  就是互相之間不理對方
[00:01:45.520 --> 00:01:47.520]  只是自己顧自己
[00:01:47.520 --> 00:01:49.520]  拿叉子去夾
[00:01:49.520 --> 00:01:50.520]  拿筷子去夾
[00:01:50.520 --> 00:01:52.520]  因為太長了
[00:01:52.520 --> 00:01:54.520]  所以剛才那首歌
[00:01:54.520 --> 00:01:56.520]  原來有愛的地方就是天堂
[00:01:56.520 --> 00:01:58.520]  記住在天堂裡面
[00:01:58.520 --> 00:02:00.520]  人是有永遠的生命的
[00:02:00.520 --> 00:02:02.520]  在地獄裡面也有永遠的生命
[00:02:02.520 --> 00:02:05.520]  我記住永生不只是指時間
[00:02:05.520 --> 00:02:06.520]  是指質素
[00:02:06.520 --> 00:02:08.520]  有個神在同在
[00:02:08.520 --> 00:02:10.520]  所以剛才那首歌
[00:02:10.520 --> 00:02:11.520]  我們愛
[00:02:11.520 --> 00:02:13.520]  我最不喜歡這句
[00:02:13.520 --> 00:02:14.520]  因為神先愛我們
[00:02:14.520 --> 00:02:15.520]  我經常這樣說
[00:02:15.520 --> 00:02:16.520]  特別在婚禮那裡
[00:02:16.520 --> 00:02:17.520]  那些不信耶穌的人
[00:02:17.520 --> 00:02:19.520]  就不知道誰是神先
[00:02:19.520 --> 00:02:20.520]  所以我們會說
[00:02:20.520 --> 00:02:22.520]  我們愛因為神首先愛我們
[00:02:22.520 --> 00:02:23.520]  好了
[00:02:23.520 --> 00:02:24.520]  今天我們就會看到
[00:02:24.520 --> 00:02:26.520]  怎樣彼此相愛
[00:02:26.520 --> 00:02:28.520]  跟大家先帶去看看
[00:02:28.520 --> 00:02:29.520]  這個 PowerPoint
[00:02:29.520 --> 00:02:30.520]  OK
[00:02:30.520 --> 00:02:31.520]  好了
[00:02:31.520 --> 00:02:32.520]  今天我們要切實相愛
[00:02:32.520 --> 00:02:34.520]  等候主的回來
[00:02:34.520 --> 00:02:35.520]  那麼
[00:02:35.520 --> 00:02:37.520]  記不記得
[00:02:37.520 --> 00:02:39.520]  我們有三部份的
[00:02:39.520 --> 00:02:40.520]  我說彼得前書
[00:02:40.520 --> 00:02:42.520]  這裡是和耶穌基督基督的
[00:02:42.520 --> 00:02:44.520]  25章所三個比喻
[00:02:44.520 --> 00:02:46.520]  是很吻合的
[00:02:46.520 --> 00:02:48.520]  我們今天就集中在
[00:02:48.520 --> 00:02:49.520]  彼得前書第四章
[00:02:49.520 --> 00:02:50.520]  第八
[00:02:50.520 --> 00:02:51.520]  第九兩節
[00:02:51.520 --> 00:02:52.520]  這次呢
[00:02:52.520 --> 00:02:53.520]  是所有的弟兄姐妹
[00:02:53.520 --> 00:02:54.520]  都一起讀出來
[00:02:54.520 --> 00:02:55.520]  但是呢
[00:02:55.520 --> 00:02:57.520]  就是伊汪帶領我們讀的
[00:02:57.520 --> 00:02:58.520]  我們一起來
[00:02:58.520 --> 00:02:59.520]  但是他讀出聲也好
[00:02:59.520 --> 00:03:00.520]  在心裡面讀也好
[00:03:00.520 --> 00:03:01.520]  我們一起來讀這段經文
[00:03:01.520 --> 00:03:02.520]  好不好
[00:03:02.520 --> 00:03:06.520]  最要緊的是彼此切實相愛
[00:03:06.520 --> 00:03:08.520]  因為愛能遮掩許多的罪
[00:03:08.520 --> 00:03:10.520]  你們要互相款待
[00:03:10.520 --> 00:03:12.520]  不發怨言
[00:03:12.520 --> 00:03:13.520]  很簡單
[00:03:13.520 --> 00:03:15.520]  你們最要緊的
