
[00:00:00.000 --> 00:00:03.340]  好 教會其實由7月開始
[00:00:03.340 --> 00:00:06.000]  凡是悶訓的崇拜
[00:00:06.000 --> 00:00:09.440]  我們都會從舊約的傳道書
[00:00:09.440 --> 00:00:11.440]  來做講解
[00:00:11.440 --> 00:00:13.440]  因為這本書
[00:00:13.440 --> 00:00:15.440]  說很容易又不是
[00:00:15.440 --> 00:00:18.000]  但是內容是非常豐富
[00:00:18.000 --> 00:00:20.000]  因為作者、傳道者
[00:00:20.000 --> 00:00:23.000]  他對人生有很多的觀察
[00:00:23.000 --> 00:00:25.000]  做了一些綜合
[00:00:25.000 --> 00:00:27.840]  然後提醒、會眾
[00:00:27.840 --> 00:00:29.840]  可以怎樣呢?
[00:00:29.840 --> 00:00:31.840]  去面對這個
[00:00:31.840 --> 00:00:33.840]  很多遍
[00:00:33.840 --> 00:00:35.840]  又必然會有
[00:00:35.840 --> 00:00:37.840]  結束的人生
[00:00:37.840 --> 00:00:39.840]  應該用什麼態度
[00:00:39.840 --> 00:00:41.840]  來生活
[00:00:41.840 --> 00:00:43.840]  以及活出智慧的人生
[00:00:43.840 --> 00:00:45.840]  今天我們來到
[00:00:45.840 --> 00:00:47.840]  傳道書的第四章
[00:00:47.840 --> 00:00:49.840]  一到十六節的內容
[00:00:49.840 --> 00:00:51.840]  那麼
[00:00:51.840 --> 00:00:53.840]  我將題目
[00:00:53.840 --> 00:00:55.840]  定為
[00:00:55.840 --> 00:00:57.840]  無常人生的出路
[00:00:57.840 --> 00:00:59.840]  是因為
[00:00:59.840 --> 00:01:01.840]  在經文裡面
[00:01:01.840 --> 00:01:03.840]  我們看到
[00:01:03.840 --> 00:01:07.840]  傳道者有四個
[00:01:07.840 --> 00:01:09.840]  截然不同的觀察
[00:01:09.840 --> 00:01:11.840]  都是highlight到
[00:01:11.840 --> 00:01:13.840]  無常人生
[00:01:13.840 --> 00:01:15.840]  究竟是一個什麼狀況
[00:01:15.840 --> 00:01:17.840]  在
