
[00:00:00.000 --> 00:00:04.200]  好兄姊妹,今天我們繼續看哈伯谷書第三章
[00:00:04.200 --> 00:00:07.400]  這也是哈伯谷書的最後一章
[00:00:07.400 --> 00:00:15.920]  也可以說是他跟神的對話之後的一個高潮
[00:00:15.920 --> 00:00:20.840]  之前也說過,哈伯谷書基本上有三章
[00:00:20.840 --> 00:00:24.600]  基本上它的編排是這樣的
[00:00:24.600 --> 00:00:28.680]  就是神跟哈伯谷有兩輪的對話
[00:00:28.680 --> 00:00:32.000]  第一次哈伯谷就禱告、求問
[00:00:32.000 --> 00:00:34.600]  為什麼神不懲罰不義呢?
[00:00:34.600 --> 00:00:36.360]  接著神的答案是
[00:00:36.360 --> 00:00:38.440]  神會差遣巴比倫人
[00:00:38.440 --> 00:00:40.120]  一些更加邪惡的人
[00:00:40.120 --> 00:00:42.240]  來清算他們的國家
[00:00:42.240 --> 00:00:43.520]  侵略他們的國家
[00:00:43.520 --> 00:00:48.200]  接著哈伯谷就有第二輪的提問
[00:00:48.200 --> 00:00:53.000]  就是他去投訴
[00:00:53.000 --> 00:00:55.240]  去跟神訴冤
[00:00:55.240 --> 00:01:01.000]  為什麼聖潔公義的神會竟然容讓這些不義
[00:01:01.000 --> 00:01:05.400]  甚至比以色列人更加不義的巴比倫人來侵略他們呢?
[00:01:05.400 --> 00:01:08.800]  於是在第二章當中
[00:01:08.800 --> 00:01:13.680]  神就給哈伯谷第二次的回應
[00:01:13.680 --> 00:01:15.960]  就說到二人必因信得新
[00:01:15.960 --> 00:01:22.040]  我們神是必然會懲罰罪人的
[00:01:22.040 --> 00:01:24.560]  神的眼目仍然監察明暗
[00:01:24.560 --> 00:01:27.320]  看清楚巴比倫人
[00:01:27.320 --> 00:01:28.560]  那些犯罪的人
[00:01:28.560 --> 00:01:30.360]  他們每一樣的罪行
[00:01:30.360 --> 00:01:32.920]  在將來必然會被清算
[00:01:32.920 --> 00:01:34.240]  雖然現在是遲疑
[00:01:34.240 --> 00:01:37.640]  但是信的人是用信心來等候
[00:01:37.640 --> 00:01:43.240]  說完兩次的對答之後
[00:01:43.240 --> 00:01:45.640]  去到哈伯谷書的第三章
[00:01:45.640 --> 00:01:50.440]  亦是哈伯谷先知的最後一章
[00:01:50.440 --> 00:01:56.000]  其實是說到他心靈的一種頓悟
[00:01:56.000 --> 00:01:58.720]  或者一種切悟
[00:01:58.720 --> 00:02:02.680]  而他就寫了一首詩歌
[00:02:02.680 --> 00:02:08.120]  來反映他那種心靈的改變
[00:02:08.120 --> 00:02:10.920]  而這亦是哈伯谷先知的高潮
[00:02:10.920 --> 00:02:13.840]  可能一開始讀哈伯谷先知的時候
[00:02:13.840 --> 00:02:15.880]  你和我都是問著同樣的問題
[00:02:15.880 --> 00:02:20.120]  在一個那麼罪惡不義橫行的世界當中
[00:02:20.120 --> 00:02:22.920]  神究竟我們可以怎樣自處呢?
[00:02:22.920 --> 00:02:26.200]  當然哈伯谷先知一開始的求問的時候
[00:02:26.200 --> 00:02:31.840]  他就是希望神會按照他的方法來懲罰惡人
[00:02:31.840 --> 00:02:34.880]  但是很明顯經過了兩輪的對答之後
[00:02:34.880 --> 00:02:36.480]  哈伯谷先知就知道
[00:02:36.480 --> 00:02:41.800]  神做事的方法根本就不是人可以明白
[00:02:41.800 --> 00:02:45.120]  或者人可以為神定時間表
[00:02:45.120 --> 00:02:50.880]  之後哈伯谷先知和神一輪的交流之後
[00:02:50.880 --> 00:02:56.320]  基本上他就有了很明顯的改變
[00:02:56.320 --> 00:02:57.840]  你看到去到第三章的時候
