
[00:00:00.000 --> 00:00:06.000]  幸福法律人生是每人都嚮往尋求
[00:00:06.000 --> 00:00:09.000]  但其實不容易掌握
[00:00:09.000 --> 00:00:11.000]  不容易擁有
[00:00:11.000 --> 00:00:14.000]  甚至不容易界定
[00:00:14.000 --> 00:00:19.000]  我母會香港審訊教會每年舉辦兩次啟發課程
[00:00:19.000 --> 00:00:22.000]  每次第一講都由我主講
[00:00:22.000 --> 00:00:27.000]  我定的題目叫做「幸福人生由此起」
[00:00:27.000 --> 00:00:31.000]  每次講的內容都有一些新的元素
[00:00:31.000 --> 00:00:35.000]  有一年我有一個很好的題材
[00:00:35.000 --> 00:00:37.000]  當年有個研究出來
[00:00:37.000 --> 00:00:41.000]  講到香港人當年最快樂的三件事
[00:00:41.000 --> 00:00:43.000]  第一件事
[00:00:43.000 --> 00:00:44.000]  派錢
[00:00:44.000 --> 00:00:46.000]  每人六千元
[00:00:46.000 --> 00:00:47.000]  很開心
[00:00:47.000 --> 00:00:48.000]  第一
[00:00:48.000 --> 00:00:49.000]  第二是什麼呢
[00:00:49.000 --> 00:00:50.000]  你猜不到了
[00:00:50.000 --> 00:00:55.000]  當年就是威廉王子大婚
[00:00:55.000 --> 00:00:57.000]  關你什麼事
[00:00:57.000 --> 00:01:00.000]  反映出原來我們每人都很嚮往
[00:01:00.000 --> 00:01:03.000]  一個童話般的婚禮
[00:01:03.000 --> 00:01:06.000]  一個美麗幸福的家庭
[00:01:06.000 --> 00:01:12.000]  或者對他們上一代不幸事件的一種補償
[00:01:12.000 --> 00:01:14.000]  Family
[00:01:14.000 --> 00:01:15.000]  第三
[00:01:15.000 --> 00:01:16.000]  更加猜不到
[00:01:16.000 --> 00:01:18.000]  天地有正氣
[00:01:18.000 --> 00:01:21.000]  陳振聰終極敗訴
[00:01:24.000 --> 00:01:26.000]  更戲劇化是
[00:01:26.000 --> 00:01:29.000]  翌日教會同工告訴我
[00:01:29.000 --> 00:01:32.000]  陳先生那晚在
[00:01:32.000 --> 00:01:34.000]  陳先生那晚在
[00:01:34.000 --> 00:01:35.000]  我不知道的
